matrix_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
56,0,2,0,0,1,1,3,1,1,1,0,0,0
58,0,7,0,0,2,17,31,2,3,3,2,5,0
59,3,0,0,0,0,1,2,5,1,0,1,1,1
60,5,2,1,0,2,1,1,4,1,1,11,2,1
61,2,0,0,0,1,0,0,1,0,0,0,0,0
62,0,0,0,0,0,0,2,1,0,0,1,1,0
65,0,1,3,0,0,0,0,2,0,0,1,0,0
67,0,2,0,0,0,1,2,0,2,0,1,4,0
72,0,0,0,0,0,0,2,0,0,0,0,0,0
73,0,0,0,0,1,0,2,0,0,0,0,0,0
74,0,0,0,0,0,0,1,0,0,0,0,0,0
77,0,0,0,0,0,0,1,0,0,0,0,0,0
78,0,0,0,0,0,0,1,0,0,0,0,0,0
79,0,0,1,0,0,0,2,1,0,0,0,0,0
80,0,1,0,0,0,0,19,0,1,0,0,0,2
81,0,1,0,0,0,0,4,0,0,0,0,0,0
82,8,4,2,0,0,0,1,6,2,3,17,1,2
86,0,0,0,0,0,1,0,2,0,1,0,0,0
90,0,0,0,0,0,0,1,0,1,0,0,0,0
92,0,0,0,0,0,0,0,1,0,0,0,0,0
93,0,1,1,0,0,1,1,2,1,1,1,1,1
96,0,0,0,0,0,0,1,0,0,0,0,1,0
98,1,0,0,0,1,1,8,1,3,0,2,6,2
99,0,0,0,0,0,0,2,0,0,0,0,0,0
100,0,1,0,0,3,0,8,1,1,0,1,0,0
103,0,0,0,0,0,0,1,0,0,0,0,0,0
104,0,0,0,0,1,0,2,2,0,0,0,0,0
105,0,0,1,1,0,0,0,1,0,1,1,0,1
106,0,0,0,0,1,0,0,1,0,0,0,0,0
111,0,0,0,0,1,0,0,0,0,0,0,0,0
115,0,0,0,0,1,0,0,0,0,1,1,0,0
117,0,0,0,0,0,0,0,3,0,0,0,0,0
118,0,1,0,0,1,0,0,5,2,1,3,2,0
120,0,2,1,1,0,0,0,8,1,0,1,0,1
121,0,0,0,0,0,0,0,3,0,0,0,0,0
123,0,0,0,0,0,0,0,2,0,0,0,0,0
126,0,0,0,0,3,0,0,10,0,0,0,0,0
131,0,0,0,0,0,1,1,0,0,0,0,0,0
133,1,1,2,0,1,0,3,0,0,0,1,2,1
134,0,0,0,0,1,0,0,0,0,0,0,0,0
135,0,0,0,1,0,0,1,0,0,0,0,1,0
138,0,0,0,0,0,1,0,0,0,0,0,0,0
139,0,0,0,0,0,0,1,0,0,0,0,0,0
141,0,0,0,0,1,0,3,0,0,0,1,0,0
142,0,1,0,0,0,0,1,0,0,0,0,0,0
143,0,1,0,0,1,1,3,0,0,0,0,0,0
144,0,0,0,0,0,0,1,0,0,0,1,0,0
148,0,1,0,0,0,0,0,0,0,0,0,2,0
151,0,0,0,0,1,0,1,0,0,0,0,0,0
155,0,1,0,0,0,0,7,1,1,0,0,1,1
156,0,0,0,0,0,0,1,0,0,0,0,0,0
157,0,0,0,0,0,0,2,0,0,0,0,0,0
