matrix_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Circular economy,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
80,0,1,0,0,0,0,24,0,1,1,0,0,2
81,0,1,0,0,0,0,6,0,0,0,1,0,0
82,10,6,3,0,0,0,1,10,5,3,33,1,3
84,0,0,0,0,0,0,0,0,0,0,1,0,0
86,0,0,0,0,0,1,0,2,0,2,1,0,0
90,0,0,0,0,0,0,1,0,1,0,0,0,0
92,0,0,0,0,0,0,0,1,0,0,0,0,0
93,0,1,1,0,0,1,1,2,1,1,3,4,1
96,0,0,0,0,0,0,1,0,0,0,0,1,0
98,1,0,0,0,1,2,11,1,3,0,2,6,2
99,0,0,0,0,0,0,3,0,0,0,0,0,0
100,0,1,0,0,3,1,9,1,1,0,1,0,0
103,0,0,0,0,0,0,1,0,0,0,0,0,0
104,0,0,0,0,1,0,2,2,1,0,0,0,0
105,0,0,1,1,0,0,0,1,0,1,1,0,1
106,0,0,0,0,1,0,0,1,0,0,0,0,0
111,0,0,0,0,1,0,0,0,0,0,0,0,0
113,0,0,0,0,1,0,0,0,0,0,0,0,0
115,0,0,0,0,1,0,0,0,0,1,1,0,0
117,0,0,0,0,0,0,0,3,0,0,0,0,0
118,0,1,0,0,3,0,0,5,2,1,3,2,0
120,0,2,1,1,0,0,0,8,1,0,1,0,1
121,0,0,0,0,0,0,0,3,0,0,0,0,0
123,0,0,0,0,0,0,0,2,0,0,0,0,0
126,0,0,0,0,3,0,0,11,0,1,0,0,0
131,0,0,0,0,0,1,1,0,0,0,0,0,0
133,1,1,2,0,1,0,3,0,0,0,3,2,1
134,0,0,0,0,1,0,0,0,0,0,0,0,0
135,0,0,0,1,0,0,1,0,0,0,0,1,0
138,0,0,0,0,0,1,0,0,0,0,0,0,0
139,0,0,0,0,0,0,1,0,0,0,0,0,0
141,0,0,0,0,1,0,3,0,0,0,1,0,0
142,0,1,0,0,0,0,2,0,0,0,0,0,0
143,0,1,0,0,1,1,3,0,0,0,0,0,0
144,0,0,0,0,0,0,3,0,0,0,1,0,0
148,0,1,0,0,0,0,1,0,1,0,1,3,1
151,0,0,0,0,1,0,1,0,0,0,0,0,0
155,0,1,0,0,0,1,7,1,1,0,0,1,1
156,0,0,0,0,0,0,1,0,0,0,0,0,0
157,0,0,0,0,0,0,3,0,0,0,0,0,0
