gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica,cambiamento demografico
555,0,0,0,0,0,0,0,0,0,0,1,0,0,0
557,0,0,0,0,0,0,0,0,0,0,1,0,0,0
558,0,0,0,0,0,0,0,0,0,0,1,0,0,0
562,0,0,0,0,0,0,0,0,0,0,1,0,0,0
563,0,0,0,0,0,0,0,0,0,0,0,1,0,0
564,0,0,0,0,0,0,0,0,0,0,1,0,0,0
566,0,0,0,0,0,0,2,0,0,0,0,0,0,0
572,0,0,0,0,0,0,0,0,0,0,1,0,0,0
574,0,0,0,0,0,0,2,0,0,0,0,0,0,0
576,0,0,0,0,0,0,0,0,0,1,0,1,0,0
577,1,0,0,0,0,0,0,0,0,0,4,0,0,0
580,0,0,0,0,0,0,0,0,0,0,1,0,0,0
581,0,0,0,0,0,0,0,0,0,0,1,0,0,0
583,0,0,0,0,0,0,1,0,1,0,0,0,0,0
584,0,0,0,0,0,0,0,0,1,0,0,0,0,0
586,1,0,0,0,0,0,0,0,0,0,0,0,0,0
587,0,0,0,0,0,0,0,1,0,0,0,0,0,0
589,1,0,0,0,0,0,0,0,0,0,0,0,0,0
590,1,0,0,0,0,0,0,0,0,0,0,0,0,0
593,0,0,0,0,0,0,1,0,0,0,0,0,0,0
594,0,0,0,0,0,0,1,0,0,0,0,0,0,0
595,0,0,0,0,0,0,1,0,0,0,0,0,0,0
597,0,0,0,0,0,0,1,0,0,0,0,0,0,0
599,0,0,0,0,0,0,0,0,0,1,0,0,0,0
