gefahr_id,Changement climatique,Innovations technologiques et progrès scientifiques,Urbanisation et agriculture urbaine,Économie circulaire,Microbiomes et sécurité alimentaire,Nouveaux aliments et systèmes de production alimentaire,Comportement des consommateurs et tendances de consommation,Évolution microbienne et antibiorésistance,Société,Technologie,Ecologie,Économie,Politique,changement démographique
495,0,0,0,0,0,0,0,1,0,0,0,0,0,0
496,0,0,0,0,0,0,0,1,0,0,0,0,0,0
498,0,0,0,0,0,0,0,1,0,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0,1,0,0,0
500,0,0,0,0,0,0,0,0,0,0,1,0,0,0
501,0,0,0,0,0,0,0,1,0,0,0,0,0,0
503,3,0,0,0,1,1,2,0,0,0,2,0,0,0
504,0,0,1,0,0,0,0,2,1,0,1,0,0,0
505,0,1,0,0,0,0,0,0,0,0,0,0,0,0
507,0,0,0,0,0,0,1,0,0,0,0,0,0,0
508,0,0,0,0,0,0,0,1,0,0,0,0,0,0
510,0,0,0,0,0,0,0,1,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,1,0,0,0
512,0,1,0,0,0,0,1,0,0,0,0,0,0,0
513,0,1,0,0,0,0,1,0,0,0,0,0,0,0
514,0,0,0,0,0,0,0,1,0,0,0,0,0,0
516,0,0,0,0,0,0,0,0,1,0,0,0,0,0
518,0,2,0,0,0,0,0,1,0,1,8,1,0,0
520,1,0,0,0,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,1,2,0,0,0,0,0,0
522,0,0,0,0,0,0,1,0,0,0,0,0,0,0
525,1,0,0,0,0,0,0,0,0,0,0,0,0,0
528,0,0,0,0,0,2,10,0,2,1,0,2,0,0
532,0,0,0,0,0,0,0,0,0,0,1,0,0,0
533,1,0,0,0,0,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,1,1,0,1,0,0
536,0,0,0,0,0,0,1,0,0,0,0,0,0,0
537,0,1,0,0,0,0,0,0,0,0,0,0,0,0
538,0,0,0,0,0,0,1,0,0,0,0,0,0,0
539,1,0,0,0,0,0,0,0,0,0,0,0,0,0
540,0,0,0,0,0,0,0,1,0,0,0,0,0,0
541,0,0,0,0,0,0,0,1,0,0,0,0,0,0
542,0,1,0,0,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,0,1,0,0,0,0,0,0
544,0,0,0,0,0,0,0,1,0,0,0,0,0,0
545,0,0,0,0,0,0,0,0,0,0,1,0,0,0
547,0,0,0,0,1,0,0,0,0,0,0,0,0,0
548,0,1,0,0,0,0,0,0,0,1,1,0,0,0
549,0,0,0,0,0,0,0,1,0,0,0,0,0,0
550,0,0,0,0,0,0,0,0,0,0,1,0,0,0
551,0,0,0,0,0,0,0,0,0,0,1,0,0,0
552,0,0,0,0,0,0,0,0,0,0,1,0,0,0
553,0,0,0,0,0,0,0,0,0,0,1,0,0,0
554,0,0,0,0,0,0,1,0,0,0,0,0,0,0
555,0,0,0,0,0,0,0,0,0,0,1,0,0,0
557,0,0,0,0,0,0,0,0,0,0,1,0,0,0
558,0,0,0,0,0,0,0,0,0,0,1,0,0,0
562,0,0,0,0,0,0,0,0,0,0,1,0,0,0
563,0,0,0,0,0,0,0,0,0,0,0,1,0,0
564,0,0,0,0,0,0,0,0,0,0,1,0,0,0
566,0,0,0,0,0,0,1,0,0,0,0,0,0,0
