gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Kreislaufwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik
300,1,1,0,0,0,0,0,0,0,0,0,1,0
306,0,0,0,0,0,0,1,0,0,0,0,0,0
308,1,0,0,0,0,0,0,0,0,0,1,0,0
314,0,0,0,0,0,0,0,0,0,0,1,0,0
323,0,1,0,0,0,0,0,0,0,0,0,0,1
332,0,0,0,0,1,0,0,0,0,0,0,0,0
333,0,0,0,0,0,0,2,1,0,0,0,0,0
334,0,0,0,0,1,0,0,0,0,0,0,0,0
338,0,0,0,0,0,0,0,0,1,0,0,0,0
342,0,0,0,0,0,0,0,1,0,0,0,0,0
344,0,0,0,0,0,0,0,0,0,0,1,1,0
345,0,1,0,0,0,0,0,0,0,0,0,0,0
348,0,0,0,0,1,0,0,1,0,0,0,0,0
351,0,0,0,0,0,0,0,0,0,0,1,0,0
355,0,0,0,0,0,0,1,0,0,0,0,0,0
361,1,0,0,0,1,0,2,5,0,0,0,0,0
363,0,1,0,0,0,0,0,0,0,0,0,0,0
365,0,0,0,0,0,0,0,0,0,0,1,0,0
368,0,1,0,0,0,0,0,0,0,0,0,0,0
370,0,0,0,0,0,0,0,0,0,0,1,0,0
379,0,0,0,0,0,1,1,0,0,0,0,0,0
386,0,1,0,0,0,0,0,0,0,0,0,0,0
390,0,0,0,0,0,0,0,0,1,0,0,1,1
392,0,0,0,0,0,0,1,0,0,0,0,0,0
400,0,1,0,0,0,0,0,0,0,0,0,0,0
401,0,0,0,0,0,0,0,1,0,0,0,0,0
402,0,0,0,0,0,0,1,0,0,0,2,0,0
422,0,0,0,0,0,0,2,0,0,0,0,0,0
425,0,0,0,0,0,0,0,0,0,0,1,1,0
427,0,0,1,0,0,0,0,0,0,0,1,0,0
431,0,0,0,0,0,0,0,0,0,0,1,0,0
432,0,0,0,0,0,0,1,0,0,0,0,0,0
437,2,0,0,0,0,0,0,0,0,0,0,0,0
440,0,1,0,0,0,0,0,0,0,0,1,0,0
441,0,1,0,0,0,0,0,0,0,0,0,0,0
442,2,0,1,0,1,0,1,0,0,0,2,1,0
443,1,0,1,0,1,0,1,0,0,0,1,1,0
444,0,0,0,0,0,0,0,1,0,0,0,0,0
445,0,1,0,0,0,1,0,0,0,0,0,0,0
447,0,0,0,0,1,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,2,0,0,0,0,0,0
449,0,1,0,0,0,0,0,0,0,0,1,0,0
450,0,0,0,0,0,0,1,0,0,0,2,0,1
452,0,0,0,0,0,0,1,0,0,0,0,0,0
453,1,0,0,0,0,0,0,0,0,1,1,0,1
457,0,0,1,0,0,0,0,0,0,0,1,0,0
459,0,0,0,0,0,0,1,0,0,0,0,0,0
461,0,1,0,0,0,0,0,0,1,0,0,0,0
464,1,0,0,0,0,0,0,0,0,0,0,0,0
465,0,0,1,0,0,0,0,0,1,0,0,0,0
468,0,0,0,0,0,1,1,0,0,1,1,0,0
470,0,0,0,0,0,0,0,1,0,0,1,0,0
471,0,0,0,0,0,0,1,0,0,0,0,0,0
472,1,0,0,0,0,0,0,0,0,0,1,1,0
473,1,0,0,0,0,0,0,0,0,0,1,0,0
474,1,0,0,0,0,1,1,0,0,0,1,0,0
475,0,1,0,0,0,0,0,0,0,0,0,0,0
478,0,1,0,0,0,0,1,0,0,0,0,0,0
479,0,1,0,0,0,0,0,0,0,0,0,0,0
480,0,1,0,0,0,0,0,0,0,0,0,0,0
481,0,1,0,0,0,0,0,0,0,0,0,0,0
482,0,1,0,0,0,0,0,0,0,0,0,0,0
483,0,1,1,0,0,1,0,0,0,0,1,0,0
485,0,0,0,0,0,0,0,1,0,0,0,0,0
486,0,0,0,0,1,0,0,0,0,0,0,0,0
489,0,1,0,0,0,1,0,0,0,0,0,0,0
490,0,0,0,0,0,1,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,0,1,0,0
492,0,0,0,0,0,0,1,0,0,0,0,0,0
493,0,0,1,0,0,0,0,0,1,0,0,0,0
494,0,0,0,0,0,0,0,0,0,0,1,0,0
495,0,0,0,0,0,0,0,1,0,0,0,0,0
496,0,0,0,0,0,0,0,1,0,0,0,0,0
498,0,0,0,0,0,0,0,1,0,0,0,0,0
499,1,0,0,0,0,0,0,0,0,0,1,0,0
500,0,0,0,0,0,0,0,0,0,0,1,0,0
501,0,0,0,0,0,0,0,1,0,0,0,0,0
503,3,0,0,0,1,1,1,0,0,0,1,0,0
504,0,0,1,0,0,0,0,1,1,0,1,0,0
505,0,1,0,0,0,0,0,0,0,0,0,0,0
507,0,0,0,0,0,0,1,0,0,0,0,0,0
508,0,0,0,0,0,0,0,1,0,0,0,0,0
510,0,0,0,0,0,0,0,1,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,1,0,0
512,0,1,0,0,0,0,1,0,0,0,0,0,0
513,0,1,0,0,0,0,1,0,0,0,0,0,0
514,0,0,0,0,0,0,0,1,0,0,0,0,0
516,0,0,0,0,0,0,0,0,1,0,0,0,0
518,0,1,0,0,0,0,0,1,0,0,1,0,0
520,1,0,0,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,1,2,0,0,0,0,0
525,1,0,0,0,0,0,0,0,0,0,0,0,0
528,0,0,0,0,0,1,4,0,2,0,0,2,0
532,0,0,0,0,0,0,0,0,0,0,1,0,0
533,1,0,0,0,0,0,0,0,0,0,0,0,0
535,0,0,0,0,0,0,0,0,0,1,0,0,0
536,0,0,0,0,0,0,1,0,0,0,0,0,0
537,0,1,0,0,0,0,0,0,0,0,0,0,0
538,0,0,0,0,0,0,1,0,0,0,0,0,0
539,1,0,0,0,0,0,0,0,0,0,0,0,0
541,0,0,0,0,0,0,0,1,0,0,0,0,0
