Ereignisdatum,Meldungsdatum,Freigabedatum,Kanton,Tierart,Seuchenname,Serotyp,Season
12.09.24,12.09.24,12.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,12.09.24,12.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,12.09.24,12.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,12.09.24,12.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,12.09.24,12.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,12.09.24,12.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,12.09.24,12.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,12.09.24,12.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,17.09.24,17.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,18.09.24,18.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,18.09.24,18.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,18.09.24,18.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
12.09.24,26.09.24,26.09.24,ZG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,VD,Rind,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
13.09.24,13.09.24,13.09.24,SH,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,VD,Schaf,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
13.09.24,13.09.24,13.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,TG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,AG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,13.09.24,13.09.24,BE,Rind,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
13.09.24,13.09.24,13.09.24,BE,Rind,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
13.09.24,16.09.24,16.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,16.09.24,16.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,16.09.24,16.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,16.09.24,16.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,17.09.24,17.09.24,SG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,18.09.24,18.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,18.09.24,18.09.24,LU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,20.09.24,20.09.24,VD,Rind,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
13.09.24,24.09.24,24.09.24,AG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,27.09.24,27.09.24,SO,Rind,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
13.09.24,01.10.24,01.10.24,SO,Ziege,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
13.09.24,02.12.24,02.12.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
14.09.24,18.09.24,18.09.24,AI,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
14.09.24,26.09.24,26.09.24,ZG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
15.09.24,19.09.24,19.09.24,SG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,ZH,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,16.09.24,16.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,17.09.24,17.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,17.09.24,17.09.24,BE,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,17.09.24,17.09.24,BL,Ziege,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,17.09.24,17.09.24,AG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,17.09.24,17.09.24,AG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,17.09.24,17.09.24,BE,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,17.09.24,17.09.24,AG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,17.09.24,17.09.24,AG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,17.09.24,17.09.24,LU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,18.09.24,18.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,18.09.24,18.09.24,AR,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,18.09.24,18.09.24,BL,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,18.09.24,18.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,18.09.24,18.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,19.09.24,19.09.24,BL,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,19.09.24,19.09.24,LU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,19.09.24,19.09.24,LU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,19.09.24,19.09.24,SG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,19.09.24,19.09.24,SG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,19.09.24,19.09.24,SG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,19.09.24,19.09.24,SG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,20.09.24,30.09.24,BS,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,20.09.24,20.09.24,ZH,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,20.09.24,20.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,27.09.24,27.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
16.09.24,27.09.24,27.09.24,SO,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,VD,Rind,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
17.09.24,17.09.24,17.09.24,VD,Rind,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
17.09.24,17.09.24,17.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,JU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,JU,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,VD,Rind,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
17.09.24,17.09.24,17.09.24,BE,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,ZH,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,NE,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,BE,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,TG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,BE,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,LU,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,ZH,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,24.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,BE,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,TI,Schaf,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
17.09.24,17.09.24,17.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,TG,Schaf,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,TG,Rind,Blauzungenkrankheit (Bluetongue),BTV-3,mosquitoes-2024
17.09.24,17.09.24,17.09.24,TI,Schaf,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
17.09.24,17.09.24,17.09.24,TI,Schaf,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
17.09.24,17.09.24,17.09.24,TI,Schaf,Blauzungenkrankheit (Bluetongue),BTV-8,mosquitoes-2024
