year,canton,diseasesGroup,diseases,species,count
1991,GL,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,14
1991,GR,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,41
1991,NE,Eradicable diseases,Viral hemorrhagic septicemia,Fish,1
1991,AI,Diseases to be controlled,Salmonellosis,Chicken,1
1991,FR,Diseases to be monitored,Q fever (Coxiellosis),Cattle,14
1991,SZ,Diseases to be monitored,Q fever (Coxiellosis),Cattle,1
1991,VS,Diseases to be controlled,European foulbrood of bees,Bees,4
1991,ZH,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,2
1991,JU,Eradicable diseases,Enzootic bovine leukosis,Cattle,18
1991,AG,Eradicable diseases,Infectious bovine rhinotracheitis/Infectious pustular vulvovaginitis,Cattle,2
1991,ZH,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,3
1991,SZ,Eradicable diseases,Infectious bovine rhinotracheitis/Infectious pustular vulvovaginitis,Cattle,1
1991,VS,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,2
1991,BE,Diseases to be controlled,Infectious pancreatic necrosis,Fish,2
1991,BE,Eradicable diseases,Viral hemorrhagic septicemia,Fish,3
1991,BE,Diseases to be monitored,Q fever (Coxiellosis),Cattle,27
1991,FR,Eradicable diseases,Enzootic bovine leukosis,Cattle,1
1991,TI,Diseases to be controlled,Sheep scab,Sheep,33
1991,BE,Highly contagious diseases,Newcastle disease,Pigeon,1
1991,GR,Eradicable diseases,Enzootic bovine leukosis,Cattle,1
1991,NE,Eradicable diseases,Rabies,Badger,1
1991,AG,Diseases to be controlled,Salmonellosis,Chicken,2
1991,JU,Diseases to be monitored,Q fever (Coxiellosis),Cattle,4
1992,SG,Diseases to be controlled,Salmonellosis,Cattle,6
1992,ZH,Diseases to be controlled,Salmonellosis,Cattle,8
1992,SO,Eradicable diseases,Rabies,Fox,20
1992,LU,Diseases to be controlled,Avian chlamydiosis,Other wild bird,2
1992,AG,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1992,FR,Diseases to be controlled,Salmonellosis,Sheep,1
1992,SZ,Diseases to be controlled,Salmonellosis,Cattle,3
1992,SG,Diseases to be controlled,Salmonellosis,Pig,1
1992,ZG,Diseases to be controlled,Salmonellosis,Cattle,3
1992,BL,Diseases to be monitored,Q fever (Coxiellosis),Cattle,1
1992,VS,Diseases to be monitored,Q fever (Coxiellosis),Cattle,15
1992,BE,Diseases to be controlled,Infectious laryngotracheitis of chickens,Chicken,4
1992,ZH,Diseases to be monitored,Q fever (Coxiellosis),Cattle,11
1992,AI,Diseases to be controlled,Salmonellosis,Cattle,1
1992,ZH,Diseases to be controlled,American foulbrood of bees,Bees,1
1992,NE,Diseases to be controlled,Salmonellosis,Cattle,1
1992,AG,Eradicable diseases,Infectious bovine rhinotracheitis/Infectious pustular vulvovaginitis,Cattle,1
1992,SZ,Diseases to be controlled,Leptospirosis,Cattle,1
1992,SG,Diseases to be controlled,Leptospirosis,Cattle,1
1992,NE,Diseases to be controlled,Salmonellosis,Dog,4
1992,BE,Diseases to be controlled,Sheep scab,Sheep,4
1992,OW,Diseases to be controlled,Salmonellosis,Cattle,1
1992,LU,Diseases to be controlled,Sheep scab,Sheep,2
1992,NW,Diseases to be controlled,Salmonellosis,Cattle,3
1992,GR,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1992,FR,Diseases to be controlled,Sheep scab,Sheep,2
1992,GR,Diseases to be monitored,Q fever (Coxiellosis),Cattle,2
1992,ZG,Diseases to be controlled,American foulbrood of bees,Bees,1
1992,UR,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1992,FR,Diseases to be controlled,Leptospirosis,Cattle,42
1992,BL,Eradicable diseases,Rabies,Fox,36
1992,VS,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,22
1992,GR,Diseases to be controlled,American foulbrood of bees,Bees,5
1992,VS,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,6
1992,GR,Eradicable diseases,Infectious bovine rhinotracheitis/Infectious pustular vulvovaginitis,Cattle,1
1992,SO,Diseases to be controlled,Avian chlamydiosis,Parrot,2
1992,BE,Diseases to be controlled,Avian chlamydiosis,Pigeon,2
1992,NE,Diseases to be controlled,Infectious laryngotracheitis of chickens,Chicken,1
1992,VS,Diseases to be controlled,American foulbrood of bees,Bees,13
1992,LU,Diseases to be controlled,American foulbrood of bees,Bees,6
1992,AG,Diseases to be controlled,Avian chlamydiosis,Parrot,3
1992,VD,Diseases to be controlled,Salmonellosis,Cattle,2
1992,SG,Diseases to be monitored,Q fever (Coxiellosis),Cattle,10
1992,LU,Eradicable diseases,Viral hemorrhagic septicemia,Fish,1
1992,FR,Diseases to be controlled,Avian chlamydiosis,Other wild bird,1
1992,GL,Diseases to be controlled,Sheep scab,Sheep,1
1992,LU,Diseases to be controlled,Salmonellosis,Cattle,13
1992,JU,Eradicable diseases,Rabies,Fox,24
1992,AG,Diseases to be controlled,European foulbrood of bees,Bees,1
1992,BS,Eradicable diseases,Rabies,Fox,6
1992,SG,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,5
1992,VS,Eradicable diseases,Viral hemorrhagic septicemia,Fish,1
1992,BE,Diseases to be controlled,American foulbrood of bees,Bees,16
1992,TG,Diseases to be controlled,American foulbrood of bees,Bees,2
1992,AG,Diseases to be controlled,Salmonellosis,Cattle,10
1992,BL,Eradicable diseases,Rabies,Badger,4
1992,AR,Diseases to be controlled,Leptospirosis,Cattle,2
1992,JU,Diseases to be controlled,Leptospirosis,Cattle,1
1992,SG,Diseases to be controlled,Sheep scab,Sheep,6
1992,SZ,Diseases to be monitored,Q fever (Coxiellosis),Sheep,3
1992,TI,Diseases to be controlled,American foulbrood of bees,Bees,19
1992,VD,Diseases to be monitored,Blackleg,Cattle,1
1992,BE,Diseases to be controlled,Avian chlamydiosis,Parrot,6
1992,LU,Diseases to be controlled,European foulbrood of bees,Bees,2
1992,JU,Diseases to be monitored,Blackleg,Cattle,1
1992,VS,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1992,AG,Eradicable diseases,Rabies,Fox,1
1992,FR,Eradicable diseases,Rabies,Bat,1
1992,ZH,Diseases to be controlled,Salmonellosis,Goat,1
1992,SG,Diseases to be controlled,American foulbrood of bees,Bees,1
1992,AR,Diseases to be monitored,Q fever (Coxiellosis),Cattle,5
1992,AG,Diseases to be controlled,Salmonellosis,Chicken,2
1992,ZH,Diseases to be controlled,Infectious laryngotracheitis of chickens,Chicken,1
1992,JU,Eradicable diseases,Rabies,Badger,3
1992,BS,Diseases to be controlled,Myxomatosis,Rabbit,12
1992,TG,Diseases to be controlled,Salmonellosis,Cattle,3
1992,VD,Diseases to be controlled,Infectious laryngotracheitis of chickens,Other wild bird,1
1992,SO,Eradicable diseases,Viral hemorrhagic septicemia,Fish,2
1992,GE,Diseases to be controlled,Avian chlamydiosis,Parrot,1
1992,BE,Diseases to be monitored,Q fever (Coxiellosis),Cattle,25
1992,AG,Eradicable diseases,Enzootic bovine leukosis,Cattle,1
1992,FR,Diseases to be controlled,Salmonellosis,Cattle,3
1992,BL,Eradicable diseases,Rabies,Deer,1
1992,BL,Eradicable diseases,Rabies,Marten,1
1992,SG,Diseases to be controlled,Salmonellosis,Other pet,1
1992,VD,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,2
1992,GR,Diseases to be controlled,European foulbrood of bees,Bees,2
1992,BE,Eradicable diseases,Rabies,Fox,6
1992,UR,Diseases to be controlled,European foulbrood of bees,Bees,2
1992,NE,Diseases to be controlled,Salmonellosis,Cat,1
1992,FR,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,2
1992,SZ,Diseases to be monitored,Blackleg,Cattle,1
1992,UR,Diseases to be controlled,Sheep scab,Sheep,1
1992,FR,Diseases to be monitored,Q fever (Coxiellosis),Cattle,14
1992,GR,Diseases to be monitored,Q fever (Coxiellosis),Goat,1
1992,AR,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1992,VD,Diseases to be controlled,European foulbrood of bees,Bees,3
1992,SZ,Diseases to be controlled,Sheep scab,Sheep,13
1992,UR,Diseases to be controlled,Leptospirosis,Cattle,3
1992,BL,Eradicable diseases,Viral hemorrhagic septicemia,Fish,1
1992,TI,Eradicable diseases,Infectious agalactia,Goat,1
1992,SZ,Diseases to be monitored,Q fever (Coxiellosis),Cattle,2
1992,BE,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,6
1992,TI,Diseases to be controlled,Sheep scab,Sheep,6
1992,BE,Diseases to be monitored,Blackleg,Cattle,5
1992,OW,Diseases to be monitored,Q fever (Coxiellosis),Cattle,3
1992,NE,Diseases to be monitored,Q fever (Coxiellosis),Cattle,4
1992,VS,Diseases to be controlled,Salmonellosis,Cattle,2
1992,NE,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,2
1992,BL,Diseases to be monitored,Q fever (Coxiellosis),Sheep,1
1992,VS,Diseases to be controlled,European foulbrood of bees,Bees,18
1992,NE,Diseases to be controlled,Leptospirosis,Cattle,1
1992,AG,Diseases to be controlled,American foulbrood of bees,Bees,3
1992,ZH,Diseases to be controlled,Avian chlamydiosis,Parrot,3
1992,SG,Diseases to be controlled,Infectious laryngotracheitis of chickens,Chicken,1
1992,LU,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1992,SO,Eradicable diseases,Enzootic bovine leukosis,Cattle,5
1992,VD,Diseases to be controlled,American foulbrood of bees,Bees,12
1992,FR,Diseases to be monitored,Blackleg,Cattle,4
1992,SG,Diseases to be controlled,Avian chlamydiosis,Pigeon,2
1992,ZH,Diseases to be controlled,Infectious pancreatic necrosis,Fish,1
1992,LU,Diseases to be controlled,Salmonellosis,Chicken,3
1992,UR,Diseases to be controlled,American foulbrood of bees,Bees,3
1992,BE,Diseases to be controlled,Salmonellosis,Cattle,13
1992,ZH,Diseases to be controlled,Sheep scab,Sheep,1
1992,SG,Diseases to be controlled,Salmonellosis,Chicken,3
1992,FL,Eradicable diseases,Infectious bovine rhinotracheitis/Infectious pustular vulvovaginitis,Cattle,1
1992,BE,Diseases to be controlled,European foulbrood of bees,Bees,10
1992,FR,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,4
1992,BE,Diseases to be controlled,Salmonellosis,Chicken,4
1992,FR,Diseases to be controlled,American foulbrood of bees,Bees,5
1992,OW,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1992,BL,Eradicable diseases,Enzootic bovine leukosis,Cattle,1
1992,JU,Diseases to be controlled,American foulbrood of bees,Bees,5
1992,TG,Diseases to be controlled,European foulbrood of bees,Bees,2
1992,GE,Diseases to be controlled,Sheep scab,Sheep,1
1992,GR,Diseases to be monitored,Q fever (Coxiellosis),Sheep,1
1992,AG,Eradicable diseases,Viral hemorrhagic septicemia,Fish,1
1992,VD,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,1
1992,SO,Eradicable diseases,Rabies,Badger,6
1992,BE,Highly contagious diseases,Newcastle disease,Chicken,1
1992,SO,Eradicable diseases,Rabies,Cat,3
1992,NE,Eradicable diseases,Rabies,Fox,1
1992,BL,Eradicable diseases,Rabies,Cattle,1
1992,BE,Diseases to be monitored,Q fever (Coxiellosis),Sheep,1
1992,BL,Diseases to be controlled,Salmonellosis,Cattle,1
1992,SO,Eradicable diseases,Rabies,Cattle,1
1992,BE,Eradicable diseases,Viral hemorrhagic septicemia,Fish,2
1993,SG,Diseases to be controlled,Salmonellosis,Other wild bird,1
1993,ZG,Diseases to be controlled,American foulbrood of bees,Bees,1
1993,SZ,Diseases to be controlled,Salmonellosis,Cattle,1
1993,FR,Diseases to be monitored,Q fever (Coxiellosis),Cattle,11
1993,GR,Diseases to be monitored,Q fever (Coxiellosis),Sheep,1
1993,NE,Diseases to be controlled,Leptospirosis,Cattle,4
1993,VS,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,10
1993,LU,Diseases to be controlled,European foulbrood of bees,Bees,10
1993,JU,Eradicable diseases,Rabies,Cattle,4
1993,BL,Eradicable diseases,Enzootic bovine leukosis,Cattle,1
1993,LU,Diseases to be monitored,Blackleg,Cattle,1
1993,OW,Diseases to be controlled,European foulbrood of bees,Bees,2
1993,BE,Highly contagious diseases,Classical swine fever,Pig,3
1993,GE,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,1
1993,FR,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,2
1993,SG,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,16
1993,TG,Diseases to be monitored,Q fever (Coxiellosis),Sheep,1
1993,NE,Diseases to be controlled,Salmonellosis,Chicken,1
1993,SZ,Diseases to be controlled,Sheep scab,Sheep,17
1993,BE,Diseases to be controlled,Salmonellosis,Cattle,8
1993,VD,Diseases to be controlled,American foulbrood of bees,Bees,1
1993,BE,Diseases to be monitored,Q fever (Coxiellosis),Cattle,16
1993,JU,Diseases to be controlled,Salmonellosis,Cattle,1
1993,JU,Eradicable diseases,Rabies,Fox,35
1993,SZ,Eradicable diseases,Strangles,Sheep,2
1993,VD,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,7
1993,VD,Diseases to be monitored,Listeriosis,Cattle,3
1993,ZH,Diseases to be controlled,Sheep scab,Sheep,1
1993,BE,Diseases to be controlled,American foulbrood of bees,Bees,23
1993,ZH,Diseases to be monitored,Q fever (Coxiellosis),Cattle,4
1993,BL,Eradicable diseases,Rabies,Cattle,2
1993,BS,Eradicable diseases,Rabies,Badger,1
1993,AI,Diseases to be monitored,Q fever (Coxiellosis),Cattle,1
1993,AG,Eradicable diseases,Rabies,Cattle,1
1993,BL,Diseases to be controlled,American foulbrood of bees,Bees,1
1993,SO,Diseases to be controlled,European foulbrood of bees,Bees,1
1993,SO,Diseases to be controlled,American foulbrood of bees,Bees,1
1993,FR,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,2
1993,LU,Diseases to be controlled,Salmonellosis,Cattle,4
1993,SO,Eradicable diseases,Rabies,Badger,3
1993,SZ,Diseases to be monitored,Q fever (Coxiellosis),Cattle,1
1993,FR,Diseases to be controlled,American foulbrood of bees,Bees,22
1993,SG,Diseases to be monitored,Q fever (Coxiellosis),Cattle,7
1993,SO,Eradicable diseases,Rabies,Fox,8
1993,GE,Diseases to be controlled,Avian chlamydiosis,Parrot,2
1993,BE,Eradicable diseases,Rabies,Fox,2
1993,TG,Eradicable diseases,Enzootic bovine leukosis,Cattle,1
1993,VS,Diseases to be monitored,Blackleg,Cattle,1
1993,AG,Diseases to be controlled,American foulbrood of bees,Bees,1
1993,AI,Diseases to be controlled,Leptospirosis,Cattle,2
1993,VD,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,2
1993,JU,Diseases to be controlled,American foulbrood of bees,Bees,3
1993,NW,Diseases to be controlled,American foulbrood of bees,Bees,1
1993,SO,Diseases to be controlled,Myxomatosis,Rabbit,1
1993,GE,Diseases to be controlled,American foulbrood of bees,Bees,2
1993,BL,Eradicable diseases,Rabies,Badger,6
1993,BL,Eradicable diseases,Rabies,Cat,1
1993,BL,Eradicable diseases,Rabies,Horse,2
1993,LU,Diseases to be controlled,Infectious laryngotracheitis of chickens,Chicken,1
1993,UR,Diseases to be monitored,Q fever (Coxiellosis),Cattle,1
1993,VS,Diseases to be monitored,Rabbit hemorrhagic disease,Rabbit,8
1993,VD,Diseases to be controlled,European foulbrood of bees,Bees,2
1993,LU,Diseases to be controlled,American foulbrood of bees,Bees,22
1993,FR,Diseases to be controlled,Salmonellosis,Cattle,1
1993,NW,Diseases to be controlled,Hypodermosis,Cattle,1
1993,SG,Diseases to be controlled,Salmonellosis,Pigeon,1
1993,SG,Diseases to be controlled,Avian chlamydiosis,Pigeon,1
1993,BE,Eradicable diseases,Viral hemorrhagic septicemia,Fish,2
1993,GR,Diseases to be controlled,American foulbrood of bees,Bees,38
1993,AG,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,2
1993,ZG,Diseases to be controlled,Salmonellosis,Cattle,1
1993,BE,Diseases to be controlled,Infectious laryngotracheitis of chickens,Chicken,3
1993,AG,Diseases to be controlled,Avian chlamydiosis,Parrot,3
1993,BS,Eradicable diseases,Rabies,Fox,28
1993,UR,Diseases to be controlled,Sheep scab,Sheep,2
1993,BS,Eradicable diseases,Rabies,Marten,1
1993,VD,Diseases to be controlled,Infectious laryngotracheitis of chickens,Chicken,1
1993,ZH,Diseases to be controlled,Salmonellosis,Other wild bird,1
1993,BE,Eradicable diseases,Strangles,Goat,1
1993,AG,Eradicable diseases,Rabies,Fox,19
1993,SZ,Diseases to be controlled,Salmonellosis,Chicken,1
1993,NE,Diseases to be controlled,American foulbrood of bees,Bees,2
1993,FL,Diseases to be controlled,American foulbrood of bees,Bees,6
1993,ZH,Diseases to be controlled,Avian chlamydiosis,Parrot,3
1993,ZH,Diseases to be controlled,European foulbrood of bees,Bees,5
1993,VD,Diseases to be monitored,Blackleg,Cattle,3
1993,ZH,Diseases to be controlled,Avian chlamydiosis,Other wild bird,1
1993,BE,Diseases to be controlled,Avian chlamydiosis,Pigeon,1
1993,BE,Diseases to be monitored,Q fever (Coxiellosis),Sheep,1
1993,VD,Diseases to be controlled,Sheep scab,Sheep,1
1993,GR,Diseases to be monitored,Q fever (Coxiellosis),Goat,1
1993,TI,Diseases to be controlled,American foulbrood of bees,Bees,9
1993,AR,Diseases to be controlled,Leptospirosis,Cattle,3
1993,NE,Diseases to be controlled,Salmonellosis,Turtle,1
1993,SG,Eradicable diseases,Rabies,Cattle,1
1993,AR,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1993,AG,Eradicable diseases,Infectious haematopoietic necrosis,Fish,1
1993,BL,Eradicable diseases,Rabies,Sheep,2
1993,TG,Diseases to be monitored,Varroa destructor (bee mite disease),Bees,2
1993,BE,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,7
1993,TG,Diseases to be controlled,Salmonellosis,Cattle,2
1993,GE,Eradicable diseases,Rabies,Bat,1
1993,SG,Eradicable diseases,Bovine spongiform encephalopathy,Cattle,1
1993,SG,Diseases to be controlled,Leptospirosis,Cattle,8
1993,BE,Diseases to be controlled,European foulbrood of bees,Bees,9
1993,OW,Diseases to be controlled,Sheep scab,Sheep,1
1993,SO,Diseases to be controlled,Avian chlamydiosis,Pigeon,1
