Category,Critical active substance ,Prescription type,Category of use,Species,Year,Number of animal treatments
All animals,No,Oral group treatments,Young sows,All species,2021,994
All animals,Yes,All prescription types,Young sows,All species,2021,82
All animals,Yes,Single treatments farm animals,Young sows,All species,2021,22
All animals,Yes,Oral group treatments,Young sows,All species,2021,60
All animals,All types of active ingredients,All prescription types,Young sows,All species,2021,1140
All animals,All types of active ingredients,Single treatments farm animals,Young sows,All species,2021,86
All animals,All types of active ingredients,Oral group treatments,Young sows,All species,2021,1054
All animals,No,All prescription types,Camelids,All species,2021,640
All animals,No,Single treatments farm animals,Camelids,All species,2021,640
All animals,Yes,All prescription types,Camelids,All species,2021,92
All animals,Yes,Single treatments farm animals,Camelids,All species,2021,92
All animals,All types of active ingredients,All prescription types,Camelids,All species,2021,732
All animals,All types of active ingredients,Single treatments farm animals,Camelids,All species,2021,732
All animals,No,All prescription types,Rabbits,All species,2021,134478
All animals,No,Single treatments farm animals,Rabbits,All species,2021,21
All animals,No,Oral group treatments,Rabbits,All species,2021,134457
All animals,Yes,All prescription types,Rabbits,All species,2021,11000
All animals,Yes,Single treatments farm animals,Rabbits,All species,2021,200
All animals,Yes,Oral group treatments,Rabbits,All species,2021,10800
All animals,All types of active ingredients,All prescription types,Rabbits,All species,2021,145478
All animals,All types of active ingredients,Single treatments farm animals,Rabbits,All species,2021,221
All animals,All types of active ingredients,Oral group treatments,Rabbits,All species,2021,145257
All animals,No,All prescription types,Cats,All species,2021,224749
All animals,No,Single treatments companion animals,Cats,All species,2021,224749
All animals,Yes,All prescription types,Cats,All species,2021,107979
All animals,Yes,Single treatments companion animals,Cats,All species,2021,107979
All animals,All types of active ingredients,All prescription types,Cats,All species,2021,332728
All animals,All types of active ingredients,Single treatments companion animals,Cats,All species,2021,332728
All animals,No,All prescription types,Laying and parent birds,All species,2021,91847
All animals,No,Single treatments farm animals,Laying and parent birds,All species,2021,1
All animals,No,Oral group treatments,Laying and parent birds,All species,2021,91846
All animals,Yes,All prescription types,Laying and parent birds,All species,2021,10421
All animals,Yes,Single treatments farm animals,Laying and parent birds,All species,2021,1
All animals,Yes,Oral group treatments,Laying and parent birds,All species,2021,10420
All animals,All types of active ingredients,All prescription types,Laying and parent birds,All species,2021,102268
All animals,All types of active ingredients,Single treatments farm animals,Laying and parent birds,All species,2021,2
All animals,All types of active ingredients,Oral group treatments,Laying and parent birds,All species,2021,102266
All animals,No,All prescription types,Laying hens,All species,2021,240210
All animals,No,Single treatments farm animals,Laying hens,All species,2021,1
All animals,No,Oral group treatments,Laying hens,All species,2021,240209
All animals,Yes,All prescription types,Laying hens,All species,2021,25889
All animals,Yes,Single treatments farm animals,Laying hens,All species,2021,4
All animals,Yes,Oral group treatments,Laying hens,All species,2021,25885
All animals,All types of active ingredients,All prescription types,Laying hens,All species,2021,266099
All animals,All types of active ingredients,Single treatments farm animals,Laying hens,All species,2021,5
All animals,All types of active ingredients,Oral group treatments,Laying hens,All species,2021,266094
All animals,No,All prescription types,Fattening calves and cattle,All species,2021,243167
All animals,No,Single treatments farm animals,Fattening calves and cattle,All species,2021,32992
All animals,No,Oral group treatments,Fattening calves and cattle,All species,2021,210175
All animals,Yes,All prescription types,Fattening calves and cattle,All species,2021,81795
All animals,Yes,Single treatments farm animals,Fattening calves and cattle,All species,2021,27578
All animals,Yes,Oral group treatments,Fattening calves and cattle,All species,2021,54217
All animals,All types of active ingredients,All prescription types,Fattening calves and cattle,All species,2021,324962
All animals,All types of active ingredients,Single treatments farm animals,Fattening calves and cattle,All species,2021,60570
All animals,All types of active ingredients,Oral group treatments,Fattening calves and cattle,All species,2021,264392
All animals,No,All prescription types,Fattening broilers,All species,2021,4950867
All animals,No,Oral group treatments,Fattening broilers,All species,2021,4950867
All animals,Yes,All prescription types,Fattening broilers,All species,2021,6067803
All animals,Yes,Oral group treatments,Fattening broilers,All species,2021,6067803
All animals,All types of active ingredients,All prescription types,Fattening broilers,All species,2021,11018670
All animals,All types of active ingredients,Oral group treatments,Fattening broilers,All species,2021,11018670
All animals,No,All prescription types,Fattening pigs,All species,2021,87796
All animals,No,Single treatments farm animals,Fattening pigs,All species,2021,2534
All animals,No,Oral group treatments,Fattening pigs,All species,2021,85262
All animals,Yes,All prescription types,Fattening pigs,All species,2021,11701
All animals,Yes,Single treatments farm animals,Fattening pigs,All species,2021,363
All animals,Yes,Oral group treatments,Fattening pigs,All species,2021,11338
All animals,All types of active ingredients,All prescription types,Fattening pigs,All species,2021,99497
All animals,All types of active ingredients,Single treatments farm animals,Fattening pigs,All species,2021,2897
All animals,All types of active ingredients,Oral group treatments,Fattening pigs,All species,2021,96600
All animals,No,All prescription types,Fattening turkeys,All species,2021,6861
All animals,No,Single treatments farm animals,Fattening turkeys,All species,2021,1
All animals,No,Oral group treatments,Fattening turkeys,All species,2021,6860
All animals,Yes,All prescription types,Fattening turkeys,All species,2021,1309
All animals,Yes,Oral group treatments,Fattening turkeys,All species,2021,1309
All animals,All types of active ingredients,All prescription types,Fattening turkeys,All species,2021,8170
All animals,All types of active ingredients,Single treatments farm animals,Fattening turkeys,All species,2021,1
All animals,All types of active ingredients,Oral group treatments,Fattening turkeys,All species,2021,8169
All animals,No,All prescription types,Dairy cows,All species,2021,359152
All animals,No,Single treatments farm animals,Dairy cows,All species,2021,359102
All animals,No,Oral group treatments,Dairy cows,All species,2021,50
All animals,Yes,All prescription types,Dairy cows,All species,2021,30497
All animals,Yes,Single treatments farm animals,Dairy cows,All species,2021,30497
All animals,All types of active ingredients,All prescription types,Dairy cows,All species,2021,389649
All animals,All types of active ingredients,Single treatments farm animals,Dairy cows,All species,2021,389599
All animals,All types of active ingredients,Oral group treatments,Dairy cows,All species,2021,50
All animals,No,All prescription types,Cow-calf calves,All species,2021,14965
All animals,No,Single treatments farm animals,Cow-calf calves,All species,2021,14918
All animals,No,Oral group treatments,Cow-calf calves,All species,2021,47
All animals,Yes,All prescription types,Cow-calf calves,All species,2021,3236
All animals,Yes,Single treatments farm animals,Cow-calf calves,All species,2021,3216
All animals,Yes,Oral group treatments,Cow-calf calves,All species,2021,20
All animals,All types of active ingredients,All prescription types,Cow-calf calves,All species,2021,18201
All animals,All types of active ingredients,Single treatments farm animals,Cow-calf calves,All species,2021,18134
All animals,All types of active ingredients,Oral group treatments,Cow-calf calves,All species,2021,67
All animals,No,All prescription types,Suckler cows,All species,2021,23669
All animals,No,Single treatments farm animals,Suckler cows,All species,2021,23669
All animals,Yes,All prescription types,Suckler cows,All species,2021,1519
All animals,Yes,Single treatments farm animals,Suckler cows,All species,2021,1519
All animals,All types of active ingredients,All prescription types,Suckler cows,All species,2021,25188
All animals,All types of active ingredients,Single treatments farm animals,Suckler cows,All species,2021,25188
All animals,No,All prescription types,Cattle nCU,All species,2021,118398
All animals,No,Single treatments farm animals,Cattle nCU,All species,2021,118029
All animals,No,Oral group treatments,Cattle nCU,All species,2021,369
All animals,Yes,All prescription types,Cattle nCU,All species,2021,15728
All animals,Yes,Single treatments farm animals,Cattle nCU,All species,2021,15708
All animals,Yes,Oral group treatments,Cattle nCU,All species,2021,20
All animals,All types of active ingredients,All prescription types,Cattle nCU,All species,2021,134126
All animals,All types of active ingredients,Single treatments farm animals,Cattle nCU,All species,2021,133737
All animals,All types of active ingredients,Oral group treatments,Cattle nCU,All species,2021,389
All animals,No,All prescription types,Suckling and weaned piglets,All species,2021,151699
All animals,No,Single treatments farm animals,Suckling and weaned piglets,All species,2021,1030
All animals,No,Oral group treatments,Suckling and weaned piglets,All species,2021,150669
All animals,Yes,All prescription types,Suckling and weaned piglets,All species,2021,23576
All animals,Yes,Single treatments farm animals,Suckling and weaned piglets,All species,2021,1696
All animals,Yes,Oral group treatments,Suckling and weaned piglets,All species,2021,21880
All animals,All types of active ingredients,All prescription types,Suckling and weaned piglets,All species,2021,175275
All animals,All types of active ingredients,Single treatments farm animals,Suckling and weaned piglets,All species,2021,2726
All animals,All types of active ingredients,Oral group treatments,Suckling and weaned piglets,All species,2021,172549
All animals,No,All prescription types,Sheep,All species,2021,14014
All animals,No,Single treatments farm animals,Sheep,All species,2021,13354
All animals,No,Oral group treatments,Sheep,All species,2021,660
All animals,Yes,All prescription types,Sheep,All species,2021,1338
All animals,Yes,Single treatments farm animals,Sheep,All species,2021,1338
All animals,All types of active ingredients,All prescription types,Sheep,All species,2021,15352
All animals,All types of active ingredients,Single treatments farm animals,Sheep,All species,2021,14692
All animals,All types of active ingredients,Oral group treatments,Sheep,All species,2021,660
All animals,No,All prescription types,Pigs nCU,All species,2021,8929
All animals,No,Single treatments farm animals,Pigs nCU,All species,2021,1259
All animals,No,Oral group treatments,Pigs nCU,All species,2021,7670
All animals,Yes,All prescription types,Pigs nCU,All species,2021,2227
All animals,Yes,Single treatments farm animals,Pigs nCU,All species,2021,478
All animals,Yes,Oral group treatments,Pigs nCU,All species,2021,1749
All animals,All types of active ingredients,All prescription types,Pigs nCU,All species,2021,11156
All animals,All types of active ingredients,Single treatments farm animals,Pigs nCU,All species,2021,1737
All animals,All types of active ingredients,Oral group treatments,Pigs nCU,All species,2021,9419
All animals,No,All prescription types,Goats,All species,2021,9775
All animals,No,Single treatments farm animals,Goats,All species,2021,6974
All animals,No,Oral group treatments,Goats,All species,2021,2801
All animals,Yes,All prescription types,Goats,All species,2021,1749
All animals,Yes,Single treatments farm animals,Goats,All species,2021,737
All animals,Yes,Oral group treatments,Goats,All species,2021,1012
All animals,All types of active ingredients,All prescription types,Goats,All species,2021,11524
All animals,All types of active ingredients,Single treatments farm animals,Goats,All species,2021,7711
All animals,All types of active ingredients,Oral group treatments,Goats,All species,2021,3813
All animals,No,All prescription types,Breeding sows and boars,All species,2021,1791
All animals,No,Single treatments farm animals,Breeding sows and boars,All species,2021,1020
All animals,No,Oral group treatments,Breeding sows and boars,All species,2021,771
All animals,Yes,All prescription types,Breeding sows and boars,All species,2021,717
All animals,Yes,Single treatments farm animals,Breeding sows and boars,All species,2021,713
All animals,Yes,Oral group treatments,Breeding sows and boars,All species,2021,4
All animals,All types of active ingredients,All prescription types,Breeding sows and boars,All species,2021,2508
All animals,All types of active ingredients,Single treatments farm animals,Breeding sows and boars,All species,2021,1733
All animals,All types of active ingredients,Oral group treatments,Breeding sows and boars,All species,2021,775
All animals,No,All prescription types,All categories of use,Equids,2021,20722
All animals,No,Single treatments companion animals,All categories of use,Equids,2021,20722
All animals,Yes,All prescription types,All categories of use,Equids,2021,1036
All animals,Yes,Single treatments companion animals,All categories of use,Equids,2021,1036
All animals,All types of active ingredients,All prescription types,All categories of use,Equids,2021,21758
All animals,All types of active ingredients,Single treatments companion animals,All categories of use,Equids,2021,21758
All animals,No,All prescription types,Equids,Equids,2021,20722
All animals,No,Single treatments companion animals,Equids,Equids,2021,20722
All animals,Yes,All prescription types,Equids,Equids,2021,1036
All animals,Yes,Single treatments companion animals,Equids,Equids,2021,1036
All animals,All types of active ingredients,All prescription types,Equids,Equids,2021,21758
All animals,All types of active ingredients,Single treatments companion animals,Equids,Equids,2021,21758
All animals,No,All prescription types,All categories of use,Fish,2021,7574594
All animals,No,Oral group treatments,All categories of use,Fish,2021,7574594
All animals,All types of active ingredients,All prescription types,All categories of use,Fish,2021,7574594
All animals,All types of active ingredients,Oral group treatments,All categories of use,Fish,2021,7574594
All animals,No,All prescription types,Fish,Fish,2021,7574594
All animals,No,Oral group treatments,Fish,Fish,2021,7574594
All animals,All types of active ingredients,All prescription types,Fish,Fish,2021,7574594
All animals,All types of active ingredients,Oral group treatments,Fish,Fish,2021,7574594
All animals,No,All prescription types,All categories of use,Poultry,2021,5555077
All animals,No,Single treatments farm animals,All categories of use,Poultry,2021,16
All animals,No,Oral group treatments,All categories of use,Poultry,2021,5555061
All animals,Yes,All prescription types,All categories of use,Poultry,2021,6397890
All animals,Yes,Single treatments farm animals,All categories of use,Poultry,2021,21
All animals,Yes,Oral group treatments,All categories of use,Poultry,2021,6397869
All animals,All types of active ingredients,All prescription types,All categories of use,Poultry,2021,11952967
All animals,All types of active ingredients,Single treatments farm animals,All categories of use,Poultry,2021,37
All animals,All types of active ingredients,Oral group treatments,All categories of use,Poultry,2021,11952930
All animals,No,All prescription types,Rearing laying hens and parent birds,Poultry,2021,265180
All animals,No,Single treatments farm animals,Rearing laying hens and parent birds,Poultry,2021,1
All animals,No,Oral group treatments,Rearing laying hens and parent birds,Poultry,2021,265179
All animals,Yes,All prescription types,Rearing laying hens and parent birds,Poultry,2021,290047
All animals,Yes,Single treatments farm animals,Rearing laying hens and parent birds,Poultry,2021,3
All animals,Yes,Oral group treatments,Rearing laying hens and parent birds,Poultry,2021,290044
All animals,All types of active ingredients,All prescription types,Rearing laying hens and parent birds,Poultry,2021,555227
All animals,All types of active ingredients,Single treatments farm animals,Rearing laying hens and parent birds,Poultry,2021,4
All animals,All types of active ingredients,Oral group treatments,Rearing laying hens and parent birds,Poultry,2021,555223
All animals,No,All prescription types,Poultry nCU,Poultry,2021,112
All animals,No,Single treatments farm animals,Poultry nCU,Poultry,2021,12
All animals,No,Oral group treatments,Poultry nCU,Poultry,2021,100
All animals,Yes,All prescription types,Poultry nCU,Poultry,2021,2421
All animals,Yes,Single treatments farm animals,Poultry nCU,Poultry,2021,13
All animals,Yes,Oral group treatments,Poultry nCU,Poultry,2021,2408
All animals,All types of active ingredients,All prescription types,Poultry nCU,Poultry,2021,2533
All animals,All types of active ingredients,Single treatments farm animals,Poultry nCU,Poultry,2021,25
All animals,All types of active ingredients,Oral group treatments,Poultry nCU,Poultry,2021,2508
All animals,No,All prescription types,Laying and parent birds,Poultry,2021,91847
All animals,No,Single treatments farm animals,Laying and parent birds,Poultry,2021,1
All animals,No,Oral group treatments,Laying and parent birds,Poultry,2021,91846
All animals,Yes,All prescription types,Laying and parent birds,Poultry,2021,10421
All animals,Yes,Single treatments farm animals,Laying and parent birds,Poultry,2021,1
All animals,Yes,Oral group treatments,Laying and parent birds,Poultry,2021,10420
All animals,All types of active ingredients,All prescription types,Laying and parent birds,Poultry,2021,102268
All animals,All types of active ingredients,Single treatments farm animals,Laying and parent birds,Poultry,2021,2
All animals,All types of active ingredients,Oral group treatments,Laying and parent birds,Poultry,2021,102266
All animals,No,All prescription types,Laying hens,Poultry,2021,240210
All animals,No,Single treatments farm animals,Laying hens,Poultry,2021,1
All animals,No,Oral group treatments,Laying hens,Poultry,2021,240209
All animals,Yes,All prescription types,Laying hens,Poultry,2021,25889
All animals,Yes,Single treatments farm animals,Laying hens,Poultry,2021,4
All animals,Yes,Oral group treatments,Laying hens,Poultry,2021,25885
All animals,All types of active ingredients,All prescription types,Laying hens,Poultry,2021,266099
All animals,All types of active ingredients,Single treatments farm animals,Laying hens,Poultry,2021,5
All animals,All types of active ingredients,Oral group treatments,Laying hens,Poultry,2021,266094
All animals,No,All prescription types,Fattening broilers,Poultry,2021,4950867
All animals,No,Oral group treatments,Fattening broilers,Poultry,2021,4950867
All animals,Yes,All prescription types,Fattening broilers,Poultry,2021,6067803
All animals,Yes,Oral group treatments,Fattening broilers,Poultry,2021,6067803
All animals,All types of active ingredients,All prescription types,Fattening broilers,Poultry,2021,11018670
All animals,All types of active ingredients,Oral group treatments,Fattening broilers,Poultry,2021,11018670
All animals,No,All prescription types,Fattening turkeys,Poultry,2021,6861
All animals,No,Single treatments farm animals,Fattening turkeys,Poultry,2021,1
All animals,No,Oral group treatments,Fattening turkeys,Poultry,2021,6860
All animals,Yes,All prescription types,Fattening turkeys,Poultry,2021,1309
All animals,Yes,Oral group treatments,Fattening turkeys,Poultry,2021,1309
All animals,All types of active ingredients,All prescription types,Fattening turkeys,Poultry,2021,8170
All animals,All types of active ingredients,Single treatments farm animals,Fattening turkeys,Poultry,2021,1
All animals,All types of active ingredients,Oral group treatments,Fattening turkeys,Poultry,2021,8169
All animals,No,All prescription types,All categories of use,Game animals,2021,35
All animals,No,Single treatments farm animals,All categories of use,Game animals,2021,35
All animals,Yes,All prescription types,All categories of use,Game animals,2021,5
All animals,Yes,Single treatments farm animals,All categories of use,Game animals,2021,5
All animals,All types of active ingredients,All prescription types,All categories of use,Game animals,2021,40
All animals,All types of active ingredients,Single treatments farm animals,All categories of use,Game animals,2021,40
All animals,No,All prescription types,Game animals,Game animals,2021,35
All animals,No,Single treatments farm animals,Game animals,Game animals,2021,35
All animals,Yes,All prescription types,Game animals,Game animals,2021,5
All animals,Yes,Single treatments farm animals,Game animals,Game animals,2021,5
All animals,All types of active ingredients,All prescription types,Game animals,Game animals,2021,40
All animals,All types of active ingredients,Single treatments farm animals,Game animals,Game animals,2021,40
All animals,No,All prescription types,All categories of use,Dogs,2021,212998
All animals,No,Single treatments companion animals,All categories of use,Dogs,2021,212998
All animals,Yes,All prescription types,All categories of use,Dogs,2021,30048
All animals,Yes,Single treatments companion animals,All categories of use,Dogs,2021,30048
All animals,All types of active ingredients,All prescription types,All categories of use,Dogs,2021,243046
All animals,All types of active ingredients,Single treatments companion animals,All categories of use,Dogs,2021,243046
All animals,No,All prescription types,Dogs,Dogs,2021,212998
All animals,No,Single treatments companion animals,Dogs,Dogs,2021,212998
All animals,Yes,All prescription types,Dogs,Dogs,2021,30048
All animals,Yes,Single treatments companion animals,Dogs,Dogs,2021,30048
All animals,All types of active ingredients,All prescription types,Dogs,Dogs,2021,243046
All animals,All types of active ingredients,Single treatments companion animals,Dogs,Dogs,2021,243046
All animals,No,All prescription types,All categories of use,Camelids,2021,640
All animals,No,Single treatments farm animals,All categories of use,Camelids,2021,640
All animals,Yes,All prescription types,All categories of use,Camelids,2021,92
All animals,Yes,Single treatments farm animals,All categories of use,Camelids,2021,92
All animals,All types of active ingredients,All prescription types,All categories of use,Camelids,2021,732
All animals,All types of active ingredients,Single treatments farm animals,All categories of use,Camelids,2021,732
All animals,No,All prescription types,Camelids,Camelids,2021,640
All animals,No,Single treatments farm animals,Camelids,Camelids,2021,640
All animals,Yes,All prescription types,Camelids,Camelids,2021,92
All animals,Yes,Single treatments farm animals,Camelids,Camelids,2021,92
All animals,All types of active ingredients,All prescription types,Camelids,Camelids,2021,732
All animals,All types of active ingredients,Single treatments farm animals,Camelids,Camelids,2021,732
All animals,No,All prescription types,All categories of use,Rabbits,2021,134478
All animals,No,Single treatments farm animals,All categories of use,Rabbits,2021,21
All animals,No,Oral group treatments,All categories of use,Rabbits,2021,134457
All animals,Yes,All prescription types,All categories of use,Rabbits,2021,11000
All animals,Yes,Single treatments farm animals,All categories of use,Rabbits,2021,200
All animals,Yes,Oral group treatments,All categories of use,Rabbits,2021,10800
All animals,All types of active ingredients,All prescription types,All categories of use,Rabbits,2021,145478
All animals,All types of active ingredients,Single treatments farm animals,All categories of use,Rabbits,2021,221
All animals,All types of active ingredients,Oral group treatments,All categories of use,Rabbits,2021,145257
All animals,No,All prescription types,Rabbits,Rabbits,2021,134478
All animals,No,Single treatments farm animals,Rabbits,Rabbits,2021,21
All animals,No,Oral group treatments,Rabbits,Rabbits,2021,134457
All animals,Yes,All prescription types,Rabbits,Rabbits,2021,11000
All animals,Yes,Single treatments farm animals,Rabbits,Rabbits,2021,200
All animals,Yes,Oral group treatments,Rabbits,Rabbits,2021,10800
All animals,All types of active ingredients,All prescription types,Rabbits,Rabbits,2021,145478
All animals,All types of active ingredients,Single treatments farm animals,Rabbits,Rabbits,2021,221
All animals,All types of active ingredients,Oral group treatments,Rabbits,Rabbits,2021,145257
All animals,No,All prescription types,All categories of use,Cats,2021,224749
All animals,No,Single treatments companion animals,All categories of use,Cats,2021,224749
All animals,Yes,All prescription types,All categories of use,Cats,2021,107979
All animals,Yes,Single treatments companion animals,All categories of use,Cats,2021,107979
All animals,All types of active ingredients,All prescription types,All categories of use,Cats,2021,332728
All animals,All types of active ingredients,Single treatments companion animals,All categories of use,Cats,2021,332728
All animals,No,All prescription types,Cats,Cats,2021,224749
All animals,No,Single treatments companion animals,Cats,Cats,2021,224749
All animals,Yes,All prescription types,Cats,Cats,2021,107979
All animals,Yes,Single treatments companion animals,Cats,Cats,2021,107979
All animals,All types of active ingredients,All prescription types,Cats,Cats,2021,332728
All animals,All types of active ingredients,Single treatments companion animals,Cats,Cats,2021,332728
All animals,No,All prescription types,All categories of use,Cattle,2021,825942
All animals,No,Single treatments farm animals,All categories of use,Cattle,2021,607854
All animals,No,Oral group treatments,All categories of use,Cattle,2021,218088
All animals,Yes,All prescription types,All categories of use,Cattle,2021,149059
All animals,Yes,Single treatments farm animals,All categories of use,Cattle,2021,91190
All animals,Yes,Oral group treatments,All categories of use,Cattle,2021,57869
All animals,All types of active ingredients,All prescription types,All categories of use,Cattle,2021,975001
All animals,All types of active ingredients,Single treatments farm animals,All categories of use,Cattle,2021,699044
All animals,All types of active ingredients,Oral group treatments,All categories of use,Cattle,2021,275957
All animals,No,All prescription types,Rearing calves,Cattle,2021,49253
All animals,No,Single treatments farm animals,Rearing calves,Cattle,2021,42827
All animals,No,Oral group treatments,Rearing calves,Cattle,2021,6426
All animals,Yes,All prescription types,Rearing calves,Cattle,2021,13739
All animals,Yes,Single treatments farm animals,Rearing calves,Cattle,2021,10743
All animals,Yes,Oral group treatments,Rearing calves,Cattle,2021,2996
All animals,All types of active ingredients,All prescription types,Rearing calves,Cattle,2021,62992
All animals,All types of active ingredients,Single treatments farm animals,Rearing calves,Cattle,2021,53570
All animals,All types of active ingredients,Oral group treatments,Rearing calves,Cattle,2021,9422
All animals,No,All prescription types,Rearing cattle,Cattle,2021,17338
All animals,No,Single treatments farm animals,Rearing cattle,Cattle,2021,16317
All animals,No,Oral group treatments,Rearing cattle,Cattle,2021,1021
All animals,Yes,All prescription types,Rearing cattle,Cattle,2021,2545
All animals,Yes,Single treatments farm animals,Rearing cattle,Cattle,2021,1929
All animals,Yes,Oral group treatments,Rearing cattle,Cattle,2021,616
All animals,All types of active ingredients,All prescription types,Rearing cattle,Cattle,2021,19883
All animals,All types of active ingredients,Single treatments farm animals,Rearing cattle,Cattle,2021,18246
All animals,All types of active ingredients,Oral group treatments,Rearing cattle,Cattle,2021,1637
All animals,No,All prescription types,Fattening calves and cattle,Cattle,2021,243167
All animals,No,Single treatments farm animals,Fattening calves and cattle,Cattle,2021,32992
All animals,No,Oral group treatments,Fattening calves and cattle,Cattle,2021,210175
All animals,Yes,All prescription types,Fattening calves and cattle,Cattle,2021,81795
All animals,Yes,Single treatments farm animals,Fattening calves and cattle,Cattle,2021,27578
All animals,Yes,Oral group treatments,Fattening calves and cattle,Cattle,2021,54217
All animals,All types of active ingredients,All prescription types,Fattening calves and cattle,Cattle,2021,324962
All animals,All types of active ingredients,Single treatments farm animals,Fattening calves and cattle,Cattle,2021,60570
All animals,All types of active ingredients,Oral group treatments,Fattening calves and cattle,Cattle,2021,264392
All animals,No,All prescription types,Dairy cows,Cattle,2021,359152
All animals,No,Single treatments farm animals,Dairy cows,Cattle,2021,359102
All animals,No,Oral group treatments,Dairy cows,Cattle,2021,50
All animals,Yes,All prescription types,Dairy cows,Cattle,2021,30497
