Category,Species,Critical active substance ,Category of use,System,Year,Number of animal treatments
Farm animals,Cattle,No,Rearing calves,"Animal husbandry, prophylaxis",2021,178
Farm animals,Cattle,Yes,Rearing calves,All Organ Systems,2021,13625
Farm animals,Cattle,Yes,Rearing calves,Udder,2021,91
Farm animals,Cattle,Yes,Rearing calves,Calf diseases,2021,7841
Farm animals,Cattle,Yes,Rearing calves,Parasites,2021,3
Farm animals,Cattle,Yes,Rearing calves,"Metabolism, digestion",2021,543
Farm animals,Cattle,Yes,Rearing calves,"Animal husbandry, prophylaxis",2021,5
Farm animals,Cattle,All types of active ingredients,Rearing calves,All Organ Systems,2021,62567
Farm animals,Cattle,All types of active ingredients,Rearing calves,Udder,2021,530
Farm animals,Cattle,All types of active ingredients,Rearing calves,Calf diseases,2021,36449
Farm animals,Cattle,All types of active ingredients,Rearing calves,Parasites,2021,49
Farm animals,Cattle,All types of active ingredients,Rearing calves,"Metabolism, digestion",2021,3200
Farm animals,Cattle,All types of active ingredients,Rearing calves,"Animal husbandry, prophylaxis",2021,183
Farm animals,Cattle,No,Rearing cattle,All Organ Systems,2021,17183
Farm animals,Cattle,No,Rearing cattle,Udder,2021,1876
Farm animals,Cattle,No,Rearing cattle,Calf diseases,2021,1686
Farm animals,Cattle,No,Rearing cattle,Parasites,2021,17
Farm animals,Cattle,No,Rearing cattle,"Metabolism, digestion",2021,1508
Farm animals,Cattle,No,Rearing cattle,"Animal husbandry, prophylaxis",2021,64
Farm animals,Cattle,Yes,Rearing cattle,All Organ Systems,2021,2531
Farm animals,Cattle,Yes,Rearing cattle,Udder,2021,128
Farm animals,Cattle,Yes,Rearing cattle,Calf diseases,2021,294
Farm animals,Cattle,Yes,Rearing cattle,"Metabolism, digestion",2021,69
Farm animals,Cattle,Yes,Rearing cattle,"Animal husbandry, prophylaxis",2021,1
Farm animals,Cattle,All types of active ingredients,Rearing cattle,All Organ Systems,2021,19714
Farm animals,Cattle,All types of active ingredients,Rearing cattle,Udder,2021,2004
Farm animals,Cattle,All types of active ingredients,Rearing cattle,Calf diseases,2021,1980
Farm animals,Cattle,All types of active ingredients,Rearing cattle,Parasites,2021,17
Farm animals,Cattle,All types of active ingredients,Rearing cattle,"Metabolism, digestion",2021,1577
Farm animals,Cattle,All types of active ingredients,Rearing cattle,"Animal husbandry, prophylaxis",2021,65
Farm animals,Cattle,No,Fattening calves and cattle,All Organ Systems,2021,242951
Farm animals,Cattle,No,Fattening calves and cattle,Udder,2021,458
Farm animals,Cattle,No,Fattening calves and cattle,Calf diseases,2021,73206
Farm animals,Cattle,No,Fattening calves and cattle,Parasites,2021,23
Farm animals,Cattle,No,Fattening calves and cattle,"Metabolism, digestion",2021,4024
Farm animals,Cattle,No,Fattening calves and cattle,"Animal husbandry, prophylaxis",2021,719
Farm animals,Cattle,Yes,Fattening calves and cattle,All Organ Systems,2021,81717
Farm animals,Cattle,Yes,Fattening calves and cattle,Udder,2021,85
Farm animals,Cattle,Yes,Fattening calves and cattle,Calf diseases,2021,17399
Farm animals,Cattle,Yes,Fattening calves and cattle,"Metabolism, digestion",2021,690
Farm animals,Cattle,Yes,Fattening calves and cattle,"Animal husbandry, prophylaxis",2021,7
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,All Organ Systems,2021,324668
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,Udder,2021,543
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,Calf diseases,2021,90605
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,Parasites,2021,23
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,"Metabolism, digestion",2021,4714
Farm animals,Cattle,All types of active ingredients,Fattening calves and cattle,"Animal husbandry, prophylaxis",2021,726
Farm animals,Cattle,No,Dairy cows,All Organ Systems,2021,357205
Farm animals,Cattle,No,Dairy cows,Udder,2021,196053
Farm animals,Cattle,No,Dairy cows,Calf diseases,2021,3452
Farm animals,Cattle,No,Dairy cows,Parasites,2021,17
Farm animals,Cattle,No,Dairy cows,"Metabolism, digestion",2021,15313
Farm animals,Cattle,No,Dairy cows,"Animal husbandry, prophylaxis",2021,14354
Farm animals,Cattle,Yes,Dairy cows,All Organ Systems,2021,30330
Farm animals,Cattle,Yes,Dairy cows,Udder,2021,15626
Farm animals,Cattle,Yes,Dairy cows,Calf diseases,2021,1102
Farm animals,Cattle,Yes,Dairy cows,Parasites,2021,1
Farm animals,Cattle,Yes,Dairy cows,"Metabolism, digestion",2021,930
Farm animals,Cattle,Yes,Dairy cows,"Animal husbandry, prophylaxis",2021,35
Farm animals,Cattle,All types of active ingredients,Dairy cows,All Organ Systems,2021,387535
Farm animals,Cattle,All types of active ingredients,Dairy cows,Udder,2021,211679
Farm animals,Cattle,All types of active ingredients,Dairy cows,Calf diseases,2021,4554
Farm animals,Cattle,All types of active ingredients,Dairy cows,Parasites,2021,18
Farm animals,Cattle,All types of active ingredients,Dairy cows,"Metabolism, digestion",2021,16243
Farm animals,Cattle,All types of active ingredients,Dairy cows,"Animal husbandry, prophylaxis",2021,14389
Farm animals,Cattle,No,Cow-calf calves,All Organ Systems,2021,14843
Farm animals,Cattle,No,Cow-calf calves,Udder,2021,80
Farm animals,Cattle,No,Cow-calf calves,Calf diseases,2021,9073
Farm animals,Cattle,No,Cow-calf calves,Parasites,2021,4
Farm animals,Cattle,No,Cow-calf calves,"Metabolism, digestion",2021,688
Farm animals,Cattle,No,Cow-calf calves,"Animal husbandry, prophylaxis",2021,251
Farm animals,Cattle,Yes,Cow-calf calves,All Organ Systems,2021,3159
Farm animals,Cattle,Yes,Cow-calf calves,Udder,2021,18
Farm animals,Cattle,Yes,Cow-calf calves,Calf diseases,2021,1970
Farm animals,Cattle,Yes,Cow-calf calves,"Metabolism, digestion",2021,104
Farm animals,Cattle,Yes,Cow-calf calves,"Animal husbandry, prophylaxis",2021,3
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,All Organ Systems,2021,18002
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,Udder,2021,98
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,Calf diseases,2021,11043
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,Parasites,2021,4
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,"Metabolism, digestion",2021,792
Farm animals,Cattle,All types of active ingredients,Cow-calf calves,"Animal husbandry, prophylaxis",2021,254
Farm animals,Cattle,No,Suckler cows,All Organ Systems,2021,23335
Farm animals,Cattle,No,Suckler cows,Udder,2021,7802
Farm animals,Cattle,No,Suckler cows,Calf diseases,2021,592
Farm animals,Cattle,No,Suckler cows,"Metabolism, digestion",2021,840
Farm animals,Cattle,No,Suckler cows,"Animal husbandry, prophylaxis",2021,335
Farm animals,Cattle,Yes,Suckler cows,All Organ Systems,2021,1508
Farm animals,Cattle,Yes,Suckler cows,Udder,2021,761
Farm animals,Cattle,Yes,Suckler cows,Calf diseases,2021,238
Farm animals,Cattle,Yes,Suckler cows,"Metabolism, digestion",2021,50
Farm animals,Cattle,Yes,Suckler cows,"Animal husbandry, prophylaxis",2021,3
Farm animals,Cattle,All types of active ingredients,Suckler cows,All Organ Systems,2021,24843
Farm animals,Cattle,All types of active ingredients,Suckler cows,Udder,2021,8563
Farm animals,Cattle,All types of active ingredients,Suckler cows,Calf diseases,2021,830
Farm animals,Cattle,All types of active ingredients,Suckler cows,"Metabolism, digestion",2021,890
Farm animals,Cattle,All types of active ingredients,Suckler cows,"Animal husbandry, prophylaxis",2021,338
Farm animals,Cattle,No,Cattle nCU,All Organ Systems,2021,117614
Farm animals,Cattle,No,Cattle nCU,Udder,2021,54314
Farm animals,Cattle,No,Cattle nCU,Calf diseases,2021,14199
Farm animals,Cattle,No,Cattle nCU,Parasites,2021,28
Farm animals,Cattle,No,Cattle nCU,"Metabolism, digestion",2021,5083
Farm animals,Cattle,No,Cattle nCU,"Animal husbandry, prophylaxis",2021,1630
Farm animals,Cattle,Yes,Cattle nCU,All Organ Systems,2021,15600
Farm animals,Cattle,Yes,Cattle nCU,Udder,2021,4956
Farm animals,Cattle,Yes,Cattle nCU,Calf diseases,2021,3508
Farm animals,Cattle,Yes,Cattle nCU,Parasites,2021,1
Farm animals,Cattle,Yes,Cattle nCU,"Metabolism, digestion",2021,676
Farm animals,Cattle,Yes,Cattle nCU,"Animal husbandry, prophylaxis",2021,12
Farm animals,Cattle,All types of active ingredients,Cattle nCU,All Organ Systems,2021,133214
Farm animals,Cattle,All types of active ingredients,Cattle nCU,Udder,2021,59270
Farm animals,Cattle,All types of active ingredients,Cattle nCU,Calf diseases,2021,17707
Farm animals,Cattle,All types of active ingredients,Cattle nCU,Parasites,2021,29
Farm animals,Cattle,All types of active ingredients,Cattle nCU,"Metabolism, digestion",2021,5759
Farm animals,Cattle,All types of active ingredients,Cattle nCU,"Animal husbandry, prophylaxis",2021,1642
Farm animals,Sheep,No,All categories of use,All Organ Systems,2021,13882
Farm animals,Sheep,No,All categories of use,Udder,2021,2028
Farm animals,Sheep,No,All categories of use,Lamb diseases,2021,1474
Farm animals,Sheep,No,All categories of use,Parasites,2021,41
Farm animals,Sheep,No,All categories of use,"Metabolism, digestion",2021,704
Farm animals,Sheep,No,All categories of use,"Animal husbandry, prophylaxis",2021,253
Farm animals,Sheep,Yes,All categories of use,All Organ Systems,2021,1321
Farm animals,Sheep,Yes,All categories of use,Udder,2021,365
Farm animals,Sheep,Yes,All categories of use,Lamb diseases,2021,214
Farm animals,Sheep,Yes,All categories of use,Parasites,2021,8
Farm animals,Sheep,Yes,All categories of use,"Metabolism, digestion",2021,76
Farm animals,Sheep,Yes,All categories of use,"Animal husbandry, prophylaxis",2021,1
Farm animals,Sheep,All types of active ingredients,All categories of use,All Organ Systems,2021,15203
Farm animals,Sheep,All types of active ingredients,All categories of use,Udder,2021,2393
Farm animals,Sheep,All types of active ingredients,All categories of use,Lamb diseases,2021,1688
Farm animals,Sheep,All types of active ingredients,All categories of use,Parasites,2021,49
Farm animals,Sheep,All types of active ingredients,All categories of use,"Metabolism, digestion",2021,780
Farm animals,Sheep,All types of active ingredients,All categories of use,"Animal husbandry, prophylaxis",2021,254
Farm animals,Sheep,No,Sheep,All Organ Systems,2021,13882
Farm animals,Sheep,No,Sheep,Udder,2021,2028
Farm animals,Sheep,No,Sheep,Lamb diseases,2021,1474
Farm animals,Sheep,No,Sheep,Parasites,2021,41
Farm animals,Sheep,No,Sheep,"Metabolism, digestion",2021,704
Farm animals,Sheep,No,Sheep,"Animal husbandry, prophylaxis",2021,253
Farm animals,Sheep,Yes,Sheep,All Organ Systems,2021,1321
Farm animals,Sheep,Yes,Sheep,Udder,2021,365
Farm animals,Sheep,Yes,Sheep,Lamb diseases,2021,214
Farm animals,Sheep,Yes,Sheep,Parasites,2021,8
Farm animals,Sheep,Yes,Sheep,"Metabolism, digestion",2021,76
Farm animals,Sheep,Yes,Sheep,"Animal husbandry, prophylaxis",2021,1
Farm animals,Sheep,All types of active ingredients,Sheep,All Organ Systems,2021,15203
Farm animals,Sheep,All types of active ingredients,Sheep,Udder,2021,2393
Farm animals,Sheep,All types of active ingredients,Sheep,Lamb diseases,2021,1688
Farm animals,Sheep,All types of active ingredients,Sheep,Parasites,2021,49
Farm animals,Sheep,All types of active ingredients,Sheep,"Metabolism, digestion",2021,780
Farm animals,Sheep,All types of active ingredients,Sheep,"Animal husbandry, prophylaxis",2021,254
Farm animals,Pigs,No,All categories of use,All Organ Systems,2021,251205
Farm animals,Pigs,No,All categories of use,Parasites,2021,209
Farm animals,Pigs,No,All categories of use,"Symptoms, other disorders",2021,21866
Farm animals,Pigs,Yes,All categories of use,All Organ Systems,2021,38283
Farm animals,Pigs,Yes,All categories of use,"Symptoms, other disorders",2021,4555
Farm animals,Pigs,All types of active ingredients,All categories of use,All Organ Systems,2021,289488
Farm animals,Pigs,All types of active ingredients,All categories of use,Parasites,2021,209
Farm animals,Pigs,All types of active ingredients,All categories of use,"Symptoms, other disorders",2021,26421
Farm animals,Pigs,No,Young sows,All Organ Systems,2021,1057
Farm animals,Pigs,No,Young sows,"Symptoms, other disorders",2021,104
Farm animals,Pigs,Yes,Young sows,All Organ Systems,2021,80
Farm animals,Pigs,Yes,Young sows,"Symptoms, other disorders",2021,1
Farm animals,Pigs,All types of active ingredients,Young sows,All Organ Systems,2021,1137
Farm animals,Pigs,All types of active ingredients,Young sows,"Symptoms, other disorders",2021,105
Farm animals,Pigs,No,Fattening pigs,All Organ Systems,2021,87772
Farm animals,Pigs,No,Fattening pigs,"Symptoms, other disorders",2021,12373
Farm animals,Pigs,Yes,Fattening pigs,All Organ Systems,2021,11698
Farm animals,Pigs,Yes,Fattening pigs,"Symptoms, other disorders",2021,1315
Farm animals,Pigs,All types of active ingredients,Fattening pigs,All Organ Systems,2021,99470
Farm animals,Pigs,All types of active ingredients,Fattening pigs,"Symptoms, other disorders",2021,13688
Farm animals,Pigs,No,Suckling and weaned piglets,All Organ Systems,2021,151682
Farm animals,Pigs,No,Suckling and weaned piglets,"Symptoms, other disorders",2021,8710
Farm animals,Pigs,Yes,Suckling and weaned piglets,All Organ Systems,2021,23574
Farm animals,Pigs,Yes,Suckling and weaned piglets,"Symptoms, other disorders",2021,3063
Farm animals,Pigs,All types of active ingredients,Suckling and weaned piglets,All Organ Systems,2021,175256
Farm animals,Pigs,All types of active ingredients,Suckling and weaned piglets,"Symptoms, other disorders",2021,11773
Farm animals,Pigs,No,Pigs nCU,All Organ Systems,2021,8913
Farm animals,Pigs,No,Pigs nCU,Parasites,2021,209
Farm animals,Pigs,No,Pigs nCU,"Symptoms, other disorders",2021,569
Farm animals,Pigs,Yes,Pigs nCU,All Organ Systems,2021,2223
Farm animals,Pigs,Yes,Pigs nCU,"Symptoms, other disorders",2021,137
Farm animals,Pigs,All types of active ingredients,Pigs nCU,All Organ Systems,2021,11136
Farm animals,Pigs,All types of active ingredients,Pigs nCU,Parasites,2021,209
Farm animals,Pigs,All types of active ingredients,Pigs nCU,"Symptoms, other disorders",2021,706
Farm animals,Pigs,No,Breeding sows and boars,All Organ Systems,2021,1781
Farm animals,Pigs,No,Breeding sows and boars,"Symptoms, other disorders",2021,110
Farm animals,Pigs,Yes,Breeding sows and boars,All Organ Systems,2021,708
Farm animals,Pigs,Yes,Breeding sows and boars,"Symptoms, other disorders",2021,39
Farm animals,Pigs,All types of active ingredients,Breeding sows and boars,All Organ Systems,2021,2489
Farm animals,Pigs,All types of active ingredients,Breeding sows and boars,"Symptoms, other disorders",2021,149
Farm animals,Goats,No,All categories of use,All Organ Systems,2021,9704
Farm animals,Goats,No,All categories of use,Udder,2021,844
Farm animals,Goats,No,All categories of use,Diseases of the goat,2021,1036
Farm animals,Goats,No,All categories of use,Parasites,2021,18
Farm animals,Goats,No,All categories of use,"Metabolism, digestion",2021,943
Farm animals,Goats,No,All categories of use,"Animal husbandry, prophylaxis",2021,152
Farm animals,Goats,Yes,All categories of use,All Organ Systems,2021,1738
Farm animals,Goats,Yes,All categories of use,Udder,2021,164
Farm animals,Goats,Yes,All categories of use,Diseases of the goat,2021,123
Farm animals,Goats,Yes,All categories of use,Parasites,2021,5
Farm animals,Goats,Yes,All categories of use,"Metabolism, digestion",2021,390
Farm animals,Goats,Yes,All categories of use,"Animal husbandry, prophylaxis",2021,2
Farm animals,Goats,All types of active ingredients,All categories of use,All Organ Systems,2021,11442
Farm animals,Goats,All types of active ingredients,All categories of use,Udder,2021,1008
Farm animals,Goats,All types of active ingredients,All categories of use,Diseases of the goat,2021,1159
Farm animals,Goats,All types of active ingredients,All categories of use,Parasites,2021,23
Farm animals,Goats,All types of active ingredients,All categories of use,"Metabolism, digestion",2021,1333
Farm animals,Goats,All types of active ingredients,All categories of use,"Animal husbandry, prophylaxis",2021,154
Farm animals,Goats,No,Goats,All Organ Systems,2021,9704
Farm animals,Goats,No,Goats,Udder,2021,844
Farm animals,Goats,No,Goats,Diseases of the goat,2021,1036
Farm animals,Goats,No,Goats,Parasites,2021,18
Farm animals,Goats,No,Goats,"Metabolism, digestion",2021,943
Farm animals,Goats,No,Goats,"Animal husbandry, prophylaxis",2021,152
Farm animals,Goats,Yes,Goats,All Organ Systems,2021,1738
Farm animals,Goats,Yes,Goats,Udder,2021,164
Farm animals,Goats,Yes,Goats,Diseases of the goat,2021,123
Farm animals,Goats,Yes,Goats,Parasites,2021,5
Farm animals,Goats,Yes,Goats,"Metabolism, digestion",2021,390
Farm animals,Goats,Yes,Goats,"Animal husbandry, prophylaxis",2021,2
Farm animals,Goats,All types of active ingredients,Goats,All Organ Systems,2021,11442
Farm animals,Goats,All types of active ingredients,Goats,Udder,2021,1008
Farm animals,Goats,All types of active ingredients,Goats,Diseases of the goat,2021,1159
Farm animals,Goats,All types of active ingredients,Goats,Parasites,2021,23
Farm animals,Goats,All types of active ingredients,Goats,"Metabolism, digestion",2021,1333
Farm animals,Goats,All types of active ingredients,Goats,"Animal husbandry, prophylaxis",2021,154
Pets,Dogs,No,All categories of use,All Organ Systems,2021,212746
Pets,Dogs,No,All categories of use,Skin diseases incl. ears,2021,48697
Pets,Dogs,No,All categories of use,Oral infections incl. teeth and gastrointestinal tract,2021,52011
Pets,Dogs,No,All categories of use,Specific infectious diseases,2021,16704
Pets,Dogs,Yes,All categories of use,All Organ Systems,2021,29999
Pets,Dogs,Yes,All categories of use,Skin diseases incl. ears,2021,4760
Pets,Dogs,Yes,All categories of use,Oral infections incl. teeth and gastrointestinal tract,2021,8395
Pets,Dogs,Yes,All categories of use,Specific infectious diseases,2021,3131
Pets,Dogs,All types of active ingredients,All categories of use,All Organ Systems,2021,242745
Pets,Dogs,All types of active ingredients,All categories of use,Skin diseases incl. ears,2021,53457
Pets,Dogs,All types of active ingredients,All categories of use,Oral infections incl. teeth and gastrointestinal tract,2021,60406
Pets,Dogs,All types of active ingredients,All categories of use,Specific infectious diseases,2021,19835
Pets,Dogs,No,Dogs,All Organ Systems,2021,212746
Pets,Dogs,No,Dogs,Skin diseases incl. ears,2021,48697
Pets,Dogs,No,Dogs,Oral infections incl. teeth and gastrointestinal tract,2021,52011
Pets,Dogs,No,Dogs,Specific infectious diseases,2021,16704
Pets,Dogs,Yes,Dogs,All Organ Systems,2021,29999
Pets,Dogs,Yes,Dogs,Skin diseases incl. ears,2021,4760
Pets,Dogs,Yes,Dogs,Oral infections incl. teeth and gastrointestinal tract,2021,8395
Pets,Dogs,Yes,Dogs,Specific infectious diseases,2021,3131
Pets,Dogs,All types of active ingredients,Dogs,All Organ Systems,2021,242745
Pets,Dogs,All types of active ingredients,Dogs,Skin diseases incl. ears,2021,53457
Pets,Dogs,All types of active ingredients,Dogs,Oral infections incl. teeth and gastrointestinal tract,2021,60406
Pets,Dogs,All types of active ingredients,Dogs,Specific infectious diseases,2021,19835
Pets,Cats,No,All categories of use,All Organ Systems,2021,224493
Pets,Cats,No,All categories of use,Skin diseases incl. ears,2021,56791
Pets,Cats,No,All categories of use,Oral infections incl. teeth and gastrointestinal tract,2021,34656
Pets,Cats,No,All categories of use,Specific infectious diseases,2021,24256
Pets,Cats,Yes,All categories of use,All Organ Systems,2021,107835
Pets,Cats,Yes,All categories of use,Skin diseases incl. ears,2021,26076
Pets,Cats,Yes,All categories of use,Oral infections incl. teeth and gastrointestinal tract,2021,21678
Pets,Cats,Yes,All categories of use,Specific infectious diseases,2021,11360
Pets,Cats,All types of active ingredients,All categories of use,All Organ Systems,2021,332328
Pets,Cats,All types of active ingredients,All categories of use,Skin diseases incl. ears,2021,82867
Pets,Cats,All types of active ingredients,All categories of use,Oral infections incl. teeth and gastrointestinal tract,2021,56334
Pets,Cats,All types of active ingredients,All categories of use,Specific infectious diseases,2021,35616
Pets,Cats,No,Cats,All Organ Systems,2021,224493
Pets,Cats,No,Cats,Skin diseases incl. ears,2021,56791
Pets,Cats,No,Cats,Oral infections incl. teeth and gastrointestinal tract,2021,34656
Pets,Cats,No,Cats,Specific infectious diseases,2021,24256
Pets,Cats,Yes,Cats,All Organ Systems,2021,107835
Pets,Cats,Yes,Cats,Skin diseases incl. ears,2021,26076
Pets,Cats,Yes,Cats,Oral infections incl. teeth and gastrointestinal tract,2021,21678
Pets,Cats,Yes,Cats,Specific infectious diseases,2021,11360
Pets,Cats,All types of active ingredients,Cats,All Organ Systems,2021,332328
Pets,Cats,All types of active ingredients,Cats,Skin diseases incl. ears,2021,82867
Pets,Cats,All types of active ingredients,Cats,Oral infections incl. teeth and gastrointestinal tract,2021,56334
Pets,Cats,All types of active ingredients,Cats,Specific infectious diseases,2021,35616
Pets,Equids,No,All categories of use,All Organ Systems,2021,20713
Pets,Equids,No,All categories of use,Skin diseases incl. ears,2021,1547
Pets,Equids,No,All categories of use,Oral infections incl. teeth and gastrointestinal tract,2021,1724
Pets,Equids,No,All categories of use,Specific infectious diseases,2021,1671
Pets,Equids,Yes,All categories of use,All Organ Systems,2021,1036
Pets,Equids,Yes,All categories of use,Skin diseases incl. ears,2021,64
Pets,Equids,Yes,All categories of use,Oral infections incl. teeth and gastrointestinal tract,2021,103
Pets,Equids,Yes,All categories of use,Specific infectious diseases,2021,200
Pets,Equids,All types of active ingredients,All categories of use,All Organ Systems,2021,21749
Pets,Equids,All types of active ingredients,All categories of use,Skin diseases incl. ears,2021,1611
Pets,Equids,All types of active ingredients,All categories of use,Oral infections incl. teeth and gastrointestinal tract,2021,1827
Pets,Equids,All types of active ingredients,All categories of use,Specific infectious diseases,2021,1871
Pets,Equids,No,Equids,All Organ Systems,2021,20713
Pets,Equids,No,Equids,Skin diseases incl. ears,2021,1547
Pets,Equids,No,Equids,Oral infections incl. teeth and gastrointestinal tract,2021,1724
Pets,Equids,No,Equids,Specific infectious diseases,2021,1671
Pets,Equids,Yes,Equids,All Organ Systems,2021,1036
Pets,Equids,Yes,Equids,Skin diseases incl. ears,2021,64
Pets,Equids,Yes,Equids,Oral infections incl. teeth and gastrointestinal tract,2021,103
Pets,Equids,Yes,Equids,Specific infectious diseases,2021,200
Pets,Equids,All types of active ingredients,Equids,All Organ Systems,2021,21749
Pets,Equids,All types of active ingredients,Equids,Skin diseases incl. ears,2021,1611
Pets,Equids,All types of active ingredients,Equids,Oral infections incl. teeth and gastrointestinal tract,2021,1827
Pets,Equids,All types of active ingredients,Equids,Specific infectious diseases,2021,1871
Farm animals,Fish,No,All categories of use,All Organ Systems,2021,7574594
Farm animals,Fish,All types of active ingredients,All categories of use,All Organ Systems,2021,7574594
Farm animals,Fish,No,Fish,All Organ Systems,2021,7574594
Farm animals,Fish,All types of active ingredients,Fish,All Organ Systems,2021,7574594
Farm animals,Poultry,No,All categories of use,All Organ Systems,2021,5555077
Farm animals,Poultry,No,All categories of use,Juvenile animal diseases,2021,2997651
Farm animals,Poultry,No,All categories of use,"Metabolism, digestion",2021,67240
Farm animals,Poultry,Yes,All categories of use,All Organ Systems,2021,6397889
Farm animals,Poultry,Yes,All categories of use,Juvenile animal diseases,2021,5497064
Farm animals,Poultry,Yes,All categories of use,"Metabolism, digestion",2021,1
Farm animals,Poultry,All types of active ingredients,All categories of use,All Organ Systems,2021,11952966
Farm animals,Poultry,All types of active ingredients,All categories of use,Juvenile animal diseases,2021,8494715
Farm animals,Poultry,All types of active ingredients,All categories of use,"Metabolism, digestion",2021,67241
Farm animals,Poultry,No,Rearing laying hens and parent birds,All Organ Systems,2021,265180
Farm animals,Poultry,No,Rearing laying hens and parent birds,Juvenile animal diseases,2021,16926
Farm animals,Poultry,No,Rearing laying hens and parent birds,"Metabolism, digestion",2021,52000
Farm animals,Poultry,Yes,Rearing laying hens and parent birds,All Organ Systems,2021,290046
Farm animals,Poultry,Yes,Rearing laying hens and parent birds,Juvenile animal diseases,2021,247876
Farm animals,Poultry,Yes,Rearing laying hens and parent birds,"Metabolism, digestion",2021,1
Farm animals,Poultry,All types of active ingredients,Rearing laying hens and parent birds,All Organ Systems,2021,555226
Farm animals,Poultry,All types of active ingredients,Rearing laying hens and parent birds,Juvenile animal diseases,2021,264802
Farm animals,Poultry,All types of active ingredients,Rearing laying hens and parent birds,"Metabolism, digestion",2021,52001
Farm animals,Poultry,No,Poultry nCU,All Organ Systems,2021,112
Farm animals,Poultry,No,Poultry nCU,Juvenile animal diseases,2021,2
Farm animals,Poultry,No,Poultry nCU,"Metabolism, digestion",2021,102
Farm animals,Poultry,Yes,Poultry nCU,All Organ Systems,2021,2421
Farm animals,Poultry,All types of active ingredients,Poultry nCU,All Organ Systems,2021,2533
Farm animals,Poultry,All types of active ingredients,Poultry nCU,Juvenile animal diseases,2021,2
Farm animals,Poultry,All types of active ingredients,Poultry nCU,"Metabolism, digestion",2021,102
Farm animals,Poultry,No,Laying and parent birds,All Organ Systems,2021,91847
Farm animals,Poultry,Yes,Laying and parent birds,All Organ Systems,2021,10421
Farm animals,Poultry,All types of active ingredients,Laying and parent birds,All Organ Systems,2021,102268
Farm animals,Poultry,No,Laying hens,All Organ Systems,2021,240210
Farm animals,Poultry,No,Laying hens,"Metabolism, digestion",2021,10500
Farm animals,Poultry,Yes,Laying hens,All Organ Systems,2021,25889
