id|type|date|page_count|link|info|meldung_id|publikation_id|erf_date|erf_user|mut_date|mut_user|version|Dates_erf_date|Dates_mut_date
28|10|16.08.2022|2|https://www.laves.niedersachsen.de/startseite/lebensmittel/lebensmittelgruppen/speiseeis/echte-vanille-im-vanilleeis-154606.html||16|24|2022-08-16T08:43:39|36|2022-08-16T08:43:39|36|0|2022-08-16|2022-08-16
29|10|15.08.2022|1|https://www.food-safety.com/articles/7937-study-links-amr-in-salmonella-kentucky-to-imported-food||17|10|2022-08-16T09:24:49|84|2022-08-16T09:24:49|84|0|2022-08-16|2022-08-16
30|20|||https://www.liebertpub.com/doi/full/10.1089/fpd.2022.0005||17|25|2022-08-16T09:24:49|84|2022-08-16T09:24:49|84|0|2022-08-16|2022-08-16
31|10|16.08.2022|2|https://www.foodpoisonjournal.com/food-poisoning-information/over-two-weeks-ago-i-asked-hey-fda-and-cfia-why-no-recall-of-revive-pineapple-mango-smoothies-there-are-dozens-ill-daily-harvest-french-lentil-leek-crumbles-now-at-329-a/||18|26|2022-08-17T07:33:55|84|2022-08-17T07:33:55|84|0|2022-08-17|2022-08-17
32|20|||https://www.foodprocessing.com/industrynews/2022/tara-flour-behind-mysterious-illness/||18|27|2022-08-17T07:33:55|84|2022-08-17T07:33:55|84|0|2022-08-17|2022-08-17
33|10|16.08.2022|1|https://www.foodpackagingforum.org/news/scientists-identify-food-packaging-as-organophosphate-ester-source||19|28|2022-08-17T08:15:27|84|2022-08-17T08:15:27|84|0|2022-08-17|2022-08-17
34|20|||https://pubs.acs.org/doi/10.1021/acs.jafc.2c03603||19|29|2022-08-17T08:15:27|84|2022-08-17T08:15:27|84|0|2022-08-17|2022-08-17
35|10|18.08.2022|1|https://academic.oup.com/jac/advance-article-abstract/doi/10.1093/jac/dkac276/6670899?redirectedFrom=fulltext&login=true||20|30|2022-08-18T09:34:49|84|2022-09-07T10:09:21|36|1|2022-08-18|2022-09-07
36|10|18.08.2022|2|https://www.news24.com/w24/selfcare/wellness/diet/dont-throw-away-your-banana-peels-they-can-be-turned-into-tasty-healthy-treats-20220818||21|31|2022-08-18T11:50:02|84|2022-08-18T11:50:02|84|0|2022-08-18|2022-08-18
37|20|||https://pubs.acs.org/doi/abs/10.1021/acsfoodscitech.2c00159||21|32|2022-08-18T11:50:02|84|2022-08-18T11:50:02|84|0|2022-08-18|2022-08-18
38|30|||https://www.chemservice.com/news/why-do-bananas-require-so-many-pesticides/|Why do bananas require so many pesticides?|21||2022-08-18T11:50:02|84|2022-08-18T11:50:02|84|0|2022-08-18|2022-08-18
39|10|16.08.2022|10|https://bmcmicrobiol.biomedcentral.com/articles/10.1186/s12866-022-02604-z||22|33|2022-08-18T12:28:51|36|2022-08-18T12:28:51|36|0|2022-08-18|2022-08-18
40|10|18.08.2022|1|https://www.foodsafetynews.com/2022/08/e-coli-similar-to-2011-outbreak-strain-found-in-europe/?utm_source=Food+Safety+News&utm_campaign=e898689aee-RSS_EMAIL_CAMPAIGN&utm_medium=email&utm_term=0_f46cc10150-e898689aee-40094931||23|18|2022-08-19T08:45:22|84|2022-08-19T08:45:22|84|0|2022-08-19|2022-08-19
41|20|||https://wwwnc.cdc.gov/eid/article/28/9/22-0037_article?ACSTrackingID=USCDC_331-DM88343&ACSTrackingLabel=Emerging%20Infectious%20Diseases%20Journal%20-%20Volume%2028%2C%20Issue%209%20-%20September%202022%20Issue%20Now%20Online&deliveryName=USCDC_331-DM8834||23|34|2022-08-19T08:45:22|84|2022-09-05T10:51:56|36|1|2022-08-19|2022-09-05
42|10|17.08.2022|1|https://www.foodsafetynews.com/2022/08/dill-recalled-in-ontario-because-of-listeria-contamination/?utm_source=Food+Safety+News&utm_campaign=e898689aee-RSS_EMAIL_CAMPAIGN&utm_medium=email&utm_term=0_f46cc10150-e898689aee-40094931||24|18|2022-08-19T08:52:06|84|2022-08-19T08:52:06|84|0|2022-08-19|2022-08-19
43|20|||https://recalls-rappels.canada.ca/en/alert-recall/supherb-farms-brand-iqf-dill-recalled-due-listeria-monocytogenes||24|35|2022-08-19T10:07:40|36|2022-08-19T10:07:40|36|0|2022-08-19|2022-08-19
44|10|21.08.2022|1|https://www.foodsafetynews.com/2022/08/study-shows-brucella-problem-for-raw-dairy-products-in-tunisia/?utm_source=Food+Safety+News&utm_campaign=5d04e39dbb-RSS_EMAIL_CAMPAIGN&utm_medium=email&utm_term=0_f46cc10150-5d04e39dbb-40094931||25|18|2022-08-22T07:25:52|84|2022-08-22T07:25:52|84|0|2022-08-22|2022-08-22
45|20|||https://www.mdpi.com/2304-8158/11/15/2269/htm||25|22|2022-08-22T07:25:52|84|2022-08-22T07:25:52|84|0|2022-08-22|2022-08-22
47|10|19.08.2022|9|https://www.mdpi.com/2076-0817/11/8/943||27|36|2022-08-22T08:10:14|36|2022-08-22T08:10:14|36|0|2022-08-22|2022-08-22
48|10|21.08.2022|2|https://www.foodpoisonjournal.com/food-poisoning-information/wendys-who-made-the-lettuce/||28|26|2022-08-22T08:17:54|36|2022-08-22T08:17:54|36|0|2022-08-22|2022-08-22
49|20|||https://www.cdc.gov/ecoli/2022/o157h7-08-22/||28|37|2022-08-22T08:17:54|36|2022-08-22T08:17:54|36|0|2022-08-22|2022-08-22
50|10|22.08.2022|2|https://www.eurekalert.org/news-releases/962117||29|19|2022-08-23T08:54:38|36|2022-08-23T08:54:38|36|0|2022-08-23|2022-08-23
51|20|||http://dx.doi.org/10.1371/journal.pone.0268089||29|38|2022-08-23T08:54:38|36|2022-08-23T08:54:38|36|0|2022-08-23|2022-08-23
52|30|||https://www.newfoodmagazine.com/news/167378/consumers-exposed-to-potentially-harmful-lead-shot-in-pheasants/|NewFoodMagazine|29||2022-08-23T13:02:36|36|2022-08-23T13:02:36|36|0|2022-08-23|2022-08-23
53|10|04.08.2022|11|https://onlinelibrary.wiley.com/doi/10.1002/oby.23507||30|39|2022-08-24T08:23:04|84|2022-08-24T08:23:04|84|0|2022-08-24|2022-08-24
54|10|23.08.2022|2|https://www.eurekalert.org/news-releases/962591||31|19|2022-08-24T08:32:34|36|2022-08-24T08:32:34|36|0|2022-08-24|2022-08-24
55|20|||http://dx.doi.org/10.1038/s41467-022-31934-9||31|40|2022-08-24T08:32:34|36|2022-08-24T08:32:34|36|0|2022-08-24|2022-08-24
56|10|22.08.2022|1|https://kccmediahub.net/tests-on-cbd-products-find-most-contain-illegal-substances/||32|41|2022-08-24T08:36:27|84|2022-08-24T08:36:27|84|0|2022-08-24|2022-08-24
59|10|16.10.2022|7|https://www.sciencedirect.com/science/article/pii/S0168160522003191||35|11|2022-08-25T07:33:39|84|2022-08-25T07:33:39|84|0|2022-08-25|2022-08-25
60|10|16.10.2022|12|https://www.sciencedirect.com/science/article/pii/S0168160522003336||36|11|2022-08-25T07:56:18|84|2022-08-25T07:56:18|84|0|2022-08-25|2022-08-25
61|10|16.10.2022|11|https://www.sciencedirect.com/science/article/pii/S0168160522003324||37|11|2022-08-25T08:18:31|84|2022-08-25T08:18:31|84|0|2022-08-25|2022-08-25
62|10|24.08.2022|1|https://www.eurekalert.org/news-releases/962617||38|19|2022-08-26T09:29:36|36|2022-08-26T09:29:36|36|0|2022-08-26|2022-08-26
63|20|||https://labblog.uofmhealth.org/lab-notes/how-western-diet-and-gut-bacteria-can-lead-to-scarring-vessel-damage-scleroderma||38|42|2022-08-26T09:30:50|36|2022-08-26T09:30:50|36|0|2022-08-26|2022-08-26
64|10|25.08.2022|2|https://www.eurekalert.org/news-releases/962794||39|19|2022-08-26T09:37:23|36|2022-08-26T09:37:23|36|0|2022-08-26|2022-08-26
65|20|||http://dx.doi.org/10.1017/S1368980022001586||39|43|2022-08-26T09:37:23|36|2022-08-26T09:37:23|36|0|2022-08-26|2022-08-26
66|20|||https://www.cell.com/iscience/fulltext/S2589-0042(22)00941-5?_returnURL=https%3A%2F%2Flinkinghub.elsevier.com%2Fretrieve%2Fpii%2FS2589004222009415%3Fshowall%3Dtrue||38|44|2022-08-26T11:50:13|36|2022-08-26T11:50:13|36|0|2022-08-26|2022-08-26
67|10|15.08.2022|4|https://www.food-safety.com/articles/7938-strategies-to-reduce-clostridium-botulinum-risk-in-fresh-cut-produce||40|10|2022-08-26T13:09:53|36|2022-08-26T13:09:53|36|0|2022-08-26|2022-08-26
68|10|08.2022|10|https://t.co/sOmaQUHVZf||41|45|2022-08-26T13:28:30|36|2022-08-26T13:28:30|36|0|2022-08-26|2022-08-26
69|10|27.08.2022|13|https://doi.org/10.1007/s12560-022-09534-z||42|46|2022-08-29T10:05:03|36|2022-08-29T10:05:03|36|0|2022-08-29|2022-08-29
70|10|24.08.2022|1|https://www.newscientist.com/article/2334930-most-plant-milks-are-lower-in-key-micronutrients-than-cows-milk/||43|47|2022-08-29T10:16:36|36|2022-08-29T10:16:36|36|0|2022-08-29|2022-08-29
71|10|29.08.2022|2|https://www.eurekalert.org/news-releases/963223||44|19|2022-08-30T08:50:23|36|2022-08-30T08:50:23|36|0|2022-08-30|2022-08-30
72|20|||https://doi.org/10.1016/j.cell.2022.08.005||44|48|2022-08-30T08:50:23|36|2022-08-30T08:50:23|36|0|2022-08-30|2022-08-30
73|10|29.08.2022|2|https://www.food-safety.com/articles/7968-usda-fsis-reviews-investigation-of-salmonella-infantis-outbreak-first-strain-deemed-persistent||45|10|2022-08-30T09:59:33|84|2022-08-30T09:59:33|84|0|2022-08-30|2022-08-30
74|20|||https://www.fsis.usda.gov/sites/default/files/media_file/documents/FSIS-After-Action-Review-2018-11.pdf||45|16|2022-08-30T09:59:33|84|2022-08-30T09:59:33|84|0|2022-08-30|2022-08-30
75|10|30.08.2022|2|https://thehill.com/policy/equilibrium-sustainability/3620214-pregnant-people-exposed-to-cancer-linked-chemicals-in-household-items-dyes-study/||46|49|2022-08-30T10:56:38|36|2022-08-30T10:56:38|36|0|2022-08-30|2022-08-30
76|20|||https://doi.org/10.1016/j.chemosphere.2022.135599||46|50|2022-08-30T10:56:38|36|2022-08-30T10:56:38|36|0|2022-08-30|2022-08-30
77|10|01.08.2022|3|https://www.medscape.com/viewarticle/978365?src=WNL_infocu7_220803_MSCPEDIT&uac=397959HZ&impID=4492251&faf=1||47|51|2022-08-30T11:27:32|36|2022-08-30T11:27:32|36|0|2022-08-30|2022-08-30
80|10|28.07.2022|3|https://www.actu-environnement.com/ae/news/microplastiques-eau-bouteille-reglementation-liste-vigilance-agir-pour-environnement-40116.php4||49|52|2022-08-30T11:33:30|36|2022-08-30T11:33:30|36|0|2022-08-30|2022-08-30
81|20|||https://directus.media/dcp5tOxIWtG1gqPX/17dc51ec-173f-4bfd-9b9c-88f7d0458c26.pdf||49|53|2022-08-30T11:33:30|36|2022-08-30T11:33:30|36|0|2022-08-30|2022-08-30
82|20|||https://directus.media/dcp5tOxIWtG1gqPX/3080477a-1e9d-4002-b610-3b7b6b1333c7.pdf||49|54|2022-08-30T11:33:30|36|2022-08-30T11:33:30|36|0|2022-08-30|2022-08-30
83|10|08.08.2022|1|https://affidiajournal.com/en/arcobacter-risk-to-the-food-industry-and-human-health-new-findings||50|55|2022-08-30T11:36:49|36|2022-08-30T11:36:49|36|0|2022-08-30|2022-08-30
84|20|||http://dx.doi.org/10.1016/j.ijfoodmicro.2022.109712||50|11|2022-08-30T11:36:49|36|2022-08-30T11:36:49|36|0|2022-08-30|2022-08-30
85|10|02.08.2022|2|https://www.bfr.bund.de/cm/343/alkenylbenzole-in-lebensmitteln-wie-gro%C3%9F-ist-das-gesundheitliche-risiko.pdf||51|56|2022-08-30T11:41:46|36|2022-08-30T11:41:46|36|0|2022-08-30|2022-08-30
86|20|||https://doi.org/10.3390/foods11131988||51|22|2022-08-30T11:41:46|36|2022-08-30T11:41:46|36|0|2022-08-30|2022-08-30
87|10|27.07.2022|41|https://www.bfr.bund.de/cm/349/reclaimed-wastewater-preventing-protozoa-on-plant-foods.pdf||52|56|2022-08-30T11:46:25|36|2022-08-30T11:46:25|36|0|2022-08-30|2022-08-30
88|10|09.08.2022|2|https://www.seafoodsource.com/news/food-safety-health/seafood-fraud-a-growing-international-problem-impacting-food-safety-study-finds||53|57|2022-08-30T11:49:19|36|2022-08-30T11:49:19|36|0|2022-08-30|2022-08-30
89|20|||https://doi.org/10.1111/1541-4337.12998||53|58|2022-08-30T11:49:19|36|2022-08-30T11:49:19|36|0|2022-08-30|2022-08-30
90|10|07.08.2022|1|https://www.eurekalert.org/news-releases/961048||54|19|2022-08-30T11:51:42|36|2022-08-30T11:51:42|36|0|2022-08-30|2022-08-30
91|20|||http://dx.doi.org/10.1093/ije/dyac087||54|59|2022-08-30T11:51:42|36|2022-08-30T11:51:42|36|0|2022-08-30|2022-08-30
92|10|08.08.2022|3|https://www.medicalnewstoday.com/articles/every-1-1-serving-of-red-meat-may-increase-cardiovascular-risk-by-22?utm_source=Sailthru%20Email&utm_medium=Email&utm_campaign=MNT%20Daily%20News&utm_content=2022-08-09≋=39869855&rvid=c22ae60c6f6254d658d109e91||55|60|2022-08-30T11:55:41|36|2022-08-30T11:55:41|36|0|2022-08-30|2022-08-30
93|20|||https://www.ahajournals.org/doi/10.1161/ATVBAHA.121.316533||55|61|2022-08-30T11:55:41|36|2022-08-30T11:55:41|36|0|2022-08-30|2022-08-30
94|10|27.07.2022|1|https://www.occrp.org/en/daily/16612-european-authorities-crack-down-on-illegal-pesticide-production||56|62|2022-08-30T11:59:02|36|2022-08-30T11:59:02|36|0|2022-08-30|2022-08-30
95|20|||https://www.europol.europa.eu/media-press/newsroom/news/production-of-fake-pesticides-rise-in-eu||56|63|2022-08-30T11:59:02|36|2022-08-30T11:59:02|36|0|2022-08-30|2022-08-30
96|10|02.08.2022|2|https://www.eurekalert.org/news-releases/960122||57|19|2022-08-30T12:03:21|36|2022-08-30T12:03:21|36|0|2022-08-30|2022-08-30
97|20|||https://pubs.acs.org/doi/10.1021/acs.est.2c02765||57|64|2022-08-30T12:03:21|36|2022-08-30T12:03:21|36|0|2022-08-30|2022-08-30
98|10|08.08.2022|26|http://dx.doi.org/10.1016/j.jhepr.2022.100550||58|65|2022-08-30T12:05:27|36|2022-08-30T12:05:27|36|0|2022-08-30|2022-08-30
99|10|31.08.2022|2|https://www.eurekalert.org/news-releases/963112||59|19|2022-09-01T08:25:44|36|2022-09-01T08:25:44|36|0|2022-09-01|2022-09-01
100|20|||http://dx.doi.org/10.1136/bmj-2022-070688||59|66|2022-09-01T08:25:44|36|2022-09-01T08:25:44|36|0|2022-09-01|2022-09-01
101|10|31.08.2022|2|https://www.eurekalert.org/news-releases/963134||60|19|2022-09-01T08:28:57|36|2022-09-01T08:28:57|36|0|2022-09-01|2022-09-01
102|20|||http://dx.doi.org/10.1136/bmj-2021-068921||60|66|2022-09-01T08:30:29|36|2022-09-01T08:30:29|36|0|2022-09-01|2022-09-01
103|10|29.08.2022|13|https://link.springer.com/article/10.1007/s12560-022-09530-3||61|46|2022-09-01T08:49:57|36|2022-09-01T08:49:57|36|0|2022-09-01|2022-09-01
104|10|31.08.2022|2|https://www.foodnavigator.com/Article/2022/08/31/Upcycled-fertiliser-producer-eyes-expansion-amid-energy-crisis||62|67|2022-09-01T09:22:04|84|2022-09-01T09:22:04|84|0|2022-09-01|2022-09-01
105|30|||https://www.tracegrow.com/clean-and-effective-fertiliser-from-recycled-batteries?|Tracegrow - Company homepage|62||2022-09-01T09:22:04|84|2022-09-01T09:22:04|84|0|2022-09-01|2022-09-01
106|10|01.09.2022|11|https://www.eurosurveillance.org/content/10.2807/1560-7917.ES.2022.27.35.2200038||63|68|2022-09-02T08:14:54|36|2022-09-02T08:14:54|36|0|2022-09-02|2022-09-02
107|10|01.09.2022|2|https://www.foodnavigator.com/Article/2022/09/01/can-monkeypox-virus-be-transmitted-via-food-experts-aren-t-ruling-it-out||64|67|2022-09-02T11:55:18|84|2022-09-02T11:55:18|84|0|2022-09-02|2022-09-02
110|10|06.09.2022|3|https://www.foodnavigator.com/Article/2022/09/02/ultra-processed-food-not-nutritional-composition-paramount-to-risk-of-mortality||66|67|2022-09-06T09:49:33|84|2022-09-06T09:51:01|84|1|2022-09-06|2022-09-06
111|10|29.08.2022|1|https://affidiajournal.com/en/drug-residues-found-in-meat-labeled-antibiotic-free||67|55|2022-09-06T15:36:11|36|2022-09-06T15:36:11|36|0|2022-09-06|2022-09-06
112|20|||https://www.farmforward.com/?fbclid=IwAR0OyiCGXit6cfRBYkcciGmWdXD1L8B_gnmr8kPToPRsud_l5O84A0FomfY#!/blog/press-release-farm-forward-sues-whole-foods-for-deceiving-consumers-about-antibiotic-use-in-antibiotic-free-meat/farm-forward?utm_campaign=humanewashi||67|70|2022-09-06T15:36:11|36|2022-09-06T15:36:11|36|0|2022-09-06|2022-09-06
113|30|||https://www.science.org/doi/10.1126/science.abj1823|Science|67||2022-09-06T15:36:11|36|2022-09-06T15:36:11|36|0|2022-09-06|2022-09-06
114|10|07.08.2022|2|https://ananova.news/microplastics-detected-in-human-liver-tissue-for-first-time/||68|71|2022-09-07T08:26:13|84|2022-09-07T08:26:13|84|0|2022-09-07|2022-09-07
115|20|||https://www.thelancet.com/journals/ebiom/article/PIIS2352-3964(22)00328-0/fulltext#articleInformation||68|72|2022-09-07T08:26:13|84|2022-09-07T08:26:13|84|0|2022-09-07|2022-09-07
116|10|07.09.2022|2|https://www.eurekalert.org/news-releases/963879||69|19|2022-09-09T08:34:46|36|2022-09-09T08:34:46|36|0|2022-09-09|2022-09-09
117|20|||http://dx.doi.org/10.1136/bmj-2022-071204||69|66|2022-09-09T08:34:46|36|2022-09-09T08:34:46|36|0|2022-09-09|2022-09-09
118|10|07.09.2022|1|https://www.food-safety.com/articles/7988-researchers-develop-model-to-estimate-economic-value-of-foodborne-illness-outbreak-investigations-recalls||70|10|2022-09-09T09:01:26|36|2022-09-09T09:01:26|36|0|2022-09-09|2022-09-09
119|20|||https://www.ers.usda.gov/amber-waves/2022/august/researchers-develop-method-to-estimate-economic-impact-of-foodborne-illness-outbreak-response||70|73|2022-09-09T09:01:26|36|2022-09-09T09:01:26|36|0|2022-09-09|2022-09-09
120|10|06.09.2022|2|https://dailycoffeenews.com/2022/09/06/from-new-swiss-brand-coffeeb-the-coffee-ball-has-dropped/||71|74|2022-09-09T11:25:16|36|2022-09-09T11:25:16|36|0|2022-09-09|2022-09-09
121|30|||https://www.youtube.com/watch?v=3k_TCsRUlCg|Video|71||2022-09-09T11:25:16|36|2022-09-09T11:25:16|36|0|2022-09-09|2022-09-09
122|30|||https://www.migros.ch/fr/product/107134200000|Migros|71||2022-09-09T11:25:16|36|2022-09-09T11:25:16|36|0|2022-09-09|2022-09-09
123|30|||https://dailycoffeenews.com/2022/09/06/from-new-swiss-brand-coffeeb-the-coffee-ball-has-dropped/|DailyCoffeeNews|71||2022-09-09T11:25:16|36|2022-09-09T11:25:16|36|0|2022-09-09|2022-09-09
124|10|2017|8|https://www.sciencedirect.com/science/article/pii/S0308814617300341?via%3Dihub||72|75|2022-09-12T07:09:41|84|2022-09-12T07:09:41|84|0|2022-09-12|2022-09-12
125|10|09.09.2022|2|https://www.eurekalert.org/news-releases/964291||73|19|2022-09-12T07:51:20|36|2022-09-12T07:51:20|36|0|2022-09-12|2022-09-12
126|20|||http://dx.doi.org/10.1002/jeq2.20398||73|76|2022-09-12T07:51:20|36|2022-09-12T07:51:20|36|0|2022-09-12|2022-09-12
127|10|08.09.2022|1|https://wwwnc.cdc.gov/travel/notices/watch/salmonella-newport-mexico||74|37|2022-09-12T08:15:49|36|2022-09-12T08:15:49|36|0|2022-09-12|2022-09-12
128|10|12.09.2022|1|https://www.food-safety.com/articles/7976-pervasive-listeria-strains-may-be-genetically-prone-to-survival-wgs-shows||75|10|2022-09-13T06:57:35|84|2022-09-13T06:57:35|84|0|2022-09-13|2022-09-13
129|20|||https://journals.asm.org/doi/pdf/10.1128/aem.00861-22||75|77|2022-09-13T06:57:35|84|2022-09-13T06:57:35|84|0|2022-09-13|2022-09-13
130|10|12.09.2022|2|https://www.farmersweekly.co.nz/plant-based-foods-get-a-drubbing-from-researchers/||76|78|2022-09-13T07:27:13|84|2022-09-13T07:27:13|84|0|2022-09-13|2022-09-13
131|20|||https://www.frontiersin.org/articles/10.3389/fnut.2022.957486/full||76|79|2022-09-13T07:27:13|84|2022-09-13T07:27:13|84|0|2022-09-13|2022-09-13
132|10|12.09.2022|2|https://theconversation.com/ultra-processed-foods-its-not-just-their-low-nutritional-value-thats-a-concern-189918?utm_medium=email&utm_campaign=Latest%20from%20The%20Conversation%20for%20September%2013%202022%20-%202400623986&utm_content=Latest%20from%20T||77|12|2022-09-13T07:40:01|84|2022-09-13T07:40:01|84|0|2022-09-13|2022-09-13
133|10|12.09.2022|3|https://www.futurity.org/norovirus-cleaners-sanitizers-pathogens-2797162-2/||78|80|2022-09-13T09:59:32|36|2022-09-13T10:18:30|36|1|2022-09-13|2022-09-13
134|20|||http://dx.doi.org/10.1128/aem.00807-22||78|77|2022-09-13T09:59:32|36|2022-09-13T09:59:32|36|0|2022-09-13|2022-09-13
135|10|13.09.2022|2|https://theconversation.com/listeria-how-the-cost-of-living-crisis-could-increase-the-risk-of-food-poisoning-189417||79|12|2022-09-14T11:13:17|36|2022-09-14T11:13:17|36|0|2022-09-14|2022-09-14
136|10|07.09.2022|1|https://pubs.acs.org/doi/10.1021/acs.jafc.2c04246||80|29|2022-09-14T11:20:02|36|2022-09-14T11:20:02|36|0|2022-09-14|2022-09-14
137|10|15.09.2022|1|https://www.eurekalert.org/news-releases/964780||81|19|2022-09-16T07:51:10|36|2022-09-16T07:51:10|36|0|2022-09-16|2022-09-16
138|20|||http://dx.doi.org/10.1021/acs.est.2c03980||81|81|2022-09-16T07:51:10|36|2022-09-16T07:51:10|36|0|2022-09-16|2022-09-16
139|10|2022|1|https://www.researchsquare.com/article/rs-2035146/v1||82|82|2022-09-16T08:08:42|36|2022-09-16T08:08:42|36|0|2022-09-16|2022-09-16
140|10|16.09.2022|2|https://www.foodsafetynews.com/2022/09/foodborne-cryptosporidium-outbreaks-likely-being-missed-in-france/||83|18|2022-09-16T08:12:15|36|2022-09-16T08:12:15|36|0|2022-09-16|2022-09-16
141|10|15.09.2022|11|https://www.frontiersin.org/articles/10.3389/fmicb.2022.964009/full||84|83|2022-09-16T08:19:59|36|2022-09-16T08:19:59|36|0|2022-09-16|2022-09-16
142|10|13.09.2022|1|https://www.foodnavigator.com/Article/2022/09/13/from-lettuce-to-insects-to-fish-research-investigates-how-nanoplastics-can-move-up-the-food-chain||85|67|2022-09-16T09:26:27|84|2022-09-16T09:26:27|84|0|2022-09-16|2022-09-16
143|20|||https://reader.elsevier.com/reader/sd/pii/S1748013222002390?token=F8E5D6A2A9954AA7C1C2CAC30472F7AD10E36421645FA8A6DDDC6F00D7ED1DF886C6DFFD77DD0B220FC241FDD684E0AE&originRegion=eu-west-1&originCreation=20220916064013||85|84|2022-09-16T09:26:27|84|2022-09-16T09:26:27|84|0|2022-09-16|2022-09-16
