steckbrief_id,Climate change,Technological innovations and scientific advances,Urbanization and urban agriculture,Circular economy,Microbiomes and food safety,New foods and food production systems,Consumer behaviour and consumption trends,Microbial evolution and antibiotic resistance,Society,Technology,Ecology,Economy,Policy
108,0,0,0,0,0,1,0,0,0,0,0,0,0
110,0,0,0,0,0,0,0,2,0,0,0,0,0
116,0,0,0,0,0,0,0,0,0,0,2,0,0
118,0,0,0,0,0,1,0,2,0,0,0,0,0
121,0,0,0,0,1,0,0,4,1,0,0,0,0
127,0,0,0,0,0,1,0,0,1,0,0,0,0
129,1,1,0,0,1,0,0,1,0,0,0,0,0
140,0,2,0,0,2,0,0,2,0,0,0,0,0
143,0,0,0,1,0,1,0,0,1,0,0,0,0
147,1,2,0,0,1,0,1,0,0,1,1,1,0
149,0,0,0,0,0,0,0,3,0,0,0,0,0
154,0,0,0,0,0,0,0,2,0,0,0,0,0
157,0,0,0,0,0,0,0,2,0,0,0,0,0
164,0,0,0,0,0,0,0,2,0,0,0,0,0
173,0,0,0,0,0,0,0,2,0,0,0,0,0
178,0,1,1,0,0,0,0,3,0,0,1,0,0
179,0,0,0,0,0,0,0,1,0,0,0,0,0
180,0,1,0,0,0,0,0,0,0,0,0,0,0
181,0,0,0,0,2,1,2,1,0,0,0,1,0
187,0,0,1,0,0,0,0,0,0,0,1,0,0
195,0,0,1,0,2,0,0,7,0,0,0,0,0
199,0,0,0,0,1,0,0,2,0,0,0,0,0
201,0,0,0,1,0,0,0,1,0,0,0,0,0
211,0,0,0,0,1,2,6,0,1,0,0,0,0
213,0,0,0,0,0,0,0,1,0,0,0,0,0
214,0,0,0,0,0,0,0,1,0,0,0,0,0
215,1,0,0,0,0,0,1,0,1,0,0,1,1
221,0,0,0,0,0,0,1,0,0,0,0,0,0
223,0,1,0,0,0,0,0,0,0,0,0,0,0
224,1,0,0,0,0,0,0,0,1,0,0,1,2
225,2,0,0,0,1,0,2,0,1,0,0,1,1
227,1,1,0,0,0,1,0,1,0,0,1,0,0
232,0,2,0,0,5,5,0,13,1,2,1,0,0
233,0,0,0,0,1,0,2,0,0,0,0,0,0
236,0,0,0,0,1,1,1,5,0,0,0,1,0
237,0,0,0,0,0,0,0,3,0,0,0,0,0
238,0,1,0,0,0,0,0,0,0,0,0,0,0
239,0,3,0,0,1,0,0,0,0,0,0,0,0
244,0,1,0,0,7,2,1,7,0,2,0,0,0
247,0,0,0,0,0,0,0,1,0,0,1,0,0
248,0,2,0,0,1,0,0,0,0,0,0,0,0
249,0,0,0,0,0,0,0,2,0,0,0,0,0
252,0,0,0,0,0,1,2,1,0,0,0,0,0
253,0,0,0,0,0,0,0,1,0,0,0,0,0
257,0,0,0,0,0,0,1,5,0,0,0,1,0
258,2,0,0,0,1,0,1,0,0,0,0,1,0
261,0,0,0,0,0,0,0,2,0,0,0,0,0
262,0,0,0,0,0,0,0,1,0,0,0,0,0
263,0,0,0,0,1,0,0,6,0,0,0,0,0
265,0,0,0,0,0,0,1,0,0,0,0,0,0
267,0,0,0,0,0,0,0,3,0,0,0,0,0
271,2,0,0,0,2,0,0,0,0,0,0,0,0
272,0,0,0,0,1,0,1,0,0,0,1,1,1
275,0,0,0,0,0,1,0,0,0,0,0,0,0
276,0,0,0,0,0,0,0,0,0,0,1,0,0
277,0,0,0,0,1,0,0,1,0,0,0,0,0
