gefahr_id,Cambiamento climatico,Innovazioni tecnologiche e progressi scientifici,Urbanizzazione e agricoltura urbana,Economie circolare,Microbiomi e sicurezza alimentare,Nuovi alimenti e sistemi di produzione alimentare,Comportamento dei consumatori e tendenze di consumo,Evoluzione microbica e resistenza agli antibiotici,Società,Tecnologia,Ecologia,Economia,Politica
232,1,0,0,0,0,0,1,3,0,0,0,0,0
238,2,1,0,0,0,1,0,5,0,0,1,0,0
241,1,0,0,0,0,0,0,0,0,0,0,0,0
244,2,0,0,1,1,1,3,34,0,0,0,2,0
253,0,0,0,0,0,0,0,1,0,0,0,0,0
255,0,0,0,0,0,0,0,5,0,0,2,0,0
256,2,0,0,0,0,0,0,1,0,0,1,0,0
257,0,0,0,0,0,0,0,2,0,0,0,0,0
261,1,2,1,0,2,0,1,2,1,1,2,1,0
266,1,0,1,0,0,0,0,0,1,0,1,0,0
267,3,0,0,0,0,0,0,0,0,0,0,0,0
277,1,0,0,0,0,0,0,0,0,0,1,0,0
278,0,0,0,0,0,0,1,0,0,0,0,0,0
286,0,0,0,0,1,0,0,0,0,0,0,0,0
287,0,0,0,0,1,0,0,4,0,0,0,0,0
291,0,0,0,0,0,0,0,1,0,0,0,0,0
296,0,0,0,0,0,0,0,2,0,0,0,0,0
300,1,1,0,0,0,0,0,1,0,0,0,1,0
302,0,0,0,0,0,0,0,1,0,0,0,0,0
305,0,0,0,0,0,1,0,0,0,0,0,0,0
314,0,0,0,0,0,0,0,1,0,0,1,0,0
315,0,0,0,0,0,1,0,0,0,0,0,0,0
319,0,0,0,0,0,0,0,1,0,0,0,0,0
320,0,0,0,0,0,0,0,1,0,0,0,0,0
323,0,1,0,0,0,0,0,0,0,0,0,0,1
325,0,1,0,0,1,0,0,0,0,0,0,0,0
332,0,0,0,0,1,0,0,0,0,0,0,0,0
333,0,0,0,0,0,1,3,1,0,0,0,0,0
334,0,0,0,0,1,0,1,0,0,0,1,1,1
338,1,1,0,0,1,0,1,0,0,1,1,1,0
341,1,2,0,0,1,0,2,0,0,1,1,1,0
342,0,0,0,0,1,0,0,1,0,0,0,0,0
343,0,0,0,0,0,0,0,1,0,0,0,0,0
346,0,0,0,0,0,0,1,0,0,0,0,0,0
347,1,0,0,0,1,0,0,1,0,0,1,0,0
348,0,0,0,0,2,0,0,1,0,0,0,0,0
355,0,0,0,0,0,0,1,0,0,0,0,0,0
356,0,1,0,0,0,0,0,0,0,0,0,0,0
358,0,0,0,0,1,0,0,1,0,0,0,0,0
359,1,0,0,0,0,0,0,0,0,0,1,0,0
361,1,0,0,0,1,0,2,6,0,0,0,0,0
365,0,0,0,0,1,0,0,0,0,0,2,0,0
366,0,0,0,0,1,0,0,0,0,0,0,0,0
375,1,0,0,0,0,0,0,0,0,0,0,0,0
376,0,0,0,0,1,0,0,0,0,0,0,0,0
380,0,0,1,0,0,0,0,0,0,0,0,0,0
381,0,0,0,0,0,0,0,1,0,0,0,0,0
383,0,0,0,0,0,0,0,1,0,0,0,0,0
385,0,0,0,0,0,0,0,1,0,0,0,0,0
386,0,1,0,0,0,0,0,1,0,0,1,0,0
387,0,0,0,0,0,0,0,0,0,0,1,0,0
388,0,0,0,0,0,0,1,0,0,0,0,0,0
391,0,0,0,0,0,0,0,1,0,0,0,0,0
392,0,0,0,0,0,0,1,1,0,0,0,0,0
393,0,0,0,0,0,0,0,1,0,0,0,0,0
401,0,0,0,0,0,0,0,2,0,0,0,0,0
403,0,0,0,0,0,0,0,1,0,0,0,0,0
406,0,1,0,0,0,0,0,0,0,0,1,0,0
409,0,0,0,0,0,0,1,0,0,0,0,0,0
415,0,0,0,0,0,0,1,0,0,0,0,0,0
427,0,1,1,0,0,0,0,0,0,0,1,0,0
428,0,0,0,0,0,0,0,1,0,0,0,0,0
433,1,0,0,0,0,0,0,0,0,0,0,0,0
434,1,0,0,0,0,0,0,0,0,0,0,0,0
437,1,0,0,0,0,0,0,0,0,0,0,0,0
442,2,0,1,0,1,0,1,0,0,0,2,1,0
443,1,0,1,0,1,0,1,0,0,0,1,1,0
444,0,0,0,0,0,0,0,1,0,0,0,0,0
447,0,0,0,0,1,0,0,0,0,0,0,0,0
452,0,0,0,0,0,0,1,0,0,0,0,0,0
457,0,0,1,0,0,0,0,0,0,0,1,0,0
464,1,0,0,0,0,0,0,0,0,0,0,0,0
470,0,0,0,0,0,0,0,1,0,0,1,0,0
472,1,0,0,0,0,0,0,0,0,0,1,1,0
473,1,0,0,0,0,0,0,0,0,0,1,0,0
474,1,0,0,0,0,0,0,0,0,0,1,0,0
478,0,1,0,0,0,0,1,0,0,0,0,0,0
485,0,0,0,0,0,0,0,1,0,0,0,0,0
486,0,0,0,0,1,0,0,0,0,0,0,0,0
494,0,0,0,0,0,0,0,0,0,0,1,0,0
495,0,0,0,0,0,0,0,1,0,0,0,0,0
496,0,0,0,0,0,0,0,1,0,0,0,0,0
498,0,0,0,0,0,0,0,1,0,0,0,0,0
501,0,0,0,0,0,0,0,1,0,0,0,0,0
503,1,0,0,0,1,0,0,0,0,0,1,0,0
504,0,0,1,0,0,0,0,1,1,0,1,0,0
508,0,0,0,0,0,0,0,1,0,0,0,0,0
510,0,0,0,0,0,0,0,1,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,0,1,0,0
512,0,1,0,0,0,0,1,0,0,0,0,0,0
513,0,1,0,0,0,0,1,0,0,0,0,0,0
514,0,0,0,0,0,0,0,1,0,0,0,0,0
518,0,0,0,0,0,0,0,1,0,0,0,0,0
520,1,0,0,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,0,0,1,0,0,0,0,0
