gefahr_id,Klimawandel,Technologische Innovationen und wissenschaftliche Fortschritte,Verstädterung und urbane Landwirtschaft,Mikrobiome und Lebensmittelsicherheit,Neue Lebensmittel und Lebensmittelproduktionssysteme,Konsumentenverhalten und Konsumtrends,Mikrobielle Evolution und Antibiotikaresistenz,Gesellschaft,Technologie,Umwelt,Wirtschaft,Politik,demografischer Wandel
365,0,0,0,0,0,0,0,0,0,1,0,0,0
392,0,0,0,0,0,1,1,0,0,0,0,0,0
401,0,0,0,0,1,0,0,0,0,0,0,0,0
437,1,0,0,0,0,0,0,0,0,0,0,0,0
442,1,0,0,0,0,0,0,0,0,1,0,0,0
470,0,0,0,0,0,0,1,0,0,1,0,0,0
473,1,0,0,0,0,0,0,0,0,1,0,0,0
474,1,0,0,0,0,0,0,0,0,1,0,0,0
476,0,0,0,0,0,0,1,0,0,1,0,0,0
485,0,0,0,0,0,0,2,0,0,1,1,0,0
495,0,0,0,0,0,0,1,0,0,0,0,0,0
496,0,0,0,0,0,0,1,0,0,0,0,0,0
498,0,0,0,0,0,0,1,0,0,0,0,0,0
501,0,0,0,0,0,0,1,0,0,0,0,0,0
503,1,0,0,1,0,0,0,0,0,1,0,0,0
504,0,0,1,0,0,0,2,1,0,1,0,0,0
508,0,0,0,0,0,0,1,0,0,0,0,0,0
510,0,0,0,0,0,0,1,0,0,0,0,0,0
511,0,0,0,0,0,0,0,0,0,1,0,0,0
512,0,1,0,0,0,1,0,0,0,0,0,0,0
513,0,1,0,0,0,1,0,0,0,0,0,0,0
514,0,0,0,0,0,0,1,0,0,0,0,0,0
518,0,0,0,0,0,0,1,0,0,0,0,0,0
520,1,0,0,0,0,0,0,0,0,0,0,0,0
521,0,0,0,0,0,1,2,0,0,0,0,0,0
540,0,0,0,0,0,0,1,0,0,0,0,0,0
541,0,0,0,0,0,0,1,0,0,0,0,0,0
542,0,1,0,0,0,0,0,0,0,0,0,0,0
543,0,0,0,0,0,0,1,0,0,0,0,0,0
544,0,0,0,0,0,1,1,1,0,0,0,0,0
547,0,0,0,1,0,0,0,0,0,0,0,0,0
548,0,1,0,0,0,0,0,0,0,0,0,0,0
549,0,0,0,0,0,0,1,0,0,0,0,0,0
