Code,NAME DE,NAME FR,NAME IT,NAME EN,Steckbrief
22550-57,Mais GA21 - MON-ØØØ21-9,Maïs GA21 - MON-ØØØ21-9,Mais GA21 - MON-ØØØ21-9,Maize GA21 - MON-ØØØ21-9,GVO
733031-92,Mais LY038,Maïs LY038,Mais LY038,Maize LY038,GVO
733019-31,Mais MIR162,Maïs MIR162,Mais MIR162,Maize MIR162,GVO
22552-51,Mais MIR604,Maïs MIR604,Mais MIR604,Maize MIR604,GVO
22553-48,"Mais MON810 - ""MaisGard"" - MON-Ø81Ø-6 ","Maïs MON810 - ""MaisGard"" - MON-Ø81Ø-6 ","Mais MON810 - ""MaisGard"" - MON-Ø81Ø-6 ","Maize MON810 - ""MaisGard"" - MON-Ø81Ø-6 ",GVO
22554-45,Mais MON863,Maïs MON863,Mais MON863,Maize MON863,GVO
733007-67,Mais MON87460,Maïs MON87460,Mais MON87460,Maize MON87460,GVO
22555-42,Mais MON88017,Maïs MON88017,Mais MON88017,Maize MON88017,GVO
22556-39,Mais MON89034,Maïs MON89034,Mais MON89034,Maize MON89034,GVO
22557-36,Mais NK603 - MON-ØØ6Ø3-6,Maïs NK603 - MON-ØØ6Ø3-6,Mais NK603 - MON-ØØ6Ø3-6,Maize NK603 - MON-ØØ6Ø3-6,GVO
22559-30,Mais T-25,Maïs T-25,Mais T-25,Maize T-25,GVO
22560-27,Mais 1507 - DAS-Ø15Ø7-1,Maïs 1507 - DAS-Ø15Ø7-1,Mais 1507 - DAS-Ø15Ø7-1,Maize 1507 - DAS-Ø15Ø7-1,GVO
22558-33,Mais-Referengen zSSllb,Gène de référence du maïs – zSSllb,Gene di riferimento mais zSSllb,Maize reference gene zSSllb,GVO
733028-04,Mais-Referenzgen hmg,Gène de référence du maïs – hmg,Gene di riferimento mais hmg,Maize reference gene hmg,GVO
733027-07,Mais-Referenzgen Invertase,Gène de référence du maïs – invertase,Gene di riferimento mais invertasi,Maize reference gene invertase,GVO
733023-19,Papaya-Referenzgen Papain,Gène de référence de la papaye – papaïne,Gene di riferimento papaya papaina,Papaya reference gene papain,GVO
733000-88,Pflanzen-Referenzgen Chloroplasten,Gène de référence de végétaux – chloroplaste,Gene di riferimento piante cloropasto,Plant reference gene chloroplasts,GVO
733025-13,Reis BT63,Riz BT63,Riso BT63,Rice BT63,GVO
732989-24,Reis Kefeng6,Riz Kefeng6,Riso Kefeng6,Rice Kefeng6,GVO
733029-01,Reis KMD1,Riz KMD1,Riso KMD1,Rice KMD1,GVO
22567-06,Reis LL601,Riz LL601,Riso LL601,Rice LL601,GVO
22568-03,Reis LL62,Riz LL62,Riso LL62,Rice LL62,GVO
733004-76,Reis-Referenzgen beta-Actin,Gène de référence du riz – actine bêta,Gene di riferimento riso beta-actina,Rice reference gene beta-actin,GVO
733021-25,Reis-Referenzgen gos9,Gène de référence du riz – gos9,Gene di riferimento riso gos9,Rice reference gene gos9,GVO
733010-58,Reis-Referenzgen PLD,Gène de référence du riz – PLD,Gene di riferimento riso PLD,Rice reference gene PLD,GVO
732991-18,"Soja 40-3-2 - ""Roundup Ready"" - MON-Ø4Ø32-6","Soja 40-3-2 - ""Roundup Ready"" - MON-Ø4Ø32-6","Soia 40-3-2 - ""Roundup Ready"" - MON-Ø4Ø32-6","Soya 40-3-2 - ""Roundup Ready"" - MON-Ø4Ø32-6",GVO
22564-15,Soja A2704-12,Soja A2704-12,Soia A2704-12,Soya A2704-12,GVO
22565-12,Soja A5547-127,Soja A5547-127,Soia A5547-127,Soya A5547-127,GVO
733015-43,Soja BPS-CV127-9,Soja BPS-CV127-9,Soia BPS-CV127-9,Soya BPS-CV127-9,GVO
732999-91,Soja DP-305423,Soja DP-305423,Soia DP-305423,Soya DP-305423,GVO
732995-06,Soja DP-356043,Soja DP-356043,Soia DP-356043,Soya DP-356043,GVO
732990-21,Soja FG72,Soja FG72,Soia FG72,Soya FG72,GVO
733012-52,Soja MON87701,Soja MON87701,Soia MON87701,Soya MON87701,GVO
732984-39,Soja MON87705,Soja MON87705,Soia MON87705,Soya MON87705,GVO
733013-49,Soja MON87708,Soja MON87708,Soia MON87708,Soya MON87708,GVO
732994-09,Soja MON87769,Soja MON87769,Soia MON87769,Soya MON87769,GVO
22566-09,Soja MON89788 - MON-89788-1,Soja MON89788 - MON-89788-1,Soia MON89788 - MON-89788-1,Soya MON89788 - MON-89788-1,GVO
796473-80,Raps GT73 - MON-ØØØ73-7,Colza GT73 - MON-ØØØ73-7,Colza GT73 - MON-ØØØ73-7,Rapeseed GT73 - MON-ØØØ73-7,GVO
733017-37,Soja-Referenzgen Lectin,Gène de référence du soja – lectine,Gene di riferimento soia lecitina,Soya reference gene lectin,GVO
732998-94,Weizen-Referenzgen Gliadin,Gène de référence du blé – gliadine,Gene di riferimento soia gliadina,Wheat reference gene gliadin,GVO
733008-64,Weizen-Referenzgen Gluten,Gène de référence du blé – gluten,Gene di riferimento frumento glutine,Wheat reference gene gluten,GVO
1947-77,Aflatoxin B1,Aflatoxine B1,Aflatossina B1,Aflatoxin B1,Mykotoxin
2224-22,"Aflatoxine (Summe von B1, B2, G1 und G2)","Aflatoxines (somme de B1, B2, G1 et G2)","Aflatossine (somma di B1, B2, G1 e G2)",Aflatoxins (sum of B1+B2+G1+G2),Mykotoxin
1948-74,Aflatoxin M1,Aflatoxine M1,Aflatossina M1,Aflatoxin M1,Mykotoxin
1951-65,Citrinin,Citrinine,Citrinina,Citrinin,Mykotoxin
1935-16,Deoxynivalenol,Déoxynivalénol,Deossinivalenolo,Deoxynivalenol,Mykotoxin
5937-38,Fumonisine (Summe von B1 und B2),Fumonisines (somme de B1 et B2),Fumonisine (somma di B1 e B2),Fumonisins (sum of B1+B2),Mykotoxin
2227-13,Mutterkorn,Ergot,Segale cornuta,Ergot of rye,Mykotoxin
1950-68,Ochratoxin A,Ochratoxine A,Ocratossina A,Ochratoxin A,Mykotoxin
2165-05,Patulin,Patuline,Patulina,Patulin,Mykotoxin
1934-19,Zearalenon,Zéaralénone,Zearalenone,Zearalenone,Mykotoxin
2031-19,Arsen,Arsenic,Arsenico,Arsenic,Wasser
1998-21,Blei,Plomb,Piombo,Lead,Wasser
2024-40,Eisen,Fer,Ferro,Iron,Wasser
2118-49,Enterokokken,Entérocoques,Enterococchi,Enteroccoci,Wasser
2119-46,Escherichia coli,Escherichia coli,Escherichia coli,Escherichia coli,Wasser
2292-12,Nitrat,Nitrate,Nitrato,Nitrate,Wasser
2294-06,Nitrit,Nitrite,Nitrito,Nitrite,Wasser
1003-96,Propham,Prophame,Profam,Propham,PSM
10044-36,Amisulbrom,Amisulbrom,Amisulbrom,Amisulbrom,PSM
10046-30,Pyrasulfotol,Pyrasulfutole,Pirasulfutolo,Pyrasulfotole,PSM
1004-93,Propoxur,Propoxur,Propoxur,Propoxur,PSM
1006-87,Propyzamid,Propyzamide,Propizamide,Propyzamide,PSM
1007-84,Prosulfocarb,Prosulfocarb,Prosulfocarb,Prosulfocarb,PSM
10104-50,Phosphit,Phosphite,Fosfito,Phosphite,PSM
1017-54,Pyrethrine,Pyrèthres,Piretrine,Pyrethrins,PSM
1019-48,Pyridate,Pyridate,Piridate,Pyridate,PSM
1025-30,Quinalphos,Quinalphos,Quinalfos,Quinalphos,PSM
10268-43,Cyprosulfamid,Cyprosulfamide,Ciprosulfamide,Cyprosulfamide,PSM
10271-34,Tembotrion,Tembotrione,Tembotrione,Tembotrione,PSM
1036-94,Resmethrin,Résmethrine,Resmetrin,Resmethrin,PSM
1047-61,Simazin,Simazine,Simazina,Simazine,PSM
10488-62,Pyroxsulam,Pyroxsulam,Piroxsulam,Pyroxsulam,PSM
1053-43,Sulfosate (Glyphosate-trimesium),Sulfosate (Glyphosate-trimesium),Sulfosate (Glifosate-trimesio),Sulfosate (Glyphosate-trimesium),PSM
1057-31,Schwefel,Soufre,Zolfo,Sulphur,PSM
10-68,Acetochlor,Acétochlore,Acetocloro,Acetochlor,PSM
1071-86,"T, 2,4,5-","T, 2,4,5-","T, 2,4,5-","T, 2,4,5-",PSM
10767-01,Chlorantraniliprol,Chlorantraniliprole,Clorantraniliprolo,Chlorantraniliprole,PSM
1080-59,Tebuconazol,Tébuconazole,Tebuconazolo,Tebuconazole,PSM
10807-75,Spinetoram,Spinetoram,Spinetoram,Spinetoram,PSM
1083-50,Tecnazen,Tecnazène,Tecnazene,Tecnazene,PSM
1084-47,Teflubenzuron,Teflubenzuron,Teflubenzuron,Teflubenzuron,PSM
1087-38,TEPP,TEPP,TEPP,TEPP,PSM
1090-29,Terbufos,Terbufos,Terbufos,Terbufos,PSM
1092-23,Terbuthylazin,Terbuthylazine,Terbutilazina,Terbuthylazine,PSM
1102-90,Tetradifon,Tétradifon,Tetradifon,Tetradifon,PSM
11087-11,Bixafen,Bixafène,Bixafen,Bixafen,PSM
11088-08,Fluopyram,Fluopyram,Fluopyram,Fluopyram,PSM
1111-63,Thiabendazol,Thiabendazole,Tiabendazolo,Thiabendazole,PSM
1112-60,Thifensulfuron-methyl,Thifensulfuron méthyle,Tifensulfuron metile,Thifensulfuron-methyl,PSM
1113-57,Thiobencarb,Thiobencarb,Tiobencarb,Thiobencarb,PSM
11187-02,"Trimethylsulfonium, Kation","Triméthylsulfonium, cation","Trimethyl-sulfonium, catione","Trimethyl-sulfonium, cation",PSM
1120-36,Thiophanat-methyl,Thiophanate-methyl,Tiofanato-metile,Thiophanate-methyl,PSM
1124-24,Thiram,Thirame,Tiram,Thiram,PSM
1128-12,Camphechlor,Camphéchlore,Camfecloro,Camphechlor,PSM
1129-09,Tralkoxydim,Tralkoxydim,Tralcoxidim,Tralkoxydim,PSM
1131-03,Triallat,Triallate,Triallato,Triallate,PSM
1137-82,Triasulfuron,Triasulfuron,Triasulfuron,Triasulfuron,PSM
1139-76,Triazophos,Triazophos,Triazofos,Triazophos,PSM
1140-73,Tribenuron-methyl,Tribénuron-méthyle,Tribenuron metile,Tribenuron-methyl,PSM
1141-70,Trichlorfon,Trichlorfon,Triclorfon,Trichlorfon,PSM
1149-46,Tricyclazol,Tricyclazole,Triciclazolo,Tricyclazole,PSM
1152-37,Tridemorph,Tridémorphe,Tridemorfo,Tridemorph,PSM
1155-28,Trifluralin,Trifluraline,Trifluralin,Trifluralin,PSM
1156-25,Triforin,Triforine,Triforine,Triforine,PSM
11-65,Aclonifen,Aclonifen,Aclonifen,Aclonifen,PSM
1171-77,Vinclozolin,Vinclozoline,Vinclozolin,Vinclozolin,PSM
1175-65,Ziram,Zirame,Ziram,Ziram,PSM
1180-50,Propineb,Propinèbe,Propineb,Propineb,PSM
1182-44,Chlorfenvinphos,Chlorfenvinphos,Clorfenvinfos,Chlorfenvinphos,PSM
1184-38,Fentinacetat,Fentine acétate,Fentin acetato,Fentin acetate,PSM
1185-35,Nicosulfuron,Nicosulfuron,Nicosulfuron,Nicosulfuron,PSM
1186-32,Fluazinam,Fluaziname,Fluazinam,Fluazinam,PSM
1187-29,Dimethomorph,Diméthomorphe,Dimetomorf,Dimethomorph,PSM
1191-17,Permethrin,Perméthrine,Permetrina,Permethrin,PSM
1192-14,Flucycloxuron,Flucycloxuron,Flucicloxuron,Flucycloxuron,PSM
1195-05,"Fluvalinat, tau-","Fluvalinate, tau-","Fluvalinato, tau-","Fluvalinate, tau-",PSM
1199-90,Fentinhydroxid,Fentine hydroxyde,Fentin idrossido,Fentin hydroxide,PSM
1203-78,Triclopyr,Triclopyr,Triclopir,Triclopyr,PSM
1204-75,Methopren,Méthoprène,Metoprene,Methoprene,PSM
1206-69,Tebufenpyrad,Tébufenpyrad,Tebufenpirad,Tebufenpyrad,PSM
1207-66,Hexaconazol,Hexaconazole,Esaconazolo,Hexaconazole,PSM
1209-60,Trinexapac-ethyl,Trinexapac-éthyl,Trinexapac-etile,Trinexapac-ethyl,PSM
1214-45,Isoxaben,Isoxabène,Isoxaben,Isoxaben,PSM
1215-42,Bitertanol,Bitertanol,Bitertanolo,Bitertanol,PSM
1221-24,Amitrol,Amitrole,Amitrolo,Amitrole,PSM
1226-09,Benfuracarb,Benfuracarbe,Benfuracarb,Benfuracarb,PSM
1243-55,Cartap,Cartap,Cartap,Cartap,PSM
12468-39,Quecksilberverbindungen,Composés du mercure,Composti del mercurio,Mercury compounds,PSM
1252-28,Chlorpikrin,Chloropicrine,Cloropicrin,Chloropicrin,PSM
12567-33,Phosphin und Phosphide,Phosphine et phosphures,Fosfina e fosfuri,Phosphine and phosphides,PSM
1258-10,Clopyralid,Clopyralid,Clopiralid,Clopyralid,PSM
12650-75,Isopyrazam,Isopyrazam,Isopyrazam,Isopyrazam,PSM
1266-83,Dalapon,Dalapon,Dalapon,Dalapon,PSM
1267-80,"Dichlorpropen, 1,3-","Dichloropropène, 1,3-","Dicloropropene, 1,3-","Dichloropropene, 1,3-",PSM
1271-68,Diclofop,Diclofop,Diclofop,Diclofop,PSM
1279-44,Dimethipin,Dimethipin,Dimetipin,Dimethipin,PSM
1285-26,Dodin,Dodine,Dodina,Dodine,PSM
1296-90,"Dibromethan, 1,2-","Dibrométhane, 1,2-","Dibromoetano, 1,2-","Dibromoethane, 1,2-",PSM
1298-84,Etofenprox,Etofenprox,Etofenprox,Etofenprox,PSM
1299-81,Fenazaquin,Fenazaquine,Fenazaquin,Fenazaquin,PSM
1306-60,Fenoxaprop-P,Fenoxaprop-P,Fenoxaprop-P,Fenoxaprop-P,PSM
1307-57,Fenpropidin,Fenpropidine,Fenpropidin,Fenpropidin,PSM
13087-25,Valifenalat,Valifénalate,Valifenalat,Valifenalate,PSM
1311-45,Flazasulfuron,Flazasulfuron,Flazasulfuron,Flazasulfuron,PSM
1317-27,Fluoroglycofen,Fluoroglicofène,Fluoroglicofen,Fluoroglycofen,PSM
131-93,Bifenox,Bifenox,Bifenox,Bifenox,PSM
1322-12,Flurprimidol,Flurprimidole,Flurprimidolo,Flurprimidole,PSM
1323-09,Flurtamon,Flurtamone,Flurtamone,Flurtamone,PSM
1325-03,Flutolanil,Flutolanil,Flutolanil,Flutolanil,PSM
1328-91,Forchlorfenuron,Forchlorfénuron,Forclorfenuron,Forchlorfenuron,PSM
132-90,Bifenthrin,Bifenthrine,Bifentrin,Bifenthrin,PSM
1332-79,Fosthiazat,Fosthiazate,Fostiazato,Fosthiazate,PSM
133-87,Binapacryl,Binapacryl,Binapacril,Binapacryl,PSM
1339-58,Hydrogencyanid,Cyanure d'hydrogène,Cianuro di idrogeno,Hydrogen cyanide,PSM
1341-52,Hymexazol,Hymexazol,Imexazol,Hymexazol,PSM
1346-37,Imazaquin,Imazaquine,Imazaquin,Imazaquin,PSM
13467-49,Sulfoxaflor,Sulfoxaflor,Sulfoxaflor,Sulfoxaflor,PSM
1349-28,Imidacloprid,Imidaclopride,Imidacloprid,Imidacloprid,PSM
1354-13,Isoprothiolan,Isoprothiolane,Isoprotiolano,Isoprothiolane,PSM
1360-92,Lactofen,Lactofen,Lactofen,Lactofen,PSM
1361-89,Maleinsäurehydrazid,Hydrazide maléique,Idrazide maleica,Maleic hydrazide,PSM
1367-71,Mepiquat,Mépiquat,Mepiquat,Mepiquat,PSM
1371-59,Metaldehyd,Métaldéhyde,Metaldeide,Metaldehyde,PSM
1392-93,Picloram,Picloram,Picloram,Picloram,PSM
1404-57,Prohexadion,Prohexadione,Proesadione,Prohexadione,PSM
14109-63,Emamectin B1a,Émamectine B1a,Emamectina B1a,Emamectin B1a,PSM
1413-30,Pyridaben,Pyridabene,Pyridaben,Pyridaben,PSM
1414-27,Pyriproxyfen,Pyriproxyphène,Piriproxifen,Pyriproxyfen,PSM
1415-24,Quinclorac,Quinclorac,Quinclorac,Quinclorac,PSM
1416-21,Quinmerac,Quinmerac,Quinmerac,Quinmerac,PSM
1417-18,Quinoclamin,Quinoclamine,Quinoclamine,Quinoclamine,PSM
1418-15,Quizalofop,Quizalofop,Quizalofop,Quizalofop,PSM
14187-23,Ametoctradin,Amétoctradin,Ametoctradin,Ametoctradin,PSM
14247-37,Thiencarbazone-methyl,Thiencarbazone-méthyle,Tiencarbazone-metile,Thiencarbazone-methyl,PSM
1424-94,Streptomycin,Streptomycine,Streptomicina,Streptomycin,PSM
1430-76,Sulfurylfluorid,Fluorure de sulfuryle,Fluoruro di solforile,Sulfuryl fluoride,PSM
1433-67,Tefluthrin,Tefluthrine,Teflutrin,Tefluthrin,PSM
1435-61,Tetraconazol,Tetraconazole,Tetraconazolo,Tetraconazole,PSM
1442-40,Tolclofos-methyl,Tolclofos-méthyl,Tolclofos-metile,Tolclofos-methyl,PSM
1443-37,Triazoxid,Triazoxide,Triazoxide,Triazoxide,PSM
1447-25,Triflumuron,Triflumuron,Triflumuron,Triflumuron,PSM
1450-16,Warfarin,Warfarine,Warfarin,Warfarin,PSM
1453-07,Rimsulfuron,Rimsulfuron,Rimsulfuron,Rimsulfuron,PSM
1454-04,Prosulfuron,Prosulfuron,Prosulfuron,Prosulfuron,PSM
1455-01,Triflusulfuron,Triflusulfuron,Triflusulfuron,Triflusulfuron,PSM
145-51,Carbetamid,Carbetamide,Carbetamide,Carbetamide,PSM
1456-95,Tebufenozid,Tebufenozide,Tebufenozide,Tebufenozide,PSM
1474-41,Lufenuron,Lufénurone,Lufenuron,Lufenuron,PSM
14768-26,Fluxapyroxad,Fluxapyroxad,Fluxapyroxad,Fluxapyroxad,PSM
14807-06,Pyriofenon,Pyriofenone,Pyriofenone,Pyriofenone,PSM
1502-54,Pymetrozin,Pymetrozine,Pimetrozine,Pymetrozine,PSM
1503-51,Cyprodinil,Cyprodinil,Ciprodinil,Cyprodinil,PSM
1543-28,Epoxiconazol,Epoxiconazole,Epoxiconazol,Epoxiconazole,PSM
1560-74,Kupferverbindungen (Kupfer),Composés du cuivre (cuivre),Composti del rame (rame),Copper compounds (copper),PSM
15628-65,"Benzalkoniumchlorid (Mischung aus Alkylbenzyldimethylammoniumchloriden mit Alkylkettenlängen von C8, C10, C12, C14, C16 und C18)","Chlorure de benzalkonium (mélange de chlorures d’alkylbenzyldiméthylammonium présentant des chaînes alkyles de longueur C8, C10, C12, C14, C16 et C18)","Benzalconio cloruro (miscela di cloruri di alchilbenzildimetilammonio con catene alchiliche aventi una lunghezza di C8, C10, C12, C14, C16 e C18)",Benzalkonium chloride,PSM
157-15,Carboxin,Carboxine,Carbossina,Carboxin,PSM
1573-35,Acrinathrin,Acrinathrine,Acrinatrina,Acrinathrin,PSM
15907-04,"Azocyclotin und Cyhexatin (Summe von Azocyclotin zusammen mit Cyhexatin, berechnet als Cyhexatin)",Azocyclotin et Cyhexatin (somme de l'azocyclotin et du cyhexatin calculé comme cyhexatin),"Azocyclotin e cyhexatin (somma delle sostanze azocyclotin e cyhexatin, cacolata come cyhexatin)",Azocyclotin and Cyhexatin (sum of azocyclotin and cyhexatin expressed as cyhexatin),PSM
1595-66,Bromuconazol,Bromuconazole,Bromuconazolo,Bromuconazole,PSM
15967-18,Carbendazim und Benomyl (Summe von Benomyl und Carbendazim als Carbendazim ausgedrückt),Carbendazime et bénomyl (somme du bénomyl et du carbendazime exprimé en tant que carbendazime),"Carbendazim e benomil (somma di benomil e carbendazim, espressa in carbendazim)",Carbendazim and benomyl (sum of benomyl and carbendazim expressed as carbendazim),PSM
16167-00,Clethodim (Summe von Clethodim und Sethoxydim einschliesslich Abbauprodukte berechnet als Sethoxydim),Cléthodime (somme du séthoxydime et du cléthodime incluant les produits de dégradation calculé en séthoxydime),Cletodim (somma di setossidim e cletodim inclusi prodotti di degradazione calcolati come setossidim),Clethodim (sum of Sethoxydim and Clethodim including degradation products calculated as Sethoxydim),PSM
16187-37,Cyfluthrin einschliesslich anderer Gemische seiner Isomerbestandteile (Summe aller Isomere),"cyfluthrine, y compris d'autres mélanges de constituants isomères (somme des isomères)",Ciflutrin incluse altre miscele degli isomeri costituenti (somma degli isomeri),Cyfluthrin (Cyfluthrin including other mixtures of constituent isomers (sum of isomers)),PSM
1629-61,Clodinafop,Clodinafop,Clodinafop,Clodinafop,PSM
16407-56,"MCPA und MCPB (MCPA, MCPB einschliesslich ihrer Salze, Esters und Konjugate ausgedruckt als MCPA)","MCPA et MCPB (MCPA, MCPB y compris leurs sels, esters et éléments combinés, exprimés en MCPA)","MCPA e MCPB, compresi i relativi sali, sali i coniugati, espressi in MCPA","MCPA and MCPB (MCPA, MCPB including their salts, esters and conjugates expressed as MCPA)",PSM
16447-33,"Methomyl (Summe von Methomyl und Thiodicarb, berechnet als Methomyl)",Méthomyl (somme de méthomyl et de thiodicarbe exprimée en méthomyl),"Metomil (somma di metomil e tiodicarb, calcolata come metomil)",Methomyl (sum of methomyl and thiodicarb expressed as methomyl),PSM
165-88,Chlorbensid,Chlorbenside,Clorbenside,Chlorbenside,PSM
16667-52,"Acibenzolar-S-methyl (Summe von Acibenzolar-S-methyl und Acibenzolar (Säure), ausgedrückt als Acibenzolar-S-methyl)","Acibenzolar-S-méthyl (somme d'acybenzolar-S-méthyl et de acybenzolar (acide), exprimée en acybenzolar-S-méthyl)","Acibenzolar-S-metile (somma di acibenzolar-S-metile e di acibenzolar (acido), espresso come acibenzolar-S-metile)",Acibenzolar-S-methyl (sum of acybenzolar-S-methyl and acibenzolar acid expressed as acybenzolar-S-methyl),PSM
167-82,Chlorbufam,Chlorbufam,Clorbufam,Chlorbufam,PSM
16847-94,Dimethoat (Summe von Dimethoat und Omethoat),Diméthoate (somme du diméthoate et de l'ométhoate),Dimetoato (somma di dimetoato e ometoato),Dimethoate (sum of Dimethoate and Omethoate),PSM
1684-90,Fenbuconazol,Fenbuconazole,Fenbuconazolo,Fenbuconazole,PSM
16887-71,"Fipronil (Summe von Fipronil + Sulfonmetabolit (MB46136), ausgedrückt als Fipronil)",Fipronil (somme de Fipronil + son métabolite sulfone (MB46136) exprimée sous forme de Fipronil),"Fipronil (somma di fipronil e del metabolita solfone (MB46136), espressi in fipronil)",Fipronil (sum Fipronil + sulfone metabolite (MB46136) expressed as Fipronil),PSM
1697-51,Fludioxonil,Fludioxonil,Fludioxonil,Fludioxonil,PSM
17047-76,Fenpyrazamin,Fenpyrazamine,Fenpyrazamine,Fenpyrazamine,PSM
1705-27,Flumioxazin,Flumioxazine,Flumioxazina,Flumioxazine,PSM
17099-17,"Carvon, l-","Carvone, l-","Carvone, l-","Carvone, l-",PSM
171-70,Chlordecon,Chlordécone,Clordecone,Chlordecone,PSM
1727-58,Imazosulfuron,Imazosulfuron,Imazosulfuron,Imazosulfuron,PSM
1755-71,Metconazol,Metconazole,Metconazolo,Metconazole,PSM
1764-44,Metosulam,Metosulam,Metosulam,Metosulam,PSM
1778-02,Novaluron,Novaluron,Novaluron,Novaluron,PSM
1799-36,Pyrimethanil,Pyriméthanil,Pirimetanil,Pyrimethanil,PSM
183-34,Chlorfenson,Chlorfenson,Clorfenson,Chlorfenson,PSM
18-44,Alachlor,Alachlore,Alaclor,Alachlor,PSM
1851-74,Triticonazol,Triticonazole,Triticonazolo,Triticonazole,PSM
1856-59,Kresoxim-methyl,Kresoxim-methyl,Kresoxim-metile,Kresoxim-methyl,PSM
1874-05,Bromid-Ion,Bromure ionique,Bromuro ione,Bromide ion,PSM
1875-02,"Dithiocarbamate (Dimethyl-, Ethylen-bis-, Propylen-bis-)","Dithiocarbamates (Diméthyle-, Ethylène-bis-, Propylène-bis-)","Ditiocarbammati (Dimetil-, Etilen-bis-, Propilen-bis-)",Dithiocarbamates,PSM
1877-93,Mevinphos,Mévinphos,Mevinfos,Mevinphos,PSM
188-19,Chloridazon,Chloridazon,Cloridazon,Chloridazon,PSM
1883-75,Quassin,Quassine,Quassina,Quassin,PSM
1891-51,Azadirachtin,Azadirachtine,Azadiractina,Azadirachtin,PSM
192-07,Chlormequat,Chlormequat,Clormequat,Chlormequat,PSM
193-04,Sulcotrion,Sulcotrione,Sulcotrione,Sulcotrione,PSM
196-92,Chlorobenzilate,Chlorobenzilate,Clorobenzilato,Chlorobenzilate,PSM
1980-75,Fluquinconazole,Fluquinconazole,Fluquinconazol,Fluquinconazole,PSM
1984-63,Acetamiprid,Acetamiprid,Acetamiprid,Acetamiprid,PSM
202-74,Chlorothalonil,Chlorothalonil,Clorotalonil,Chlorothalonil,PSM
