Deutsch,Englisch,Französisch,Italienisch,ID
Kurkuma,Turmeric,Curcuma,Curcuma,13144-48
Kümmel,Caraway,Cumin,Cumino,6517-44
Kürbiskerne,Pumpkin seeds,Graines de courge,Semi di zucca,9151-96
Kürbisse,Pumpkins,Potirons,Zucca,4795-69
Lactuca sativa L. var. crispa,Lactuca sativa L. var. crispa,Lactuca sativa L. var. crispa,Lattuga sativa L. var. crispa,6227-41
Lauch,Leeks,Poireaux,Porri,4796-66
Limetten,Limes,Citrons verts,Lime,7195-47
Linsen getrocknet,Lentils dried,Lentilles sèches,Lenticchie secche,7221-66
Lorbeerblätter,Bay leaves,Feuilles de laurier,Foglie di alloro,13087-25
Mais,Corn,Maïs,Mais,4799-57
Mais bei Abgabe an Konsumenten,Corn for consumer use,Maïs destiné aux consommateurs,Mais per consumo diretto,36978-35
Mais bei Verarbeitung zu Mehl,Corn for processing into flour,Maïs destiné à la transformation en farine,Mais per la trasformazione in farina,37009-39
"Mais, Snacks und Frühstückscerealien auf Maisbasis","Corn, snacks, and breakfast cereals made from corn","Maïs, snacks et céréales pour petit déjeuner à base de maïs","Mais, snack e cereali per colazione a base di mais",35348-75
"Mais, Snacks und Frühstückscerealien auf Maisbasis zum unmittelbaren Verzehr","Corn, snacks, and breakfast cereals made from corn for direct consumption","Maïs, snacks et céréales pour petit déjeuner à base de maïs prêts à consommer","Mais, snack e cereali per colazione a base di mais per consumo diretto",36608-78
"Mais, das vor seinem Verzehr oder seiner Verwendung als Lebensmittelzutat einer Sortierung oder einer anderen physikalischen Behandlung unterzogen werden soll",Corn to be sorted or otherwise physically treated before consumption or use as a food ingredient,Maïs devant être trié ou soumis à un autre traitement physique avant consommation ou utilisation comme ingrédient alimentaire,Mais che richiede selezione o altro trattamento fisico prima del consumo o dell'uso come ingrediente alimentare,36600-05
"Maismahlerzeugnis als Grobgriess, Feingriess oder Pellets","Corn milling products as coarse grits, fine grits, or pellets","Produit de mouture de maïs (semoule grossière, fine ou granulés)","Prodotti macinati di mais come semola, farina fine o pellet",35349-72
Maismehl,Cornmeal,Farine de maïs,Farina di mais,36522-45
Mandarinen,Mandarins,Mandarines,Mandarini,19197-28
Mandeln,Almonds,Amandes,Mandorle,7197-41
Mandeln zum unmittelbaren Verzehr oder zur Verwendung als Lebensmittelzutat,Almonds for direct consumption or use as a food ingredient,Amandes prêtes à consommer ou utilisées comme ingrédient alimentaire,Mandorle per consumo diretto o come ingrediente alimentare,36614-60
Mangos,Mangoes,Mangues,Mango,7214-87
Mehl und durch Aufblähen oder Rösten hergestelltes Maismahlerzeugnis,Flour and puffed or roasted corn milling products,Farine et produits soufflés ou grillés à base de maïs,Farina e prodotti di mais ottenuti per espansione o tostatura,35352-63
Milch vom Schaf,Sheep's milk,Lait de brebis,Latte di pecora,9687-40
Mohnsamen,Poppy seeds,Graines de pavot,Semi di papavero,7222-63
Muskatnuss,Nutmeg,Noix de muscade,Noce moscata,9532-20
Nelken,Cloves,Clous de girofle,Chiodi di garofano,13147-39
Nüsslisalat,Lamb's lettuce,Mâche,Valerianella locusta,6236-14
Obstwein,Fruit wine,Vin de fruits,Vino di frutta,5231-22
Okras/Griechische Hörnchen,Okra/Greek horned pods,Gombos,Okra/corni greci,13671-19
Orangen,Oranges,Oranges,Arance,19199-22
Papayas,Papayas,Papayes,Papaya,7216-81
Paprika- und Chilipulver,Paprika and chili powder,Poudre de paprika et de piment,Paprika e peperoncino in polvere,35565-06
Paranüsse,Brazil nuts,Noix du Brésil,Noci del Brasile,7198-38
Passionsfrüchte,Passion fruit,Fruits de la passion,Frutto della passione,7217-78
Pastinaken,Parsnips,Panais,Pastinaca,5837-47
Pekannüsse,Pecans,Pacanes,Noci pecan,6593-10
Petersilie,Parsley,Persil,Prezzemolo,4810-24
"Pfeffer, schwarz und weiss","Pepper, black and white",Poivre noir et blanc,"Pepe, nero e bianco",13808-93
Pfirsiche,Peaches,Pêches,Pesche,4811-21
Pflaumen,Plums,Prunes,Prugne,9520-56
Pistazien,Pistachios,Pistaches,Pistacchi,7205-17
Pistazien zum unmittelbaren Verzehr oder zur Verwendung als Lebensmittelzutat,Pistachios for direct consumption or use as a food ingredient,Pistaches prêtes à consommer ou utilisées comme ingrédient alimentaire,Pistacchi per consumo diretto o come ingrediente alimentare,36617-51
Quinoa,Quinoa,Quinoa,Quinoa,16651-03
Quinoa bei Abgabe an Konsumenten,Quinoa for consumer use,Quinoa destiné aux consommateurs,Quinoa per consumo diretto,36981-26
Quitten,Quinces,Coings,Mele cotogne,7206-14
Randen,Beets,Betteraves rouges,Barbabietole rosse,4815-09
Rapssamen,Rapeseeds,Graines de colza,Semi di colza,4816-06
Rauke oder Salatrauken/Rucola,Rocket or arugula,Roquette ou roquette cultivée,Rucola o rughetta,6968-49
Reis,Rice,Riz,Riso,4999-39
Reis bei Abgabe an Konsumenten,Rice for consumer use,Riz destiné aux consommateurs,Riso per consumo diretto,37000-66
Reis bei Verarbeitung zu Mehl,Rice for processing into flour,Riz destiné à la transformation en farine,Riso per la trasformazione in farina,36979-32
"Reis, das vor seinem Verzehr oder seiner Verwendung als Lebensmittelzutat einer Sortierung oder einer anderen physikalischen Behandlung unterzogen werden soll",Rice to be sorted or otherwise physically treated before consumption or use as a food ingredient,Riz devant être trié ou soumis à un autre traitement physique avant consommation ou utilisation comme ingrédient alimentaire,Riso che richiede selezione o altro trattamento fisico prima del consumo o dell'uso come ingrediente alimentare,36601-02
Reismehl,Rice flour,Farine de riz,Farina di riso,36528-27
Reisnudeln,Rice noodles,Nouilles de riz,Tagliatelle di riso,36526-33
Rettiche,Radishes,Radis,Ravanelli,4818-00
Rhabarber,Rhubarb,Rhubarbe,Rabarbaro,4819-94
Roggen,Rye,Seigle,Segale,4820-91
Roggen bei Abgabe an Konsumenten,Rye for consumer use,Seigle destiné aux consommateurs,Segale per consumo diretto,37008-42
Rooibosblätter,Rooibos leaves,Feuilles de rooibos,Foglie di rooibos,13115-38
Rosenkohl,Brussels sprouts,Choux de Bruxelles,Cavolini di Bruxelles,4822-85
Rosmarin,Rosemary,Romarin,Rosmarino,6512-59
Rotkohl,Red cabbage,Chou rouge,Cavolo rosso,11229-70
Salbei,Sage,Sauge,Salvia,6513-56
Schnittlauch,Chives,Ciboulette,Erba cipollina,19202-13
Schwarzkümmel,Black cumin,Nigelle,Cumino nero,13124-11
Sellerieblätter,Celery leaves,Feuilles de céleri,Foglie di sedano,19204-07
Senfkörner,Mustard seeds,Graines de moutarde,Semi di senape,8164-50
Sesamsamen,Sesame seeds,Graines de sésame,Semi di sesamo,8160-62
Sojabohnen,Soybeans,Soja,Fagioli di soia,4826-73
Spargel,Asparagus,Asperges,Asparagi,4830-61
Speisepilze wildwachsend,Wild edible mushrooms,Champignons sauvages,Funghi selvatici commestibili,4832-55
Spinat,Spinach,Épinards,Spinaci,4833-52
Stachelbeeren,Gooseberries,Groseilles à maquereau,Uva spina,4834-49
Stangensellerie,Celery sticks,Céleri-branche,Sedano a coste,4836-43
Säuglingsanfangs- und Folgenahrung,Infant starter and follow-on formulas,Préparations pour nourrissons et suites,Alimenti per neonati e di proseguimento,4840-31
Süsskartoffeln,Sweet potatoes,Patates douces,Patate dolci,7223-60
Tafeltrauben,Table grapes,Raisins de table,Uva da tavola,13791-47
Tee (nur Blätter der Camelia siniensis),Tea (only leaves of Camellia sinensis),Thé (feuilles uniquement de Camellia sinensis),Tè (solo foglie di Camelia siniensis),4841-28
Teigwaren,Pasta,Pâtes alimentaires,Pasta,5009-09
Thymian,Thyme,Thym,Timo,6514-53
Tomaten,Tomatoes,Tomates,Pomodori,19206-01
Trauben getrocknet,Grapes dried,Raisins secs,Uva essiccata,19616-32
Trockenobst,Dried fruit,Fruits secs,Frutta secca,4848-07
Trockenobst zum unmittelbaren Verzehr oder zur Verwendung als Lebensmittelzutat,Dried fruit for direct consumption or use as a food ingredient,Fruits secs prêts à consommer ou utilisés comme ingrédient alimentaire,Frutta secca per consumo diretto o come ingrediente alimentare,36621-39
Walnüsse,Walnuts,Noix,Noci,8700-91
Wassermelonen,Watermelons,Pastèques,Angurie,4849-04
Wein,Wine,Vin,Vino,4851-95
Weinblätter oder Traubenblätter und ähnliche Arten,Grape leaves or vine leaves and similar types,Feuilles de vigne et similaires,Foglie di vite o simili,11244-25
Weisskohl,White cabbage,Chou blanc,Cavolo bianco,11230-67
Weizen,Wheat,Blé,Grano,4852-92
Weizen bei Abgabe an Konsumenten,Wheat for consumer use,Blé destiné aux consommateurs,Grano per consumo diretto,37029-76
Weizenmehl,Wheat flour,Farine de blé,Farina di grano,36602-96
Wirsing,Savoy cabbage,Chou frisé,Cavolo verza,10240-30
Zimt,Cinnamon,Cannelle,Cannella,13140-60
Zitronen,Lemons,Citrons,Limoni,19208-92
Zucchini,Zucchini,Courgettes,Zucchine,6742-48
Zuckermais,Sweetcorn,Maïs doux,Mais dolce,8681-51
Zwiebeln,Onions,Oignons,Cipolle,5851-05
andere Weizenprodukte,Other wheat products,Autres produits à base de blé,altri prodotti a base di grano,36534-09
sonstiges Fruchtgemüse,Other fruit vegetables,Autres légumes-fruits,altri ortaggi a frutto,13803-11
Äpfel,Apples,Pommes,Mele,4730-70
übrige Blattkohle,Other leafy cabbages,Autres choux-feuilles,altri cavoli a foglia,9333-35
übrige Blumenkohle,Other cauliflowers,Autres choux-fleurs,altri cavolfiori,9334-32
übrige Hülsengemüse (frisch),Other fresh legume vegetables,Autres légumes à cosse (frais),altri legumi freschi,9339-17
übrige Solanaceae,Other Solanaceae,Autres solanacées,altri Solanacee,9346-93
übrige Stängelgemüse,Other stalk vegetables,Autres légumes-tiges,altri ortaggi a stelo,9350-81
übrige «Getreide»,Other 'cereals',Autres céréales,altri «cereali»,11240-37
übrige «Hartschalenobst»,Other 'hard-shelled fruits',Autres fruits à coque,altra «frutta a guscio duro»,9337-23
übrige «Kopfsalat und andere Salatarten einschliesslich Brassicaceen»,Other 'head lettuce and similar varieties including brassicas',"Autres «laitues et salades, y compris brassicacées»","altri «tipi di lattuga e insalate, incluse Brassicacee»",13818-63
übrige «Küchenkräuter frisch»,Other 'fresh culinary herbs',Autres «herbes aromatiques fraîches»,altri «erbe aromatiche fresche»,9343-05
übrige «Kürbisgewächse mit geniessbarer Schale»,Other 'edible-skinned cucurbits',Autres cucurbitacées à peau comestible,altri «cucurbitacee con buccia commestibile»,9335-29
übrige «Kürbisgewächse mit ungeniessbarer Schale»,Other 'inedible-skinned cucurbits',Autres cucurbitacées à peau non comestible,altri «cucurbitacee con buccia non commestibile»,9336-26
übrige «Samengewürze»,Other 'seed spices',Autres épices issues de graines,altri «semi aromatici»,13130-90
übrige «Spinat und verwandte Arten»,Other 'spinach and related types',Autres épinards et espèces apparentées,altri «spinaci e simili»,9348-87
übrige «Zitrusfrüchte»,Other 'citrus fruits',Autres agrumes,altri «agrumi»,9353-72
"übrige «sonstige Früchte mit nicht essbarer Schale, gross»","Other 'miscellaneous fruits with inedible skin, large'","Autres fruits à peau non comestible, grands","altra «frutta con buccia non commestibile, grande»",13070-76
"übrige «sonstige Früchte mit nicht essbarer Schale, klein»","Other 'miscellaneous fruits with inedible skin, small'","Autres fruits à peau non comestible, petits","altra «frutta con buccia non commestibile, piccola»",13065-91
übrige «tropisches Wurzel- und Knollengemüse»,Other 'tropical root and tuber vegetables',Autres racines et tubercules tropicaux,altri «tuberi e radici tropicali»,13801-17
übrige «Ölsaaten»,Other 'oilseeds',Autres oléagineux,altri «semi oleosi»,9344-02
übriges Steinobst,Other stone fruits,Autres fruits à noyau,altra frutta a nocciolo,9349-84
