Code,NAME DE,NAME FR,NAME IT,NAME EN
B030A,Ganzes Erzeugnis nach Entfernen der Schale (Esskastanien ausgenom­ men),Produit entier après enlèvement de la coque (à l’exception des châtaignes),"Prodotto intero, previa sgusciatura (eccetto castagne e marroni)",Whole product after removal of shell (except chestnuts)
B031A,Ganzes Erzeugnis nach Entfernen der Stiele und (im  Fall von Arten der Gattung Physali) Kelchblätter,Produit entier après enlèvement du pédoncule et (dans le cas des espèces du genre Physalis) des sépales,"Prodotto intero, previa rimozione del peduncolo e (nel caso della specie del genere Physalis) dei sepali",Whole product after removal of stems and (in case of species of genus Physalis) sepals
B032A,Ganzes Erzeugnis nach Entfernen der Blätter und anhaftender Erde,Produit entier après enlèvement des fanes et de la terre,"Prodotto intero, previa rimozione di cime e detriti terrosi",Whole product after removal of tops and soil
B033A,"Ganzes Erzeugnis nach Entfernen der Deckel, Kapseln und Stiele (ausgenommen Johannisbeeren)","Produit entier après enlèvement de la pointe, de la couronne et du pédoncule (à l’exception des groseilles)","Prodotto intero, previa rimozione di opercolo, capsula ed eventuale peduncolo (eccetto il ribes)","Whole product after removal of caps, crown and stems (except currants)"
B034A,Ganzes Erzeugnis nach Entfernen der Kapseln,Produit entier après enlèvement des capsules,"Prodotto intero, previa rimozione della capsula",Whole product after removal of capsules
B035A,Ganzes Erzeugnis nach Entfernen der Krone,Produit entier après enlèvement de la couronne,"Prodotto intero, senza corona",Whole product after removal of crown
B036A,Ganzes Erzeugnis nach Entfernen der Schale,Produit entier après enlèvement de la coquille,"Prodotto intero, previa rimozione del guscio",Whole product after removal of the shell
B037A,Ganzes Erzeugnis nach Entfernen der Stiele,Produit entier après enlèvement du pédoncule,"Prodotto intero, previa rimozione del peduncolo",Whole product after removal of stems
B038A,Ganzes Erzeugnis nach Entfernen der Stiele (ausgenommen Ananas),Produit entier après enlèvement du pédoncule (à l’exception des ananas),"Prodotto intero, previa rimozione del peduncolo (eccetto l’ananas)",Whole product after removal of stems (except pineapples)
B039A,"Ganzes Erzeugnis nach Entfernen der Wurzeln, der Blätter und anhaftender Erde","Produit entier après enlèvement des racines, des fanes et de la terre","Prodotto intero, previa rimozione di radici, cime e detriti terrosi","Whole product after removal of roots, tops and soil"
B040A,"Ganzes Erzeugnis nach   Entfernen des unbrauchbaren Gewebes, anhaftender Erde und der  Wurzeln (ausgenommen  Artischocken und Rhabarber)","Produit entier après enlèvement des parties flétries, de la terre et des racines (à l’exception des artichauts et des rhubarbes)","Prodotto intero, previa rimozione di tessuti guasti, detriti terrosi e radici (eccetto i carciofi e il rabarbaro)","Whole product after removal of decayed tissues, soil and roots (except globe artichokes and rhubarbs)"
B041A,"Ganzes Erzeugnis nach Entfernen des unbrauchbaren Gewebes, anhaftender Erde und der Wurzeln","Produit entier après enlèvement des tissus flétris, de la terre et des racines","Prodotto intero, previa rimozione di tessuti guasti, detriti terrosi e radici","Whole product after removal of decayed tissues, soil and roots"
B042A,Ganzes Erzeugnis auf der  Basis eines Fettgehalts von 4 % bezogen auf das Gewicht ,Produit entier sur la base d’une teneur massique en matières grasses de 4 % ,"Prodotto intero, sulla base di un tenore di materia grassa del 4% in peso ",Whole product based on a fat content of 4 % by weight
B043A,Ganzes Erzeugnis,Produit entier,Prodotto intero,Whole product
B044A,Ganzes Erzeugnis mit Schale,Produit entier avec la coque,"Prodotto intero, con guscio",Whole product with shell
B045A,"Getrocknete Blätter, Stängel und Blüten, fermentiert oder anderweitig behandelt","Feuilles, tiges et fleurs séchées, fermentées ou non","Foglie, steli e fiori essiccati, fermentati o altrimenti trattati","Dried leaves, stalks and flowers, whether fermented or otherwise treated"
B046A,"Getrocknete Dolden, auch  in Form von Pellets und nicht konzentriertem Pulver","Cônes séchés, également sous la forme de granulés ou de poudre non concentrée","Coni essiccati, anche sotto forma di granulato e di polvere non concentrata","Dried cones, also in the form of pellets and unconcentrated powder"
B047A,Getrocknete Samen,Graines sèches,Semi essiccati,Dried seeds
B048A,"Getrocknetes Erzeugnis ganz, geschrotet oder gemahlen","Produit à l’état sec entier, broyé ou concassé","Prodotto intero essiccato, tritato o polverizzato","Dried product whole, crushed or ground"
B049A,Getrocknetes Erzeugnis,Produit séché,Prodotto essiccato,Dried product
B050A,Grüne Bohnen,Grains verts,Chicchi verdi,Green beans
B051A,Junge Blätter und Blattstiele aller Pflanzen (einschließlich Brassica) (Ernte bis zur Entfaltung des 8. Laubblattes),Jeunes feuilles et pétioles de toute espèce cultivée (y compris de Brassica) récoltés jusqu’au stade de huit vraies feuilles,Giovani foglie e piccioli di qualsiasi prodotto (comprese le brassicacee) (raccolto fino allo stadio di ottava foglia vera),Young leaves and petioles of any crops (including brassica) harvested up to 8 true leaf stage
B052A,Kerne,Grains seuls,Semi,Kernels
B053A,Körner ,Grains entiers ,Semi ,Grains
B054A,Lint nicht entfernt,Non délintées,Con la filaccia,Undelinted
B055A,Nur Röschen,Uniquement les choux proprement dits,Soltanto i grumoli,Only cabbage buttons
B056A,Reife Zwiebeln nach Entfernen der leicht abzulösenden Haut und anhaftender Erde (ausgenommen Frühlingszwiebeln/grüne    Zwiebeln und Winterzwiebeln),Bulbes à maturité après enlèvement des pelures facilement détachables et de la terre (à l’exception des oignons de printemps/oignons verts et des ciboules),"Bulbi maturi, previa rimozione della pellicola facilmente staccabile e dei detriti terrosi (eccetto cipolline/cipolle verdi e cipollette)",Mature bulbs after removal of easily detachable skin and soil (except spring onions/green onions and welsh onions)
B057A,"Samen/Kerne oder Samen/Kerne mit Hülsen/Schalen, entsprechend den Eigenschaften der Art/Sorte","Grains seuls ou grains avec coques, selon les caractéristiques de l’espèce/de la variété","Semi o semi con guscio, a seconda delle caratteristiche della specie/varietà","Kernels or kernels with shells, depending on the characteristics of the species/variety"
B058A,"Samen/Kerne mit Hülsen/Schalen (ausgenommen Erdnüsse, Baumwollsamen, Rizinusbohnen und sonstige)","Grains avec coques (à l’exception des produits « Arachides/Cacahuètes », « Graines de coton », « Graines de ricin » et « Autres »)","Semi con guscio (ad eccezione di semi di arachide, semi di cotone, semi di ricino e altri)","Kernels with shells (except peanuts/groundnuts, cotton seeds, castor beans and others)"
B059A,Stängel nach Entfernen der   Wurzeln und Blätter,Tiges sans racines ni feuilles,"Gambi, previa rimozione di radici e foglie",Stalks after removal of roots and leaves
B060A,"Unreife Zwiebeln mit Scheinstielen, Blättern und zum Teil Knospen","Bulbes immatures avec faux troncs, feuilles et, dans certains cas, boutons","Bulbi non maturi con pseudo steli, foglie e in alcuni casi germogli","Immature bulbs with pseudostems, leaves and in some cases buds"
B061A,Wurzeln nach Entfernen der Blätter und anhaftender Erde,Racines après enlèvement des fanes et de la terre,"Prodotto intero, previa rimozione di cime e detriti terrosi",Roots after removal of tops and soil
