Code,NAME DE,NAME FR,NAME IT,NAME EN
A114,Eier-Packungsbetrieb und Eierhandel,Entreprise d’emballage et de commerce d’œufs,Azienda di confezionamento uova e commercio di uova,Egg packaging plant and egg trade
A115,Herstellbetrieb von Flüssigeiern und weiteren Eiprodukten,Entreprise fabriquant des œufs liquides et d’autres ovoproduits,Produttore di uova liquide e ulteriori prodotti a base di uova,Establishment producing liquid eggs and other egg products
A116,"Verarbeitungsbetrieb für Honig, Gelée royale und Pollenprodukte","Entreprise de transformation de miel, gelée royale et produits à base de pollen","Azienda di trasformazione per miele, pappa reale e prodotti a base di polline","Establishment processing honey, royal jelly and pollen products"
A117,Milchsammelstelle,Centre de collecte de lait,Centro di raccolta del latte,Milk collection centre
A2,Industrielle Verarbeitung von Rohstoffen pflanzlicher Herkunft,Transformation industrielle de matières premières d’origine végétale,Trasformazione industriale di materie prime vegetali,Industrial processing of plant raw materials
A201,Mahl- und Schälmühle,Moulin à moudre et à décortiquer,Mulino per la macinazione e la pelatura,Grain mill
A202,"Herstellbetrieb von Backwaren, Konfiserie oder Konditoreiwaren","Entreprise de fabrication d’articles de boulangerie, de confiserie ou de pâtisserie","Produttore di prodotti da forno, confetteria e pasticceria","Establishment producing bakery, confectionery or pastry products"
A203,Herstellbetrieb von Trockenteigwaren,Entreprise de fabrication de pâtes sèches,Produttore di pasta alimentare secca,Establishment producing dried pasta
A204,Herstellbetrieb von Frischteigwaren mit oder ohne Füllung,Entreprise de fabrication de pâtes fraîches farcies ou non,Produttore di pasta fresca con o senza ripieno,Establishment producing fresh pasta with or without filling
A205,Herstellbetrieb von Frühstückscerealien,Entreprise de fabrication de céréales pour le petit-déjeuner,Produttore di cereali per la colazione,Establishment producing breakfast cereals
A206,"Herstellbetrieb von Obst- und/oder Gemüseprodukten (Tiefkühlware, Konserven, Konfitüren usw.)","Entreprise de fabrication de produits à base de fruits et de légumes (surgelés, conserves, confitures, etc.)","Produttore di prodotti a base di frutta e/o verdura (surgelati, conserve, marmellata ecc.)","Establishment producing fruit and/or vegetable products (frozen, canned, preserved, etc.)"
A207,Herstellbetrieb von Speiseölen,Entreprise de fabrication d’huiles comestibles,Produttore di oli commestibili,Establishment producing edible oils
A208,Herstellbetrieb von Speisefetten,Entreprise de fabrication de graisses comestibles,Produttore di grassi commestibili,Establishment producing edible fats
A209,Herstellbetrieb von Essig,Entreprise de fabrication de vinaigre,Produttore di aceto,Establishment producing vinegar
A210,"Herstellbetrieb von Zucker, Zuckerarten und Zuckererzeugnissen","Entreprise de fabrication de sucre, de sucres et de produits à base de sucres","Produttore di zucchero, tipi di zucchero e derivati dello zucchero","Establishment producing sugar, sugar types and sugar products"
A211,"Herstellbetrieb von Kakao, Schokolade und anderen Kakaoerzeugnissen","Entreprise de fabrication de cacao, de chocolat et de produits à base de cacao","Produttore di cacao, cioccolato e altri derivati del cacao","Establishment producing cocoa, chocolate and other cocoa products"
A212,Herstellbetrieb von Tee und Kaffee,Entreprise de fabrication de thé et de café,Produttore di tè e caffè,Establishment producing tea and coffee
A213,Abpackbetrieb von Obst und Gemüse,Entreprise de conditionnement de fruits et légumes,Azienda di confezionamento di prodotti ortofrutticoli,Establishment packing fruit and vegetables
A214,Sammelstelle für lose Agrarerzeugnisse,Centre de collecte de produits agricoles en vrac,Centro di raccolta di prodotti agricoli sfusi,Collection centre for loose agricultural products
A3,Getränkeindustrie,Industrie des boissons,Industrie di bevande,Drinks industry
A301,"Herstellbetrieb von Quell-, Trink- und Mineralwasser in Behältnissen","Fabricant d’eau de source, d’eau potable ou d’eau minérale en récipients","Produttore di acqua sorgiva, potabile e minerale in contenitori","Establishment producing spring, drinking and mineral water in containers"
A302,"Herstellbetrieb von Fruchtwein, Bier oder aromatisierten Getränken","Cidrerie, brasserie, fabricant de boissons aromatisées","Produttore di vino di frutta, birra o bevande aromatizzate","Establishment producing fruit wine, beer or aromatised drinks"
A5,Diverse Industriebetriebe,Autres industries alimentaires,Altre aziende industriali,Other industrial enterprises
A501,"Herstellbetrieb von Suppen, Würze, Fleischextrakt, Bouillon, Sulze","Entreprise de fabrication de soupes, de condiments, d’extrait de viande, de bouillon, de gelée","Produttore di minestre, condimenti, estratto di carne, brodo, gelatina di carne","Establishment producing soups, seasonings, meat extract, stock, brawn"
A502,Herstellbetrieb von Stärke und Stärkeerzeugnissen,Entreprise de fabrication d’amidon et de produits à base d’amidon,Produttore di amido e derivati dell’amido,Establishment producing starch and starch products
A503,"Herstellbetrieb von Mayonnaise (industriell), Salatsaucen, Senf, Gewürzsaucen","Entreprise de fabrication de mayonnaise (industrielle) ; sauce à salade, moutarde, sauces condimentaires","Produttore di maionese (industriale), condimenti per insalate, senape, salse","Establishment producing mayonnaise (industrial), salad dressings, mustard, spicy sauces"
A505,Herstellbetrieb von Nahrungsergänzungsmitteln,Entreprise de fabrication de compléments alimentaires,Produttore di integratori alimentari,Establishment producing food supplements
A506,"Herstellbetrieb von Lebensmittelzusatzstoffen, Aromen","Entreprise de fabrication d’additifs alimentaires, d’arômes","Produttore di additivi alimentari, aromi","Establishment producing food additives, flavourings"
A507,Herstellbetrieb von Fertiggerichten,Entreprise de fabrication de plats prêts à consommer,Produttore di piatti pronti,Establishment producing ready meals
A508,Herstellbetrieb von Nährhefe; Herstellbetrieb von Mikroalgen und kalziumhaltigen Rotalgen (Maerl),Entreprise de fabrication de levures alimentaires ; fabricant de micro algues et d’algues rouges riches en calcium (maërl),Produttore di lievito alimentare; produttore di microalghe e alghe rosse calcaree (Maerl),Establishment producing nutritional yeast; establishment producing microalgae and calcium-containing red algae (maerl)
A509,Herstellbetrieb von Speisesalz,Entreprise de fabrication de sel de cuisine,Produttore di sale commestibile,Establishment producing table salt
A510,Herstellbetrieb von Gewürzen und Würze,Entreprise de fabrication d’épices et de condiments,Produttore di spezie e condimenti,Establishment producing spices and seasonings
B,Gewerbebetriebe,Entreprises artisanales,Aziende artigianali,Small-scale enterprises
B1,"Metzgereien, Fischhandlungen","Boucheries, poissonneries","Macellerie, pescherie","Butchers, fishmongers"
B101,Metzgerei,Boucherie,Macelleria,Butcher
B102,Fischhandlung,Poissonnerie,Pescheria,Fishmonger
B2,"Käsereien, Molkereien","Fromageries, laiteries","Latterie, caseifici","Dairies, cheese-makers"
B201,"Käserei, Molkerei","Fromagerie, laiterie","Latteria, caseificio","Dairy, cheese-maker"
B202,Sömmerungsbetrieb mit Alpkäserei,Exploitation d’estivage avec fromagerie d’alpage,Azienda di estivazione con caseifici d’alpe,Summer pasture farm with alpine cheese dairy
B3,"Bäckereien, Konditoreien","Boulangeries, confiseries","Panetterie, pasticcerie","Bakeries, confectioners"
B301,"Bäckerei, Konditorei","Boulangerie, confiserie, pâtisserie","Panetteria, pasticceria","Bakery, confectioner"
B4,Getränkeherstellung,Fabricants de boissons,Produzione di bevande,Drinks producers
B401,Herstellbetrieb von Frucht- und Gemüsesäften,Entreprise de fabrication de jus de fruits et jus de légumes,Produttore di succhi di frutta e verdura,Establishment producing fruit and vegetable juices
B402,Herstellbetrieb von aromatisierten Getränken,Entreprise de fabrication de boissons aromatisées,Produttore di bevande aromatizzate,Establishment producing aromatised drinks
B403,Herstellbetrieb von Bier,Entreprise de fabrication de bière,Produttore di birra,Establishment producing beer
B404,Herstellbetrieb von Traubenwein,Entreprise de fabrication de vin,Produttore di vino d’uva,Establishment producing wine from grapes
B405,Herstellbetrieb von weinhaltigen Getränken,Entreprise de fabrication de boissons contenant du vin,Produttore di bevande a base di vino,Establishment producing drinks containing wine
B406,Herstellbetrieb von Apfelwein und anderen Fruchtweinen,Entreprise de fabrication de cidre et d’autres vins de fruits,Produttore di sidro di mele e altri vini di frutta,Establishment producing cider and other fruit wines
B407,Herstellbetrieb von Spirituosen,Entreprise de fabrication de spiritueux,Produttore di bevande spiritose,Establishment producing spirits
B408,Herstellbetrieb von anderen alkoholhaltigen Getränken,Entreprise de fabrication d’autres boissons alcooliques,Produttore di altre bevande alcoliche,Establishment producing other alcoholic beverages
B5,Produktion und Verkauf auf Landwirtschaftsbetrieben,Production et vente à la ferme,Produzione e vendita diretta in azienda agricola ,Farm production and sales
B501,Direktvermarkter landwirtschaftlicher Produkte,Distributeur direct de produits agricoles,Vendita diretta di prodotti agricoli,Direct marketer of agricultural products
B6,Diverse Gewerbebetriebe,Autres entreprises artisanales,Altre aziende artigianali,Other small-scale enterprises
B601,Diverse Gewerbebetriebe,Établissements artisanaux divers,Altre aziende artigianali,Other small-scale enterprises
C,Handelsbetriebe,Entreprises de commerce,Aziende commerciali,Commercial enterprises
C1,Grosshandel,Commerces en gros,Commercio all’ingrosso,Wholesale
C101,Handel und Transport,Commerce et transport,Commercio e trasporto,Trade and transport
C102,Transportunternehmen: Schüttgut,Entreprise de transport : marchandise en vrac,Impresa di trasporto: merce sfusa,Transport company: bulk goods
C103,"Transportunternehmen: gekühlte oder gefrorene Ware, offen oder verpackt",Entreprise de transport : marchandise réfrigérée ou surgelée (en vrac ou emballée),"Impresa di trasporto: merce refrigerata o congelata, sfusa o imballata","Transport company: chilled or frozen goods, open or packaged"
C104,Transportunternehmen: verpackte Waren,Entreprise de transport : marchandises emballées,Impresa di trasporto: merci imballate,Transport company: packaged goods
C105,Lagerbetrieb und Warenumschlag,Entreposage et transbordement de marchandises,Azienda di immagazzinamento e movimento merci,Warehousing and goods handling
C106,"Handelsvermittlung; Grosshandelsbetrieb, Importeur/in","Intermédiaire du commerce ; entreprise de commerce en gros, importateur","Intermediario commerciale; azienda di commercio all’ingrosso, importatore","Trade broker; wholesale business, importer"
C2,Verbraucher- und Supermärkte,Marchés des consommateurs et supermarchés,Ipermercati e supermercati,Consumer markets and supermarkets
C201,Verbrauchermarkt (> 2500 m2),Hypermarché (> 2500 m2),Ipermercato (> 2500 m2),Consumer market (> 2500 m2)
C202,Grosser Supermarkt (1000–2499 m2),Grand supermarché (1000–2499 m2),Grande supermercato (1000–2499 m2),Large supermarket (1000–2499 m2)
C203,Kleiner Supermarkt (400–999 m2),Petit supermarché (400–999 m2),Piccolo supermercato (400–999 m2),Small supermarket (400–999 m2)
C204,Grosses Geschäft (100–399 m2),Grand magasin (100–399 m2),Grande negozio (100–399 m2),Large shop (100–399 m2)
C3,"Klein- und Detailhandel, Drogerien   ","Petits commerces et commerces de détail, drogueries   ","Commercio al dettaglio, drogherie   ","Retail, chemist shops"
C301,Detailhandelsbetrieb (< 100 m2),Entreprise de commerce de détail < 100 m2,Negozio di commercio al dettaglio (< 100 m2),Retail business (< 100 m2)
C302,Detailhandelsbetrieb (> 100 m2),Entreprise de commerce de détail > 100 m2,Negozio di commercio al dettaglio (> 100 m2),Retail business (> 100 m2)
C303,"Drogerie, Apotheke",Droguerie et pharmacie,"Drogheria, farmacia","Chemist shop, pharmacy"
C4,Versandhandel,Vente par correspondance,Vendita per corrispondenza,Mail order
C401,Versandhandelsbetrieb,Entreprise de vente par correspondance,Azienda di vendita per corrispondenza,Mail order business
C6,Diverse Handelsbetriebe,Autres commerces,Altre aziende commerciali,Other commercial enterprises
C601,"Marktfahrer/in, Hausierer/in","Commerçant ambulant, colporteur","Venditori al mercato, venditori ambulanti","Market vendor, door-to-door sales"
D,Verpflegungsbetriebe,Entreprises de restauration,Aziende di ristorazione,Catering enterprises
D1,Kollektivverpflegungsbetriebe,Entreprises de restauration collective,Ristorazione collettiva,Collective catering services
D101,Verpflegungsbetrieb ohne eigene Küche,Entreprise de restauration ne possédant pas sa propre cuisine,Azienda di ristorazione senza cucina propria,Catering service without own kitchen
D102,Verpflegungsbetrieb mit eigener Küche,Entreprise de restauration possédant sa propre cuisine,Azienda di ristorazione con cucina propria,Catering service with own kitchen
D2,Cateringbetriebe / Party-Services,Entreprise de catering / de restauration pour évènements festifs,Aziende di catering/servizio feste,Catering businesses / party services
D201,Cateringbetrieb / Party-Service,Entreprise de catering / de restauration pour évènements festifs,Azienda di catering/servizio feste,Catering business / party service
D3,Spital- und Heimbetriebe,"Hôpitaux, homes",Aziende di ristorazione in ospedali e case di cura,"Hospitals, care homes"
D301,Verpflegungsbetrieb eines Spitals oder Heims ohne eigene Küche,Entreprise de restauration d’un hôpital ou d’un home ne possédant pas sa propre cuisine,Azienda di ristorazione di un ospedale o di una casa di cura senza cucina propria,Catering service of a hospital or home without own kitchen
D302,Verpflegungsbetrieb eines Spitals oder Heims mit eigener Küche,Entreprise de restauration d’un hôpital ou d’un home possédant sa propre cuisine,Azienda di ristorazione di un ospedale o di una casa di cura con cucina propria,Catering service of a hospital or home with own kitchen
D4,Verpflegungsanlagen der Armee,Locaux de restauration de l’armée,Ristorazione per l’esercito,Army catering facilities
D401,Verpflegungsbetrieb der Armee ohne eigene Küche,Entreprise de restauration de l’armée ne possédant pas sa propre cuisine,Azienda di ristorazione per l’esercito senza cucina propria,Army catering service without own kitchen
D402,Verpflegungsbetrieb der Armee mit eigener Küche,Entreprise de restauration de l’armée possédant sa propre cuisine,Azienda di ristorazione per l’esercito con cucina propria,Army catering service with own kitchen
D5,Diverse Verpflegungsbetriebe,Autres entreprises de restauration,Altre aziende di ristorazione,Other catering enterprises
D501,Herstellbetrieb von Traiteurwaren,Entreprise de fabrication de produits de traiteur,Produttore di merci di gastronomia,Establishment producing traiteur goods
D502,Betreiber/in von Lebensmittelautomaten,Exploitant de distributeurs automatiques de denrées alimentaires,Gestore di distributori automatici di generi alimentari,Operator of food vending machines
E,Trinkwasserversorgungen,Systèmes d’approvisionnement en eau potable,Approvvigionamenti di acqua potabile,Drinking water supplies
E1,Trinkwasserversorgung,Système d’approvisionnement en eau potable,Approvvigionamento di acqua potabile,Drinking water supply
